"","Line","habitat","watering","fertilization","WFtreatment","Plot","relcover","obsID","IDnum","family","annual","MarinaSp","nat.inv","Functional.group","clean_code"
"1","2","Harshserp","unwatered","unfertilized","C","16",0,2,1,"Asteraceae","annual","yes","native","Forb","AGOHET"
"2","2","Harshserp","unwatered","unfertilized","C","16",0,3,2,"ALLIACEAE","bulb","no","native","Forb","ALLFAL"
"3","2","Harshserp","unwatered","unfertilized","C","16",0,4,102,"ALLIACEAE","bulb","no","native","Forb","ALLAMP"
"4","2","Harshserp","unwatered","unfertilized","C","16",0,5,4,"Asteraceae","annual","yes","native","Forb","ANCFIL"
"5","2","Harshserp","unwatered","unfertilized","C","16",0,6,105,"Fabaceae","annual","no","native","N-fixer","ASTBRE"
"6","2","Harshserp","unwatered","unfertilized","C","16",0,7,106,"Fabaceae","annual","yes","native","N-fixer","ASTGAM"
"7","2","Harshserp","unwatered","unfertilized","C","16",0,9,5,"Brassicaceae","annual","yes","native","Forb","ATHPUS"
"8","2","Harshserp","unwatered","unfertilized","C","16",10,10,6,"Poaceae","annual","yes","invasive","Grass","AVEFAT"
"9","2","Harshserp","unwatered","unfertilized","C","16",0,11,108,"Poaceae","annual","yes","invasive","Grass","BRODIA"
"10","2","Harshserp","unwatered","unfertilized","C","16",3,12,8,"Poaceae","annual","yes","invasive","Grass","BROHOR"
"11","2","Harshserp","unwatered","unfertilized","C","16",18,13,9,"Poaceae","annual","yes","invasive","Grass","BROMAD"
"12","2","Harshserp","unwatered","unfertilized","C","16",0,14,10,"MONTIACEAE","annual","no","native","Forb","CALCIL"
"13","2","Harshserp","unwatered","unfertilized","C","16",1,15,11,"Asteraceae","annual","yes","native","Forb","CALPAU"
"14","2","Harshserp","unwatered","unfertilized","C","16",0,16,110,"LILIACEAE","bulb","no","native","Forb","CALSUP"
"15","2","Harshserp","unwatered","unfertilized","C","16",0,17,111,"Onagraceae","annual","no","native","Forb","CAMGRA"
"16","2","Harshserp","unwatered","unfertilized","C","16",0,18,112,"Asteraceae","annual","yes","invasive","Forb","CARPYC"
"17","2","Harshserp","unwatered","unfertilized","C","16",0,19,12,"Orobanchaceae","annual","yes","native","Forb","CASATT"
"18","2","Harshserp","unwatered","unfertilized","C","16",0,20,113,"Orobanchaceae","annual","no","native","Forb","CASRUB"
"19","2","Harshserp","unwatered","unfertilized","C","16",0,21,13,"Asteraceae","annual","yes","invasive","Forb","CENSOL"
"20","2","Harshserp","unwatered","unfertilized","C","16",0,22,14,"Asteraceae","annual","no","native","Forb","CENTRI"
"21","2","Harshserp","unwatered","unfertilized","C","16",0,23,15,"Asteraceae","annual","yes","native","Forb","CHAGLA"
"22","2","Harshserp","unwatered","unfertilized","C","16",0,24,16,"AGAVACEAE","bulb","no","native","Forb","CHLPOM"
"23","2","Harshserp","unwatered","unfertilized","C","16",0,25,116,"polygonaceae","annual","no","native","Forb","CHOPOL"
"24","2","Harshserp","unwatered","unfertilized","C","16",2,26,80,"Onagraceae","annual","no","native","Forb","CLARKIASP"
"25","2","Harshserp","unwatered","unfertilized","C","16",0,27,19,"Plantaginaceae","annual","yes","native","Forb","COLSPA"
"26","2","Harshserp","unwatered","unfertilized","C","16",0,28,119,"CRASSULACEAE","annual","no","native","Forb","CRACON"
"27","2","Harshserp","unwatered","unfertilized","C","16",0,29,20,"Boraginaceae","annual","no","native","Forb","CRYHIS"
"28","2","Harshserp","unwatered","unfertilized","C","16",0,30,21,"THEMIDACEAE","perennial","no","native","Forb","DICCAP"
"29","2","Harshserp","unwatered","unfertilized","C","16",0,31,22,"Poaceae","perennial","no","native","Grass","ELYELY"
"30","2","Harshserp","unwatered","unfertilized","C","16",0,32,23,"Onagraceae","annual","yes","native","Forb","EPIBRA"
