"IDnum","Species","Rep","dry.mass","number_seeds","wet_mass","Notes","repdryperseed","repwetperseed","rep_pctch","fulldata"
1,"Agoseris heterophylla","A",2.974,10,6.178,NA,0.2974,0.6178,2.0773369199731,1
1,"Agoseris heterophylla","B",2.889,10,5.836,NA,0.2889,0.5836,2.02007615091727,1
1,"Agoseris heterophylla","C",3.072,10,5.865,NA,0.3072,0.5865,1.9091796875,1
1,"Agoseris heterophylla","D",3.386,11,7.311,NA,0.307818181818182,0.664636363636364,2.15918487891317,1
1,"Agoseris heterophylla","E",2.939,10,6.512,"Wet start time for sheet is 10/10/22 2:30pm",0.2939,0.6512,2.21571963252807,1
2,"Allium falcifolium","A",40.341,10,61.078,NA,4.0341,6.1078,1.5140427852557,1
2,"Allium falcifolium","B",43.333,10,59.602,NA,4.3333,5.9602,1.37544134954884,1
2,"Allium falcifolium","C",40.804,10,58.4,NA,4.0804,5.84,1.4312322321341,1
2,"Allium falcifolium","D",37.239,10,53.704,NA,3.7239,5.3704,1.44214398882892,1
2,"Allium falcifolium","E",41.499,10,54.098,NA,4.1499,5.4098,1.30359767705246,1
3,"Anagallis arvensis","A",4.571,10,5.851,NA,0.4571,0.5851,1.28002625246117,1
3,"Anagallis arvensis","B",3.905,10,5.09,NA,0.3905,0.509,1.30345710627401,1
3,"Anagallis arvensis","C",4.528,10,5.84,NA,0.4528,0.584,1.28975265017668,1
3,"Anagallis arvensis","D",4.278,10,5.523,NA,0.4278,0.5523,1.29102384291725,1
3,"Anagallis arvensis","E",4.347,10,5.653,NA,0.4347,0.5653,1.30043708304578,1
4,"Ancistrocarphus filagineus","A",4.163,10,6.752,NA,0.4163,0.6752,1.621907278405,1
4,"Ancistrocarphus filagineus","B",4.24,10,8.016,NA,0.424,0.8016,1.89056603773585,1
4,"Ancistrocarphus filagineus","C",3.104,10,5.309,NA,0.3104,0.5309,1.71037371134021,1
4,"Ancistrocarphus filagineus","D",3.678,10,6.875,NA,0.3678,0.6875,1.86922240348015,1
4,"Ancistrocarphus filagineus","E",2.724,9,4.636,NA,0.302666666666667,0.515111111111111,1.70190895741557,1
5,"Athysanus pusillus","A",3.737,10,6.801,NA,0.3737,0.6801,1.81990901792882,1
5,"Athysanus pusillus","B",3.973,10,8.533,NA,0.3973,0.8533,2.14774729423609,1
5,"Athysanus pusillus","C",3.278,10,5.995,NA,0.3278,0.5995,1.82885906040268,1
5,"Athysanus pusillus","D",2.688,10,5.457,NA,0.2688,0.5457,2.03013392857143,1
5,"Athysanus pusillus","E",3.936,10,7.449,NA,0.3936,0.7449,1.89253048780488,1
6,"Avena fatua","A",116.671,10,152.198,NA,11.6671,15.2198,1.3045058326405,1
6,"Avena fatua","B",122.279,10,153.165,NA,12.2279,15.3165,1.25258629854677,1
6,"Avena fatua","C",144.036,10,182.315,NA,14.4036,18.2315,1.26575994890166,1
6,"Avena fatua","D",142.383,10,184.231,NA,14.2383,18.4231,1.29391149224275,1
6,"Avena fatua","E",142.858,10,184.308,NA,14.2858,18.4308,1.29014825911045,1
7,"Brodiaea elegans","A",32.802,10,46.697,NA,3.2802,4.6697,1.42360221937687,1
7,"Brodiaea elegans","B",26.054,10,33.566,NA,2.6054,3.3566,1.28832424963537,1
7,"Brodiaea elegans","C",22.688,10,33.65,NA,2.2688,3.365,1.48316290550071,1
7,"Brodiaea elegans","D",25.185,10,34.721,NA,2.5185,3.4721,1.37863807822116,1
