"IDnum","spdryperseed","spwetperseed","spPerm_pctch","sd_spwetperseed","sd_spdryperseed","sd_spPerm_pctch","SS_SCP"
1,0.299043636363636,0.620747272727273,2.07629945396632,0.0367936912935936,0.0083001627983636,0.119790580122174,5
2,4.06432,5.73764,1.413291606564,0.331426172774571,0.221772275093169,0.0786932750363235,5
3,0.43258,0.55914,1.29293938697498,0.0311877059111439,0.0264959808272878,0.00931948910957236,5
4,0.364233333333333,0.642062222222222,1.75879567767535,0.11946613616987,0.0569741071793924,0.11605678478973,5
5,0.35224,0.6847,1.94383595778878,0.121090049136996,0.0542243764371708,0.1416306794967,5
6,13.36454,17.12434,1.28138236628843,1.69668622703197,1.31006443085827,0.0214580288742385,5
7,2.6702,3.77338,1.41372611113605,0.567361037611855,0.374331504151067,0.0843586196642448,5
8,1.7235,2.54798,1.47811438153477,0.261629187974125,0.0765633724440087,0.13411817465981,5
9,1.35485333333333,2.39424666666667,1.76549088581139,0.238849912892781,0.0968803775568384,0.0876345489646119,5
10,0.336877777777778,0.446757777777778,1.33705257365764,0.0564608322666865,0.0511019919401085,0.160651825822402,5
11,1.38771846153846,2.05441692307692,1.47707841492196,0.696012836619875,0.458838002429368,0.0873754111151733,5
12,0.167055,0.257918333333333,1.57459948806141,0.113089749326709,0.0814808407950401,0.166296469608688,5
13,1.23317333333333,1.77834666666667,1.44108721115948,0.652121299469832,0.449835607256202,0.0228419806835629,5
14,0.0376137927170868,0.0472268963585434,1.26613182340198,0.0282002108428345,0.023555359169263,0.148218754933773,5
15,0.513210693069307,0.908403564356436,1.7771183643123,0.447622165651272,0.246110505702729,0.174346000004124,5
16,10.0696781818182,13.2274,1.31344484119946,0.818028495836177,0.288680688049776,0.0686360937808995,5
17,0.4084,1.18766,2.93286827670435,1.29362376988056,0.0141957740190523,3.23586417257333,5
18,0.38446,0.52534,1.36448461437597,0.0630929710823639,0.0328065237414756,0.0838128557819627,5
19,2.03816888888889,4.53085333333333,2.25046897653287,1.08270240873884,0.135925060462478,0.681530325317061,5
20,0.35916,0.51922,1.44558512880415,0.0236454435357005,0.0148717181253546,0.0236295871028926,5
21,1.18632142857143,1.81125357142857,1.60109362109678,0.0666858023982361,0.327715121537523,0.368932163355018,4
22,2.5275,4.69996666666667,1.85899894918456,0.78112617632066,0.400452106999077,0.0975139215755302,3
23,0.953675,3.08085,3.24955467164069,0.386815317690497,0.0956176195408913,0.4522397723164,4
24,0.9957,1.714425,1.72770791278403,0.215553618619591,0.121398160337516,0.171900245427013,4
25,0.174602777777778,0.883647222222222,6.48264337488122,1.06405093237943,0.0479296632937974,9.23829919261776,4
26,0.7176,1.3522,1.88433667781494,NA,NA,NA,1
27,0.0292324637681159,0.038965652173913,1.46050278856657,0.00496461101909188,0.00879642001992752,0.382255678213173,4
28,5.359325,13.936825,2.60651505225003,1.32124280729673,0.431805715378263,0.238018650833051,4
29,0.15036,0.26953,1.79135764621845,0.0189937919682546,0.00786465511004774,0.0406019783565662,4
30,0.14551,0.28122,1.93293663685144,0.0152830188989828,0.00711178364875272,0.0587497267422885,4
31,1.30115,9.0225,7.0036195844297,0.755481087343246,0.160716074699038,0.93256859978795,4
32,0.383825,2.6709,6.99663791923924,0.847637394959268,0.0253038040618402,2.22313504576572,4
33,1.182,1.884,1.60029959849062,0.141068730293664,0.125240781430544,0.103963998946605,4
34,1.901375,3.130325,1.65505169799344,0.307124484804886,0.27902713577715,0.0985880330716855,4
35,0.542825,0.812625,1.50193902121488,0.0682686543493181,0.0640896962597473,0.064995054024758,4
36,0.6075,1.361375,2.24157150399078,0.100843455414816,0.0324453386482558,0.126858712885126,4
37,0.334022222222222,0.615813888888889,1.8503244945782,0.0608595383267882,0.0235347637098964,0.221856031257026,4
38,0.194075,0.3777,2.01677112248096,0.032926180059845,0.0452793091083923,0.413092326101963,4
39,1.038625,17.772625,17.0488221085113,6.41881600628185,0.027500712111992,5.95570494257367,4
40,0.232925,0.3878,1.66365898645201,0.0278454065631419,0.0116130314733062,0.0412360147404533,4
41,2.2463,3.2932,1.46743133136385,0.237827906969164,0.183876498407672,0.0501616553347512,4
42,6.14315,13.6244,2.25499692726126,1.91310309358034,1.29776034125463,0.258716234125497,4
43,3.090225,3.59535,1.16188591457005,0.499999029999059,0.117566474104369,0.136726028541988,4
44,3.243275,4.2743,1.31027838162172,0.7880806600004,0.382654111655248,0.108935208675775,4
45,0.745175,1.426975,1.91554381952997,0.155505291978548,0.0768721611941974,0.0782481113226096,4
46,1.81959166666667,3.79305833333333,2.08490205254905,0.236489568127927,0.117926607354838,0.0268069717906397,4
47,3.5401,7.2741,2.06018751697026,0.30165175285418,0.340118361750729,0.112724457025804,2
48,0.027863152173913,0.0359090398550725,1.29820932497317,0.00435589037766093,0.00467169202874806,0.0900367128936925,4
49,4.61013333333333,5.7592,1.24937397317245,0.461021995136891,0.374403009247166,0.0185508889237483,3
50,0.670225,1.43375,2.15904736825206,0.115718350604676,0.100471965409926,0.178204196333861,4
51,0.238165909090909,0.353186363636364,1.48186198728543,0.0365849217762921,0.0223200911051489,0.025065208324511,4
52,2.088525,15.10135,7.24046080793695,1.87568873306136,0.0656859891199536,0.979117733152452,4
53,1.8042,31.492775,17.4839293972724,4.09565118174143,0.123231949320512,2.18490534843275,4
54,0.7238,1.24375,1.7217444946248,0.121116706802434,0.0755350249884118,0.11033571061528,4
55,4.93715,21.7163,4.3413889583529,9.02293889853337,0.269778458492643,1.5690568062709,4
56,0.264463888888889,0.354978333333333,1.33944124390804,0.0445325993889121,0.012822045288111,0.108748470634818,3
57,3.315775,5.3199,1.60383233023536,0.311552809862683,0.0913462049932381,0.0681892682619318,4
58,3.471825,4.5963,1.32447524839528,0.410064848530083,0.263181197086722,0.0828646625766443,4
59,0.64705,1.18275,1.82625399199522,0.102035508525219,0.0234052344572747,0.0916337310316619,2
60,1.92219722222222,2.44341666666667,1.27131560844848,0.503032008038367,0.0712491665534967,0.258679229777689,4
61,5.813,6.46475,1.10865299677876,0.937617436200216,0.533581052887,0.0725134009268869,4
62,2.65935,2.924675,1.09752068982913,0.383616504467678,0.18382719240272,0.0941005554864748,4
63,2.242575,3.955975,1.76539477534153,0.279224776539141,0.0887132975752037,0.127988648517106,4
64,1.254525,1.5476,1.23999104300609,0.139262557782054,0.077225702759293,0.161196359611054,4
65,2.092575,4.143525,1.98029835887129,0.197171386953922,0.0447884936860648,0.0890188873638618,4
66,0.166146111111111,0.238987222222222,1.43889394825624,0.00495716777461475,0.00546966324826152,0.0219683576994551,4
67,44.17595,49.8059,1.12687927763481,6.15720804044603,5.01752494994627,0.0282681379025753,4
68,4.79637777777778,7.27197777777778,1.51669071068664,0.0714208289983724,0.130644969853983,0.0320576320464103,3
69,0.820125,1.510075,1.83793055465936,0.169074606313308,0.0655256374762327,0.069799162680771,4
70,0.432605555555556,0.610138888888889,1.41280134703873,0.0426378128709688,0.0244626270759457,0.10924453731229,4
71,0.113577759197324,0.329194736422997,2.92255782158072,0.110565821475828,0.0294955242171224,0.265777961127357,3
