"IDnum","clean_code","H","L","LH_L","W","area_LW","Perimeter1","Hue","PCof19WL","texture","Rectangularity1","LH_Circle","LW_Circle","Compactness Ellipse","BetaShape_a","BetaShape_b","Saturation","LH_area","Org.Filename","Org.Filename2","shape"
4,"ANCFIL",0.5760894,1.861212,1.861212,0.7976623,0.9956371,4.010468,1.083898,11.86005,0.3085235,0.7274032,0.2884575,0.4141387,0.9770579,2.273607,1.838235,6.814209,0.8110417,"ANCFIL_LW_Amy1","ANCFIL_LH_Amy1",0.0908981674373994
4,"ANCFIL",0.5760894,1.949841,1.994156,0.8862914,1.150776,4.232041,0.9850035,12.02773,0.1767005,0.7172583,0.262844,0.4166644,0.9642888,2.353368,1.710234,9.366345,0.8738827,"ANCFIL_LW_Amy1","ANCFIL_LH_Amy1",0.0908981674373994
4,"ANCFIL",0.7976623,2.03847,2.03847,0.930606,1.296096,4.4093,1.122171,11.79799,0.202088,0.7333333,0.2687036,0.4416349,0.9726922,2.245201,1.673142,8.07604,0.8994118,"ANCFIL_LW_Amy1","ANCFIL_LH_Amy1",0.0908981674373994
4,"ANCFIL",0.620404,2.215729,2.1271,1.107864,1.555315,4.808131,0.925091,11.18365,0.3231884,0.6836896,0.2602131,0.4452699,0.9651841,2.350189,1.660797,9.505746,0.9799268,"ANCFIL_LW_Amy1","ANCFIL_LH_Amy1",0.0908981674373994
4,"ANCFIL",0.7090331,2.437301,2.260043,1.06355,1.586735,5.096176,1.000397,11.62384,0.161076,0.6712962,0.2486899,0.390246,0.958899,2.346995,1.599637,10.56452,1.097754,"ANCFIL_LW_Amy1","ANCFIL_LH_Amy1",0.0908981674373994
4,"ANCFIL",0.6647186,2.348672,2.304358,1.107864,1.649576,5.14049,1.058226,13.15785,0.2551179,0.6826646,0.2475912,0.4096056,0.9590153,2.413899,1.672742,11.47594,1.12721,"ANCFIL_LW_Amy1","ANCFIL_LH_Amy1",0.0908981674373994
4,"ANCFIL",0.7090331,2.437301,2.348672,1.152179,1.81257,5.051861,0.9539641,12.21134,0.3569649,0.6837037,0.2485006,0.4722684,0.9798587,2.261647,1.886529,7.674587,1.138993,"ANCFIL_LW_Amy1","ANCFIL_LH_Amy1",0.0908981674373994
4,"ANCFIL",0.7090331,2.437301,2.392987,1.196493,1.851846,5.472849,0.9556872,11.77384,0.5890254,0.6716524,0.2545316,0.4399376,0.9479802,2.402741,1.58697,9.821728,1.211653,"ANCFIL_LW_Amy1","ANCFIL_LH_Amy1",0.0908981674373994
4,"ANCFIL",0.7533477,2.392987,2.392987,1.152179,1.859701,5.251276,1.015141,11.78199,0.2736923,0.714717,0.2826806,0.4406054,0.9716887,2.207077,1.679829,9.895651,1.239146,"ANCFIL_LW_Amy1","ANCFIL_LH_Amy1",0.0908981674373994
4,"ANCFIL",0.7533477,2.348672,2.392987,1.462381,1.946107,5.827366,0.826134,11.56685,0.3824264,0.6729751,0.2564945,0.4730718,0.9221493,1.868444,1.355192,7.046617,1.248965,"ANCFIL_LW_Amy1","ANCFIL_LH_Amy1",0.0908981674373994
5,"ATHPUS",0.3545166,2.171414,2.1271,1.639639,2.405632,4.985389,1.180239,29.59039,0.1686055,0.8099173,0.1292635,0.7976674,0.9945841,1.787639,1.66191,17.00988,0.4654161,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.4431457,2.348672,2.304358,1.728268,2.757149,5.317749,1.138452,28.84756,0.2056055,0.8066648,0.1618549,0.7950444,0.9945163,1.784532,1.682379,14.97611,0.7187439,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.5760894,2.260043,2.392987,2.171414,3.583901,6.115411,1.407079,37.08161,0.1750589,0.7895306,0.2428101,0.9694315,0.9944553,1.672361,1.666034,25.30496,0.9445788,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.5317749,2.348672,2.791818,2.304358,3.982548,6.425613,1.399031,35.93708,0.2154362,0.7925155,0.181219,0.9762282,0.9951277,1.669753,1.632971,22.76314,1.003492,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.5317749,2.658874,3.057705,2.171414,4.14947,6.713657,1.39973,36.65954,0.2460287,0.7947343,0.1454882,0.8509852,0.995651,1.635236,1.562375,17.39963,1.08008,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.8862914,2.924762,1.816897,2.03847,4.328174,6.957387,1.397971,39.73876,0.125888,0.760488,0.4368119,0.723322,0.9952936,1.55325,1.4519,25.76652,1.09579,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.8862914,2.880447,1.639639,2.260043,4.599175,7.17896,1.39074,35.80627,0.2446103,0.7929485,0.5056181,0.8505476,0.995015,1.634558,1.563974,15.75129,1.133102,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
5,"ATHPUS",0.5317749,3.013391,3.943997,2.260043,4.789662,7.17896,1.28412,26.84268,0.4120267,0.767532,0.1011733,0.7883083,0.9945688,1.733338,1.581081,17.09828,1.137029,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
