"IDnum","clean_code","H_1","H_2","L_1","L_2","LH_L_1","LH_L_2","W_1","W_2","area_LW_1","area_LW_2","Perimeter1_1","Perimeter1_2","Hue_1","Hue_2","PCof19WL_1","PCof19WL_2","texture_1","texture_2","Rectangularity1_1","Rectangularity1_2","LH_Circle_1","LH_Circle_2","LW_Circle_1","LW_Circle_2","Compactness Ellipse_1","Compactness Ellipse_2","BetaShape_a_1","BetaShape_a_2","BetaShape_b_1","BetaShape_b_2","Saturation_1","Saturation_2","LH_area_1","LH_area_2","shape_1","shape_2"
2,"ALLFAL",2.0650592,0.102765533719347,2.782955,0.181875629609907,NA,NA,2.0650592,0.102765533719347,3.9395413,0.374406441616609,6.7092261,0.270323015035079,0.2945475,1.51669766346862,5.033866,0.509503049929591,0.102710678,0.0297091879166761,0.74678339,0.0199443355955436,NA,NA,0.73114093,0.0372717912161776,0.97568124,0.0117361924807362,2.0386758,0.214480149278202,1.5715907,0.123864658787144,4.1150538,1.23307379404332,NA,NA,0.0160855694430029,0
3,"ANAARV",1.0280981,0.0803658201982382,1.2186506,0.0842107841948471,NA,NA,1.0280981,0.0803658201982382,0.90805242,0.106081344585944,3.0798627,0.168421202948012,0.88879799,0.0901593436502833,7.176409,0.690909662188593,0.37827335,0.0920723161980752,0.81554451,0.0153501198722391,NA,NA,0.83627289,0.0685507583903336,0.98884772,0.00839535739094994,1.6282074,0.1617729211561,1.5192552,0.107997535693902,15.040583,1.84443645220521,NA,NA,0.00850368516748637,0
4,"ANCFIL",0.68687584,0.0760410765809609,2.2467486,0.219146795977897,2.2112972,0.193106248533921,1.08570697,0.185968737668292,1.57043591,0.325089999642002,4.9299958,0.568487863353261,0.99257128,0.0851019068754344,11.898513,0.520434369670609,0.30288033,0.125121311903378,0.69586934,0.0244854019137118,0.26187066,0.0142573818830964,0.43434427,0.0267884159351285,0.96188142,0.0169058233567806,2.2723168,0.157581177441131,1.6663307,0.144460553980855,9.0241383,1.55074890784335,1.0627984,0.160459062631446,0.0908981674373994,0
5,"ATHPUS",0.677379880952381,0.151022884690796,3.02816233333333,0.485913645068373,NA,NA,2.2157284952381,0.391124733812464,4.66164233333333,1.18793270195901,7.36676976190476,1.16249999897557,1.36723033333333,0.0853191060954892,35.7810395238095,4.48337862390795,0.203849686666667,0.0926467785126463,0.762167861904762,0.0567424257228264,NA,NA,0.776757785714286,0.14223063431731,0.988873509523809,0.015847281394577,2.11789033333333,1.27445998334319,1.7534459047619,0.483167642806501,22.0536780952381,4.65859237900744,NA,NA,0.112500573347027,0
6,"AVEFAT",1.821329,0.105386275929185,8.3045506,0.345287285199248,8.415337,0.451655925978566,2.3974183,0.111424671061315,15.034906,0.840758240111601,17.256094,0.715145619952872,1.3129563,0.0334110833774596,36.966633,2.13621519585483,0.31011749,0.0896666185022355,0.77405444,0.0206770881508011,0.20285037,0.0183961745699147,0.28908829,0.0168426385834979,0.99663199,0.00175830380983112,1.4745674,0.0433518523254133,1.4149622,0.0692971001875259,22.636699,0.57120573011929,10.9798924,0.744066348693179,0.128812591538648,0
7,"BROELE",1.7016795,0.130792594594351,1.9897244,0.176579963625674,NA,NA,1.7016795,0.130792594594351,2.4423548,0.290322447937079,5.2069619,0.355438560024233,1.3774957,0.0568306929553819,3.8314516,0.329224204369471,0.152937437,0.0776827851558432,0.8051196,0.0157117568795543,NA,NA,0.84338385,0.0626283466684083,0.9832442,0.0111990628371802,1.6266552,0.197026166680018,1.4891202,0.198841165966317,9.1433274,0.694675197863673,NA,NA,0.00646163046559146,0
8,"BROHOR",1.6839537,0.377758453909388,11.5616722,1.61846977429902,11.7123396,1.73752889157768,1.8789379,0.371467946147129,10.5009275,2.08493064924303,23.105617,2.98003999681977,1.2376221,0.0211272530183174,31.684679,1.78232216738258,4.6325961,0.71610929224548,0.52244457,0.107119987759314,0.133621458,0.0318595780556261,0.166731,0.0457792215592766,0.91272819,0.0621614593446498,22.1423523,28.5387935723398,6.4278737,5.53683629743107,17.236275,1.12988384713995,9.2704224,1.43486802744466,0.164443905338797,0
9,"BROMAD",0.73119043,0.122256089353955,9.8378342,0.341985223179404,9.8068144,0.388605665141756,0.93060596,0.0753202321171145,6.357938,0.475707348366152,19.844064,0.728851508458494,1.04801281,0.0765639405919356,24.772517,2.29870392217997,1.6623597,0.332399832526716,0.73446217,0.0424749089255985,0.044697673,0.010741699235149,0.082579535,0.00881368080432189,0.97034335,0.0171945572003501,1.6276247,0.0895456800770174,1.4216159,0.102905658597734,18.308131,2.49676687367862,3.8158233,0.7617106073073,0.192811177830355,0
10,"CALCIL",0.94168466,0.257544767750435,1.40477205,0.130273496944929,NA,NA,0.94168466,0.257544767750435,0.96195821,0.334882795240863,3.2925725,0.428224049066607,0.97178453,1.08684865891954,7.024024,0.363828550281874,0.02114261805,0.0101916328912938,0.789683385,0.0241712665983106,NA,NA,0.65215727,0.152551837144445,0.98821218,0.00873292911707117,1.6581493,0.138723897546662,1.55068985,0.141509563628929,2.7889248,0.646317767651779,NA,NA,0.0393375488413412,0
11,"CALPAU",1.17433606,0.104971373498325,3.1241771,0.204946515326669,3.0975885,0.212473684798978,1.444655,0.156605994649701,3.1275179,0.332095619322524,6.9108573,0.422921112690469,1.13825043,0.112472337936757,7.3893639,0.387949792455287,0.14377073,0.0482989419971091,0.7311858,0.0240869492200422,0.33074186,0.0345026129538104,0.4446225,0.0457705740717282,0.96745141,0.00838188929795797,1.8482552,0.100848049296179,1.3536629,0.0572848120349345,5.8136463,1.47194458527223,2.4977335,0.312577235189872,0.0798481645828806,0
12,"CASATT",0.9350374,0.166401058895936,1.3161426,0.114515000965133,NA,NA,0.9350374,0.166401058895936,0.77137323,0.152504318633277,3.2061593,0.385201314257609,1.08541226,0.0892619901050236,13.748108,1.49383213454376,0.33230081,0.130547780625941,0.72807743,0.0430283457167494,NA,NA,0.6172721,0.117622226023864,0.93783108,0.0245791936349877,1.9132335,0.533119734805575,1.5601593,0.497280541814298,13.6077179,2.06351994502643,NA,NA,0.0301118150033316,0
14,"CENTRI",0.37224239,0.0520158891030306,0.49632319,0.0686518443877099,NA,NA,0.37224239,0.0520158891030306,0.138053818,0.0345889546357041,1.1942777,0.162972933816938,0.81877373,0.0830055524110559,10.4924025,0.955160851788064,0.09161803,0.0438450628899657,0.93903345,0.0689857459922982,NA,NA,0.73533171,0.0810017843217111,0.98924919,0.00945804821261295,1.5152823,0.17640587698578,1.4067144,0.173876421076835,12.6450307,2.05197073396458,NA,NA,0.0197124473467112,0
15,"CHAGLA",0.66028713,0.103295096515588,4.4757715,0.412546152310866,NA,NA,0.66028713,0.103295096515588,1.829655,0.296105295935228,9.385826,0.926270056737115,-0.38858657,0.0437759512118,NA,NA,NA,NA,NA,NA,NA,NA,0.102156954,0.0172903677590117,0.88546561,0.0417522784188533,1.376926,0.161117576125843,1.05957962,0.0753570633955113,28.918752,0.312235225993338,NA,NA,0.167150117991576,0
16,"CHLPOM",2.3885554,0.325945565507221,3.9750172,0.27161142192756,3.8996823,0.273173483097402,2.7120518,0.199059500270536,7.8861525,0.687409850175158,9.7957353,0.425620535793733,1.4318569,0.0948619700974351,4.4755521,0.348143798599069,0.48139391,0.428759388827501,0.76625936,0.0190274111266527,0.57089488,0.0976653024157596,0.66009345,0.0797539687617314,0.97693909,0.00697992919391817,1.700472,0.148993696133614,1.3658446,0.112557216322485,7.344843,1.08950127505795,6.5780779,0.723535600078063,0.0338082289778339,0
17,"CLAGRA",0.8153881,0.0787198927083732,1.7858771,0.130542116305173,NA,NA,0.8153881,0.0787198927083732,1.02980691,0.160478942572846,3.9595069,0.295439623489564,1.0634907,0.0410993100078605,11.849313,0.792878690399736,0.30493249,0.0889057119779708,0.79495482,0.0569129683361222,NA,NA,0.43050506,0.0486203167176302,0.96736571,0.0126058298343311,1.7128151,0.4569074631098,1.4859796,0.290359043478625,15.359893,1.25957648633755,NA,NA,0.068871392160152,0
20,"CRYHIS",0.87299704,0.132203099172911,1.8966638,0.173274517794292,NA,NA,0.87299704,0.132203099172911,1.04492786,0.16901819544491,4.1744326,0.385505689697802,1.05311542,0.133857900368669,12.6693285,2.30071121531057,0.26073704,0.124581775800941,0.6861189,0.0505146160202943,NA,NA,0.39379029,0.0339248244976857,0.93423793,0.0298542687746493,2.1131464,0.26659628445948,1.3454113,0.115813198337332,9.4649874,1.49023699256276,NA,NA,0.0689721305359475,0
21,"DICCAP",1.4313608,0.201510796618279,3.5540285,0.296756785681567,NA,NA,1.4313608,0.201510796618279,3.5063314,0.674564663244081,7.5534188,0.521044572949762,-0.0109971,1.56992876108075,5.041452,0.258499436871512,0.105273335,0.0627981436753547,0.72112719,0.0221915294000736,NA,NA,0.37882777,0.0470769065304152,0.97507251,0.0166325943083954,1.7147762,0.135622827336863,1.6227561,0.139195318721133,3.2206778,0.778669460393076,NA,NA,0.0834496677971634,0
22,"ELYELY",0.85970258,0.26699281879418,5.9824668,0.611637442615885,5.9115638,0.618501983917756,1.06354994,0.223777830081105,4.6832256,1.32612466468572,12.390356,1.36985237585296,1.3820486,0.126654586420311,35.738312,6.23038272848627,1.4597506,0.928425206261358,0.76570198,0.0409550225083811,0.118958322,0.0317741040748393,0.16262374,0.0242424550366294,0.98492722,0.00898269101589271,1.5689458,0.134989031327364,1.4654668,0.141143494268068,23.40734,2.13666866246267,3.454684,1.42331525963576,0.168979818599343,0
23,"EPIBRA",0.94833185,0.0758975034016454,2.4683216,0.118264466948915,2.4461643,0.130123651678829,1.3028486,0.0560538837809954,2.3206004,0.171738421345565,5.6257347,0.348690769392547,1.1653161,0.03003681501628,11.1111555,1.23189285311825,0.34863844,0.173898988531415,0.76246537,0.0209560956807878,0.35140695,0.0281851228941105,0.51023512,0.0280818576061643,0.97973164,0.00636807847229705,1.8178003,0.143739504809569,1.4620024,0.108055480709577,11.5340563,1.48118015329894,1.5938046,0.142518738244953,0.0718922368788964,0
24,"ERINUD",1.2408079,0.123587554547328,2.9026044,0.14359545184704,NA,NA,1.2408079,0.123587554547328,2.1503402,0.215435813065207,6.0467234,0.316546875488959,0.84574663,0.105531467632414,15.398703,3.37803326484526,0.5983603,0.36283933443529,0.64354775,0.0216270013402614,NA,NA,0.38243424,0.0439028951397716,0.95164494,0.0203429416253293,2.5601441,0.383641109838769,1.8306642,0.234583314993392,23.498107,3.45649758253785,NA,NA,0.0762992447806136,0
25,"ERILAN",0.71346458,0.131209039108472,2.6588743,0.23355806985894,NA,NA,0.71346458,0.131209039108472,1.19358635,0.124186051257791,5.6501077,0.482511115872428,1.1842537,0.0797620234782471,12.0670282,2.15030416096916,1.27721532,1.18935468015306,0.6965307,0.0682262194434075,NA,NA,0.19987556,0.0361636064254045,0.87589565,0.0638921885170332,1.3810028,0.100380437092316,1.1713199,0.05889716598813,9.1655385,1.77581260273038,NA,NA,0.124306937339838,0
26,"EUPCRE",1.3294372,0.0700673766863011,1.8966638,0.037076230508238,NA,NA,1.4978324,0.0577791923905137,2.0992822,0.058238846375937,4.6884814,0.0485439427972224,1.1113132,0.0317950839863649,14.3416118,7.72945972919856,0.380006178,0.513973293325996,0.79193708,0.0164334949781536,NA,NA,0.78649346,0.0508069218810587,0.9960649,0.00123409113925995,1.6582522,0.0549339973031273,1.5638046,0.037865045283216,17.412128,2.32982420764314,NA,NA,0.0177933811316605,0
27,"FILCAL",0.24816156,0.0309850297220807,0.67358149,0.0503099866072875,0.6514242,0.0554670265363526,0.34122222,0.0214059854652229,0.15631697,0.0239477670945678,1.4956167,0.0602290247639053,1.0504872,0.281670336231012,20.89815,1.62176755298381,0.50188432,0.951884425795941,0.84412825,0.0953105979752543,0.3042481,0.0394501777528456,0.43486948,0.0545080963243647,0.95432226,0.0642806400345513,1.397896,0.174618980746971,1.25266055,0.195229639714427,6.3369982,2.96335046500079,0.115273966,0.0120718918520671,0.0770205754253072,0
28,"FRIPUR",2.2112972,0.546126834466907,7.6797152,0.316848528254538,7.3473558,0.623141231037252,5.6988539,0.371467882522672,30.801318,2.21948405231586,18.889086,0.680551909379439,1.0672359,0.0331950474031895,19.242952,1.52184883907554,0.067495308,0.019996698601343,0.76268121,0.0210444379215058,0.24202182,0.0836585474739073,0.72590817,0.0514185806638688,0.96490111,0.00795623024127073,1.8739324,0.181242102888313,1.5506764,0.0511004566781072,30.876295,1.67427472129311,11.1167689,3.52088176559829,0.0925579247195386,0
