"species_code","seed_mass","species","nseedssp","nfam","spdrymf","sd_spdrymf"
"Gilcap",0.00307333333333333,"Gilia Capitata",80,3,0.00335925561029009,0.000767401317575594
"Gilcap",0.00277586206896552,"Gilia Capitata",80,3,0.00335925561029009,0.000767401317575594
"Gilcap",0.00422857142857143,"Gilia Capitata",80,3,0.00335925561029009,0.000767401317575594
"Elyely",0.0022,"Elymus Elymoides",1,1,0.0022,NA
"Lindic",2e-04,"Linanthus Dichotomus",125,3,0.000209564393939394,3.35664359376517e-05
"Lindic",0.000246875,"Linanthus Dichotomus",125,3,0.000209564393939394,3.35664359376517e-05
"Lindic",0.000181818181818182,"Linanthus Dichotomus",125,3,0.000209564393939394,3.35664359376517e-05
"Lolmul",0.0015,"Lolium multifloram",165,3,0.00191049019607843,0.000428514002441403
"Lolmul",0.002355,"Lolium multifloram",165,3,0.00191049019607843,0.000428514002441403
"Lolmul",0.00187647058823529,"Lolium multifloram",165,3,0.00191049019607843,0.000428514002441403
"Vicvil",0.0299333333333333,"Vicia Villosa",8,3,0.0311722222222222,0.00197514650183314
"Vicvil",0.0301333333333333,"Vicia Villosa",8,3,0.0311722222222222,0.00197514650183314
"Vicvil",0.03345,"Vicia Villosa",8,3,0.0311722222222222,0.00197514650183314
"Micdou",0.00415,"Microseris douglasii",88,8,0.00313018735650315,0.000747091106520959
"Micdou",0.00378333333333333,"Microseris douglasii",88,8,0.00313018735650315,0.000747091106520959
"Micdou",0.00375,"Microseris douglasii",88,8,0.00313018735650315,0.000747091106520959
"Holvir",0.00234285714285714,"Holocarpa virgata",88,3,0.00225684523809524,0.000220548968177014
"Holvir",0.00242142857142857,"Holocarpa virgata",88,3,0.00225684523809524,0.000220548968177014
"Holvir",0.00200625,"Holocarpa virgata",88,3,0.00225684523809524,0.000220548968177014
"Colspa",0.00167307692307692,"Colinsia sparsiflora",149,3,0.00149899585613871,0.000272351906314115
"Colspa",0.00163877551020408,"Colinsia sparsiflora",149,3,0.00149899585613871,0.000272351906314115
"Colspa",0.00118513513513514,"Colinsia sparsiflora",149,3,0.00149899585613871,0.000272351906314115
"Plaere",0.0017,"Plantago erecta",133,10,0.001663996003996,0.000278906650459441
"Plaere",0.00185,"Plantago erecta",133,10,0.001663996003996,0.000278906650459441
"Plaere",0.00158,"Plantago erecta",133,10,0.001663996003996,0.000278906650459441
"Lupmic",0.01565,"Lupinus microcarpus",19,9,0.0168071428571429,0.00450622019082105
"Lupmic",NA,"Lupinus microcarpus",19,9,0.0168071428571429,0.00450622019082105
"Lupmic",0.016,"Lupinus microcarpus",19,9,0.0168071428571429,0.00450622019082105
"Lupmic",0.0234571428571429,"Lupinus microcarpus",19,9,0.0168071428571429,0.00450622019082105
"Clagra",0.000501428571428571,"Clarkia gracilis",610,13,0.000704224634840137,0.00108610842849918
"Clagra",0.000410526315789474,"Clarkia gracilis",610,13,0.000704224634840137,0.00108610842849918
"Clagra",0.000471698113207547,"Clarkia gracilis",610,13,0.000704224634840137,0.00108610842849918
"Lupmic",0.02075,"Lupinus microcarpus",19,9,0.0168071428571429,0.00450622019082105
"Lupmic",0.012,"Lupinus microcarpus",19,9,0.0168071428571429,0.00450622019082105
"Lupmic",0.0165,"Lupinus microcarpus",19,9,0.0168071428571429,0.00450622019082105
"Lupmic",0.0201,"Lupinus microcarpus",19,9,0.0168071428571429,0.00450622019082105
"Lupmic",0.01,"Lupinus microcarpus",19,9,0.0168071428571429,0.00450622019082105
"Clagra",0.00430434782608696,"Clarkia gracilis",610,13,0.000704224634840137,0.00108610842849918
"Clagra",0.000277777777777778,"Clarkia gracilis",610,13,0.000704224634840137,0.00108610842849918
"Clagra",0.000235294117647059,"Clarkia gracilis",610,13,0.000704224634840137,0.00108610842849918
"Clagra",0.000357894736842105,"Clarkia gracilis",610,13,0.000704224634840137,0.00108610842849918
"Clagra",0.000331034482758621,"Clarkia gracilis",610,13,0.000704224634840137,0.00108610842849918
"Plaere",0.00192307692307692,"Plantago erecta",133,10,0.001663996003996,0.000278906650459441
"Plaere",0.00122,"Plantago erecta",133,10,0.001663996003996,0.000278906650459441
"Plaere",0.00169285714285714,"Plantago erecta",133,10,0.001663996003996,0.000278906650459441
"Avefat",0.01135,"Avena fatua",218,28,0.0215017955871562,0.00485935235373079
"Avefat",0.00857142857142857,"Avena fatua",218,28,0.0215017955871562,0.00485935235373079
"Avefat",0.0145,"Avena fatua",218,28,0.0215017955871562,0.00485935235373079
"Trigra",0.00164561403508772,"Trifolium gracilentum",115,3,0.00137334884403362,0.000250765489872546
"Trigra",0.00132258064516129,"Trifolium gracilentum",115,3,0.00137334884403362,0.000250765489872546
"Trigra",0.00115185185185185,"Trifolium gracilentum",115,3,0.00137334884403362,0.000250765489872546
"Calpau",0.00102142857142857,"Calycadenia Pauciflora",44,3,0.00127698412698413,0.000260867353775941
"Giltri",0.00054,"Gilia tricolor",43,3,0.00038427807486631,0.00015196867429243
"Giltri",0.000376470588235294,"Gilia tricolor",43,3,0.00038427807486631,0.00015196867429243
"Giltri",0.000236363636363636,"Gilia tricolor",43,3,0.00038427807486631,0.00015196867429243
"Hemcon",0.00115806451612903,"Hemizonia congesta",289,6,0.000835233948170901,0.000264585110728079
"Hemcon",9e-04,"Hemizonia congesta",289,6,0.000835233948170901,0.000264585110728079
"Hemcon",0.000750877192982456,"Hemizonia congesta",289,6,0.000835233948170901,0.000264585110728079
"Lascal",0.000141818181818182,"Lasthenia californica",142,3,0.00014759793052476,1.16210228677779e-05
"Lascal",0.000160975609756098,"Lasthenia californica",142,3,0.00014759793052476,1.16210228677779e-05
"Lascal",0.00014,"Lasthenia californica",142,3,0.00014759793052476,1.16210228677779e-05
"Calpau",0.00154285714285714,"Calycadenia Pauciflora",44,3,0.00127698412698413,0.000260867353775941
"Calpau",0.00126666666666667,"Calycadenia Pauciflora",44,3,0.00127698412698413,0.000260867353775941
"Urolin",0.00175,"Uropappus Lindeye",103,3,0.00182412854030501,0.000125855856544913
"Urolin",0.00196944444444444,"Uropappus Lindeye",103,3,0.00182412854030501,0.000125855856544913
