"nseedssp","nfam","spdrymf","sd_spdrymf","IDnum","family","annual","MarinaSp","nat.inv","Functional.group","clean_code","spdryperseed","spwetperseed","spPerm_pctch","sd_spwetperseed","sd_spdryperseed","sd_spPerm_pctch","SS_SCP","C","N","cn","cn_samplemass","nsamples","starch","mucilage","germ_is_disp","lump_dispcat","H_1","H_2","L_1","L_2","LH_L_1","LH_L_2","W_1","W_2","area_LW_1","area_LW_2","Perimeter1_1","Perimeter1_2","Hue_1","Hue_2","PCof19WL_1","PCof19WL_2","texture_1","texture_2","Rectangularity1_1","Rectangularity1_2","LH_Circle_1","LH_Circle_2","LW_Circle_1","LW_Circle_2","Compactness.Ellipse_1","Compactness.Ellipse_2","BetaShape_a_1","BetaShape_a_2","BetaShape_b_1","BetaShape_b_2","Saturation_1","Saturation_2","LH_area_1","LH_area_2","shape_1","shape_2","SCTlongonly"
215,3,0.000444063492063492,5.13934036136567e-05,1,"Asteraceae","annual","yes","native","Forb","AGOHET",0.299043636363636,0.620747272727273,2.07629945396632,0.0367936912935936,0.0083001627983636,0.119790580122174,5,1290.27,116.66,11.0600891479513,3.038,1,0,0,"no","elong_long",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2
147,6,0.00399585839527349,0.000574160772083996,2,"ALLIACEAE","bulb","no","native","Forb","ALLFAL",4.06432,5.73764,1.413291606564,0.331426172774571,0.221772275093169,0.0786932750363235,5,1279.71,95.72,13.369306310071,2.93,1,0,0,"yes","coarse",2.0650592,0.102765533719347,2.782955,0.181875629609907,NA,NA,2.0650592,0.102765533719347,3.9395413,0.374406441616609,6.7092261,0.270323015035079,0.2945475,1.51669766346862,5.033866,0.509503049929591,0.102710678,0.0297091879166761,0.74678339,0.0199443355955436,NA,NA,0.73114093,0.0372717912161776,0.97568124,0.0117361924807362,2.0386758,0.214480149278202,1.5715907,0.123864658787144,4.1150538,1.23307379404332,NA,NA,0.0160855694430029,0,2.8
514,5,0.000427910268985823,3.85816499551393e-05,3,"Primulaceae","annual","yes","invasive","Forb","ANAARV",0.43258,0.55914,1.29293938697498,0.0311877059111439,0.0264959808272878,0.00931948910957236,5,1523.57,69.3,21.9851370851371,3.015,1,0,0,"yes","coarse",1.0280981,0.0803658201982382,1.2186506,0.0842107841948471,NA,NA,1.0280981,0.0803658201982382,0.90805242,0.106081344585944,3.0798627,0.168421202948012,0.88879799,0.0901593436502833,7.176409,0.690909662188593,0.37827335,0.0920723161980752,0.81554451,0.0153501198722391,NA,NA,0.83627289,0.0685507583903336,0.98884772,0.00839535739094994,1.6282074,0.1617729211561,1.5192552,0.107997535693902,15.040583,1.84443645220521,NA,NA,0.00850368516748637,0,1.8
218,28,0.0215017955871562,0.00485935235373079,6,"Poaceae","annual","yes","invasive","Grass","AVEFAT",13.36454,17.12434,1.28138236628843,1.69668622703197,1.31006443085827,0.0214580288742385,5,1279.74,53.395,23.9674126790898,3.0055,2,1,0,"no","elong_long",1.821329,0.105386275929185,8.3045506,0.345287285199248,8.415337,0.451655925978566,2.3974183,0.111424671061315,15.034906,0.840758240111601,17.256094,0.715145619952872,1.3129563,0.0334110833774596,36.966633,2.13621519585483,0.31011749,0.0896666185022355,0.77405444,0.0206770881508011,0.20285037,0.0183961745699147,0.28908829,0.0168426385834979,0.99663199,0.00175830380983112,1.4745674,0.0433518523254133,1.4149622,0.0692971001875259,22.636699,0.57120573011929,10.9798924,0.744066348693179,0.128812591538648,0,6.6
195,5,0.00229524196965845,0.000589630740239069,7,"THEMIDACEAE","perennial","no","native","Forb","BROELE",2.6702,3.77338,1.41372611113605,0.567361037611855,0.374331504151067,0.0843586196642448,5,1369.605,79.85,17.1522229179712,2.995,2,1,0,"yes","coarse",1.7016795,0.130792594594351,1.9897244,0.176579963625674,NA,NA,1.7016795,0.130792594594351,2.4423548,0.290322447937079,5.2069619,0.355438560024233,1.3774957,0.0568306929553819,3.8314516,0.329224204369471,0.152937437,0.0776827851558432,0.8051196,0.0157117568795543,NA,NA,0.84338385,0.0626283466684083,0.9832442,0.0111990628371802,1.6266552,0.197026166680018,1.4891202,0.198841165966317,9.1433274,0.694675197863673,NA,NA,0.00646163046559146,0,3.4
351,10,0.00184802637589449,0.000258962367812488,8,"Poaceae","annual","yes","invasive","Grass","BROHOR",1.7235,2.54798,1.47811438153477,0.261629187974125,0.0765633724440087,0.13411817465981,5,1300.83,60.57,21.4764735017335,3.226,1,1,0,"no","elong_short",1.6839537,0.377758453909388,11.5616722,1.61846977429902,11.7123396,1.73752889157768,1.8789379,0.371467946147129,10.5009275,2.08493064924303,23.105617,2.98003999681977,1.2376221,0.0211272530183174,31.684679,1.78232216738258,4.6325961,0.71610929224548,0.52244457,0.107119987759314,0.133621458,0.0318595780556261,0.166731,0.0457792215592766,0.91272819,0.0621614593446498,22.1423523,28.5387935723398,6.4278737,5.53683629743107,17.236275,1.12988384713995,9.2704224,1.43486802744466,0.164443905338797,0,0.22
64,2,0.000286607142857143,5.42956992696813e-05,10,"MONTIACEAE","annual","no","native","Forb","CALCIL",0.336877777777778,0.446757777777778,1.33705257365764,0.0564608322666865,0.0511019919401085,0.160651825822402,5,1438.52,97.98,14.6817717901613,3.009,1,1,0,"yes","smooth",0.94168466,0.257544767750435,1.40477205,0.130273496944929,NA,NA,0.94168466,0.257544767750435,0.96195821,0.334882795240863,3.2925725,0.428224049066607,0.97178453,1.08684865891954,7.024024,0.363828550281874,0.02114261805,0.0101916328912938,0.789683385,0.0241712665983106,NA,NA,0.65215727,0.152551837144445,0.98821218,0.00873292911707117,1.6581493,0.138723897546662,1.55068985,0.141509563628929,2.7889248,0.646317767651779,NA,NA,0.0393375488413412,0,2.8
44,3,0.00127698412698413,0.000260867353775941,11,"Asteraceae","annual","yes","native","Forb","CALPAU",1.38771846153846,2.05441692307692,1.47707841492196,0.696012836619875,0.458838002429368,0.0873754111151733,5,1279.71,78.79,16.2420357913441,2.827,1,0,0,"yes","elong_short",1.17433606,0.104971373498325,3.1241771,0.204946515326669,3.0975885,0.212473684798978,1.444655,0.156605994649701,3.1275179,0.332095619322524,6.9108573,0.422921112690469,1.13825043,0.112472337936757,7.3893639,0.387949792455287,0.14377073,0.0482989419971091,0.7311858,0.0240869492200422,0.33074186,0.0345026129538104,0.4446225,0.0457705740717282,0.96745141,0.00838188929795797,1.8482552,0.100848049296179,1.3536629,0.0572848120349345,5.8136463,1.47194458527223,2.4977335,0.312577235189872,0.0798481645828806,0,5
172,11,0.00110356836765928,0.000543070488559351,13,"Asteraceae","annual","yes","invasive","Forb","CENSOL",1.23317333333333,1.77834666666667,1.44108721115948,0.652121299469832,0.449835607256202,0.0228419806835629,5,1374.925,49.71,27.6589217461275,2.866,2,0,0,"no","elong_long",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2
116,5,0.00063265873015873,0.000177799677116314,15,"Asteraceae","annual","yes","native","Forb","CHAGLA",0.513210693069307,0.908403564356436,1.7771183643123,0.447622165651272,0.246110505702729,0.174346000004124,5,1385.49,80.48,17.2153330019881,2.872,1,0,0,"no","elong_short",0.66028713,0.103295096515588,4.4757715,0.412546152310866,NA,NA,0.66028713,0.103295096515588,1.829655,0.296105295935228,9.385826,0.926270056737115,-0.38858657,0.0437759512118,NA,NA,NA,NA,NA,NA,NA,NA,0.102156954,0.0172903677590117,0.88546561,0.0417522784188533,1.376926,0.161117576125843,1.05957962,0.0753570633955113,28.918752,0.312235225993338,NA,NA,0.167150117991576,0,1.1
