"","X","SCT","mass","SCP","C","N","cn","L","area","Fit_shape","Intensity","P","texture_1","Fit_rect","Fit_compact","germ_is_disp","lump_dispcat","mucilage","starch","annual","family","Functional.group","nat.inv","how3d","SCTmm","SCTperL","SCPpc","SA_2D"
"1","ALLFAL",1.67332005306815,1.40224644733382,0.345921456482378,0.436761092150171,32.6689419795222,13.369306310071,1.02351331281187,1.37106429521256,-4.12983271680384,5.033866,1.90348360901154,-2.27583919471629,0.74678339,2.6529739074605,0,"coarse",0,0,"bulb","ALLIACEAE","Forb","native",0,0.035,0.112145262083737,-0.887436770457526,0.532419313798986
"2","ANAARV",1.34164078649987,-0.837987998616981,0.256918220868013,0.505330016583748,22.9850746268657,21.9851370851371,0.197744181029447,-0.0964531707696968,-4.76725566032509,7.176409,1.12488501806978,-0.972138196560036,0.81554451,2.68813520264763,0,"coarse",0,0,"annual","Primulaceae","Forb","invasive",0,0.0225,0.135878785277519,-1.22905077634581,1.22133818883948
"3","AVEFAT",2.56904651573303,2.59260493074192,0.247939468842339,0.425799367825653,17.7657627682582,23.9674126790898,2.11680362962042,2.71037456434246,-2.04939670969689,36.966633,2.84816535645264,-1.1708040533053,0.77405444,2.7091420281871,1,"elong_long",0,1,"annual","Poaceae","Grass","invasive",0.269706614727089,0.0825,0.0996710208624266,-1.2682391662442,0.137790792110175
"4","BROELE",1.84390889145858,0.982153375973858,0.34622885078893,0.457297161936561,26.661101836394,17.1522229179712,0.687996136683123,0.892962655880126,-5.04187359897924,3.8314516,1.64999655708082,-1.87772634971231,0.8051196,2.67311430752396,0,"coarse",0,1,"perennial","THEMIDACEAE","Forb","native",0,0.0425,0.146149724881278,-0.883956457720279,0.757033901200696
"5","BROHOR",0.469041575982343,0.544357106974783,0.390767208932667,0.403233106013639,18.7755734655921,21.4764735017335,2.44769550676209,2.35146358659565,-1.80518576791072,31.684679,3.14007574814226,1.53311742370047,0.52244457,2.49110949112267,1,"elong_short",0,1,"annual","Poaceae","Grass","invasive",0.117180610950795,0.00275,0.0154225441060628,-0.737359501377006,0.788612161546613
"6","CALCIL",1.67332005306815,-1.08803509163034,0.290467619454147,0.478072449318711,32.5623130608176,14.6817717901613,0.339875047630171,-0.0387842700084479,-3.23557577499489,7.024024,1.19166917413471,-3.85646446278322,0.789683385,2.68642732796976,0,"smooth",0,1,"annual","MONTIACEAE","Forb","native",0,0.035,0.157845095900307,-1.12033132612472,1.23045344414315
"7","CALPAU",2.23606797749979,0.327661004001989,0.390066092811588,0.452674212946587,27.8705341351256,16.2420357913441,1.13917092051146,1.14023968676381,-2.52762839039768,7.3893639,1.93309369665415,-1.9395354010061,0.7311858,2.6312299803459,0,"elong_short",0,0,"annual","Asteraceae","Forb","native",0.201368759552104,0.0625,0.14143998001696,-0.733078420939705,0.792854009890333
"8","CHAGLA",1.04880884817015,-0.667068810391264,0.574993156021365,0.48241295264624,28.0222841225627,17.2153330019881,1.4986787391019,0.604127424490171,-1.78886296021394,13.89008905,2.23920067895194,-1.13837098448866,NA,2.42411281993147,1,"elong_short",0,0,"annual","Asteraceae","Forb","native",0,0.01375,0.0554264924210246,-0.261312541120922,1.63507325446176
"9","CHLPOM",2.14476105895272,2.3095287481084,0.272653335504146,0.497337115072934,34.3176661264182,14.4921601964674,1.38002907514096,2.06510837333592,-3.3870510452423,4.4755521,2.28194711749168,-0.731069404315595,0.76625936,2.65631305032016,0,"coarse",0,0,"bulb","AGAVACEAE","Forb","native",0.16586980786892,0.0575,0.120271967693397,-1.15967792412775,0.216838744155766
"10","CLAGRA",1.4142135623731,-0.895508192691627,1.07598087821433,0.517165648336728,63.9850644942295,8.08259946949602,0.579909667096663,0.0293713186481763,-2.6755143953108,11.849313,1.37611949731109,-1.18766487113728,0.79495482,2.63100449359883,0,"smooth",0,0,"annual","Onagraceae","Forb","native",0,0.025,0.118316201985917,0.646097665126697,1.34674817866291
"11","CLAPUR",1.48323969741913,-0.955915526657423,0.310776785452975,0.538604395604396,56.5457875457875,9.52510202759604,0.406973303542777,-0.0220825547567142,-3.67257082961546,14.020755,1.24856585865375,-1.30205281323434,0.76264321,2.60200137882537,0,"smooth",0,0,"annual","Onagraceae","Forb","native",0,0.0275,0.135298573252678,-1.00393128813676,1.27064841341046
"12","COLSPA",1.08397416943394,0.712051801283051,0.811138628511586,0.413686113393591,20.1002465078061,20.5811462676805,1.14200384303999,1.6314595660653,-2.87612202909751,13.7594231,2.04347526509836,-0.0576216340510432,0.78745827,2.67239942524917,0,"flat",0,0,"annual","Plantaginaceae","Forb","native",0.357115397136589,0.0146875,0.0684685224874532,0.201308418610064,0.41201569903306
"13","CRYHIS",2.14476105895272,-1.02398730732953,0.368514173029458,0.519812350733538,46.301603548277,11.2266597892565,0.640096448045438,0.0439478495410302,-2.67405276125271,12.6693285,1.42897844487539,-1.34424288911692,0.6861189,2.5452730422394,0,"smooth",0,0,"annual","Boraginaceae","Forb","native",0,0.0575,0.174116025353435,-0.808219226713707,1.38503059533436
"14","DICCAP",1.34164078649987,0.17085728288807,0.470686908942475,0.494248739495798,41.690756302521,11.855115697815,1.26808174883368,1.25457030570566,-2.48351160974305,5.041452,2.02200028196041,-2.25119512077995,0.72112719,2.65135945408676,0,"coarse",0,1,"perennial","THEMIDACEAE","Forb","native",0,0.0225,0.0795666010244119,-0.640969489456686,0.767429976254746
"15","ELYELY",1.58113883008419,0.927230671912489,0.620038143480707,0.413631561571476,21.5978870914493,19.1514827269948,1.78883299126556,1.54398710328834,-1.77797598776172,35.738312,2.51691842807734,0.378265599210711,0.76570198,2.67761700036402,1,"elong_long",0,1,"perennial","Poaceae","Grass","native",0.262328084301555,0.03125,0.0722744611230119,-0.15136743717927,0.972931324789002
