"","clean_code","SCT","mass","SCP","C","N","cn","L","W","area","Fit_shape","Intensity","P","texture_1","Fit_rect","Fit_compact","germ_is_disp","lump_dispcat","mucilage","starch","annual","family","Functional.group","nat.inv","how3d","SCTmm","SCTperL","SCPpc","SCTperW","SCTperMass","disp2"
"ALLFAL","ALLFAL",2.8,4.06432,1.413291606564,0.436761092150171,32.6689419795222,13.369306310071,2.782955,2.0650592,3.9395413,0.0160855694430029,5.033866,6.7092261,0.102710678,0.74678339,0.97568124,0,"coarse",0,0,"bulb","ALLIACEAE","Forb","native",0,0.035,0.0125765598078302,0.411709707897016,0.0169486666532369,0.00861152665144477,0
"ANAARV","ANAARV",1.8,0.43258,1.29293938697498,0.505330016583748,22.9850746268657,21.9851370851371,1.2186506,1.0280981,0.90805242,0.00850368516748637,7.176409,3.0798627,0.37827335,0.81554451,0.98884772,0,"coarse",0,0,"annual","Primulaceae","Forb","invasive",0,0.0225,0.0184630442884942,0.292570160432752,0.0218850710841699,0.0520135003929909,0
"AVEFAT","AVEFAT",6.6,13.36454,1.28138236628843,0.425799367825653,17.7657627682582,23.9674126790898,8.3045506,2.3974183,15.034906,0.128812591538648,36.966633,17.256094,0.31011749,0.77405444,0.99663199,1,"elong_long",0,1,"annual","Poaceae","Grass","invasive",0.269706614727089,0.0825,0.00993431239975827,0.28132655519756,0.0344120172937697,0.00617305197185986,1
"BROELE","BROELE",3.4,2.6702,1.41372611113605,0.457297161936561,26.661101836394,17.1522229179712,1.9897244,1.7016795,2.4423548,0.00646163046559146,3.8314516,5.2069619,0.152937437,0.8051196,0.9832442,0,"coarse",0,1,"perennial","THEMIDACEAE","Forb","native",0,0.0425,0.0213597420828734,0.413145082765336,0.0249753258471998,0.0159164107557486,0
"BROHOR","BROHOR",0.22,1.7235,1.47811438153477,0.403233106013639,18.7755734655921,21.4764735017335,11.5616722,1.8789379,10.5009275,0.164443905338797,31.684679,23.105617,4.6325961,0.52244457,0.91272819,1,"elong_short",0,1,"annual","Poaceae","Grass","invasive",0.117180610950795,0.00275,0.000237854866703451,0.478375398897592,0.00146359280953351,0.00159559036843632,1
"CALCIL","CALCIL",2.8,0.336877777777778,1.33705257365764,0.478072449318711,32.5623130608176,14.6817717901613,1.40477205,0.94168466,0.96195821,0.0393375488413412,7.024024,3.2925725,0.02114261805,0.789683385,0.98821218,0,"smooth",0,1,"annual","MONTIACEAE","Forb","native",0,0.035,0.024915074299777,0.326171707510142,0.0371674313989568,0.103895247204723,0
"CALPAU","CALPAU",5,1.38771846153846,1.47707841492196,0.452674212946586,27.8705341351256,16.2420357913441,3.1241771,1.444655,3.1275179,0.0798481645828806,7.3893639,6.9108573,0.14377073,0.7311858,0.96745141,0,"elong_short",0,0,"annual","Asteraceae","Forb","native",0.201368759552104,0.0625,0.020005267947198,0.480427752470297,0.0432629243660251,0.0450379538301385,2
"CHAGLA","CHAGLA",1.1,0.513210693069307,1.7771183643123,0.48241295264624,28.0222841225627,17.2153330019881,4.4757715,0.66028713,1.829655,0.167150117991576,13.89008905,9.385826,-1.13837098448867,NA,0.88546561,1,"elong_short",0,0,"annual","Asteraceae","Forb","native",0,0.01375,0.0030720960620979,0.770040212770391,0.0208242738276604,0.0267921151793755,1
"CHLPOM","CHLPOM",4.6,10.0696781818182,1.31344484119946,0.497337115072934,34.3176661264182,14.4921601964674,3.9750172,2.7120518,7.8861525,0.0338082289778339,4.4755521,9.7957353,0.48139391,0.76625936,0.97693909,0,"coarse",0,0,"bulb","AGAVACEAE","Forb","native",0.16586980786892,0.0575,0.0144653462128415,0.313587163478906,0.0212016599387962,0.00571021227905991,0
"CLAGRA","CLAGRA",2,0.4084,2.93286827670435,0.517165648336728,63.9850644942295,8.08259946949602,1.7858771,0.8153881,1.02980691,0.068871392160152,11.849313,3.9595069,0.30493249,0.79495482,0.96736571,0,"smooth",0,0,"annual","Onagraceae","Forb","native",0,0.025,0.0139987236523723,1.90808031341822,0.0306602463293247,0.0612144955925563,0
