IDnum,Species_name,family,annual,MarinaSp,nat.inv,Functional.group,species_code,falsename,tolumpname
101,Achyrachaena mollis,Asteraceae,annual,yes,native,Forb,Achmol,,
1,Agoseris heterophylla,Asteraceae,annual,yes,native,Forb,Agohet,,Agoseris
102,Allium amplectens,ALLIACEAE,bulb,no,native,Forb,Allamp,,
2,Allium falcifolium,ALLIACEAE,bulb,no,native,Forb,Allfal,Allgal,
103,Amsinckia menziesii,Boraginaceae,annual,yes,native,Forb,Amsmen,,
3,Anagallis arvensis,Primulaceae,annual,yes,invasive,Forb,Anaarv,,
4,Ancistrocarphus filagineus,Asteraceae,annual,yes,native,Forb,Ancfil,,
4,Ancistrocarpus filagineus,Asteraceae,annual,yes,native,Forb,Ancfil,,
104,Aphanes occidentalis,Rosaceae,A/P,no,native,Forb,Aphocc,,
105,Astragalus breweri,Fabaceae,annual,no,native,N-fixer,Astbre,,
106,Astragalus gambelianus,Fabaceae,annual,yes,native,N-fixer,Astgam,,
107,Astragalus,Fabaceae,annual,no,native,N-fixer,Astragsp,Astragalussp,NA
5,Athysanus pusillus,Brassicaceae,annual,yes,native,Forb,Athpus,,
6,Avena fatua,Poaceae,annual,yes,invasive,Grass,Avefat,,
108,Bromus diandrus,Poaceae,annual,yes,invasive,Grass,Brodia,,
7,Brodiaea elegans,THEMIDACEAE,perennial,no,native,Forb,Broele,,
8,Bromus hordeaceus,Poaceae,annual,yes,invasive,Grass,Brohor,,
9,Bromus madritensis,Poaceae,annual,yes,invasive,Grass,Bromad,,
10,Calandrinia cilata,MONTIACEAE,annual,no,native,Forb,Calcil,,
10,Calandrinia ciliata,MONTIACEAE,annual,no,native,Forb,Calcil,,
109,Calochortus luteus,LILIACEAE,bulb,no,native,Forb,Callut,,
11,Calycadenia pauciflora,Asteraceae,annual,yes,native,Forb,Calpau,,
110,Calochortus superbus,LILIACEAE,bulb,no,native,Forb,Calsup,,
111,Camissonia graciliflora,Onagraceae,annual,no,native,Forb,Camgra,,
112,Carduus pycnocephalus,Asteraceae,annual,yes,invasive,Forb,Carpyc,,
12,Castillea attenuata,Orobanchaceae,annual,yes,native,Forb,Casatt,,
12,Castilleja attenuata,Orobanchaceae,annual,yes,native,Forb,Casatt,,
113,Castillea rubicundula,Orobanchaceae,annual,no,native,Forb,Casrub,,
13,Centaurea Solstistalis,Asteraceae,annual,yes,invasive,Forb,Censol,,
13,Centaurea solstitialis,Asteraceae,annual,yes,invasive,Forb,Censol,,
14,Centaurium trichanthum,Asteraceae,annual,no,native,Forb,Centri,,
14,Centri,Asteraceae,annual,no,native,Forb,Centri,,
114,Cercocarpus betuloides,Rosaceae,shrub,no,native,Shrub,Cerbet,,
115,Cerastium glomeratum,Caryophyllaceae,annual,no,invasive,Forb,Cerglo,,
15,Chaenactis glabriuscula,Asteraceae,annual,yes,native,Forb,Chagla,,
16,Chlorogalum pomeridianum,AGAVACEAE,bulb,no,native,Forb,Chlpom,,
116,Chorizanthe polygonoides,polygonaceae,annual,no,native,Forb,Chopol,,
117,Circium sp.,Asteraceae,Biennial,no,invasive,Forb,Cirsp.,,
118,Claytonia exigua,MONTIACEAE,annual,no,native,Forb,Claexi,,
17,Clarkia gracilis,Onagraceae,annual,yes,native,Forb,Clagra,,
18,Clarkia purpurea,Onagraceae,annual,yes,native,Forb,Clapur,,
80,Clarkia_lump,Onagraceae,annual,no,native,Forb,Clarkiasp,,Clagra
80,Clarkia_lump,Onagraceae,annual,no,native,Forb,Clarkiasp,,Clapur
19,Colinsia sparsiflora,Plantaginaceae,annual,yes,native,Forb,Colspa,,
19,Collinsia sparsiflora,Plantaginaceae,annual,yes,native,Forb,Colspa,,
119,Crassula connata,CRASSULACEAE,annual,no,native,Forb,Cracon,,
20,Cryptantha hispidula,Boraginaceae,annual,no,native,Forb,Cryhis,,
120,Cryptantha micrantha,Boraginaceae,annual,yes,native,Forb,Crymic,,
121,Cuscuta californica,CONVOLVULACEAE,annual,no,native,Forb,Cuscal,,
122,Cynosurus echinatus,Poaceae,annual,yes,invasive,Grass,Cynech,,
123,Dactylis glomerata,Poaceae,perennial,no,invasive,Grass,Dacglo,,
124,Daucus pusillus,Apiaceae,annual,yes,native,Forb,Daupus,,
125,Delphinium variegatum,Ranunculaceae,perennial,no,native,Forb,Delvar,,
21,Dichelostemma capitatum,THEMIDACEAE,perennial,no,native,Forb,Diccap,,
126,Draba verna,Brassicaceae,annual,NA,invasive,Forb,Draver,Draver,NA
22,Elymus elymoides,Poaceae,perennial,no,native,Grass,Elyely,,
23,Epilobium brachycarpum,Onagraceae,annual,yes,native,Forb,Epibra,,Epilobiumsp
127,Epilobium ciliatum,Onagraceae,perennial,no,native,Forb,Epicil,Epicil,NA
128,Epilobium minutum?,Onagraceae,annual,NA,native,Forb,Epimin,Epimin,NA
129,Eremocarpus setigerus,EUPHORBIACEAE,annual,no,native,Forb,Ereset,,
25,Eriophyllum lanatum,Asteraceae,perennial,no,native,Forb,Erilan,,
24,Erigonum nudum,polygonaceae,shrub,no,native,Forb,Erinud,,
24,Eriogonum nudum,polygonaceae,shrub,no,native,Forb,Erinud,Eriogonumsp,
130,Eriogonum vimineum,polygonaceae,annual,no,native,Forb,Erivim,,
131,Erodium brachycarpum,Geraniaceae,annual,no,invasive,Forb,Erobra,,
132,Erodium cicutarium,Geraniaceae,annual,yes,invasive,Forb,Erocic,,
26,Euphorbia crenulata,Euphorbiaceae,annual,yes,native,Forb,Eupcre,,
27,Filago californica,Asteraceae,annual,no,native,Forb,Filcal,,Filgal
27,Filago gallica,Asteraceae,annual,no,invasive,Forb,NA,,Filgal
28,Fritillaria purdyi,LILIACEAE,bulb,no,native,Forb,Fripur,,
29,Galium aparine,Rubiaceae,annual,no,native,Forb,Galapa,Galape,
81,Galium_lump,Rubiaceae,annual,no,NA,Forb,Galiumsp,,Galapa
81,Galium_lump,Rubiaceae,annual,no,NA,Forb,Galiumsp,,Galmur
30,Galium murale,Rubiaceae,annual,yes,invasive,Forb,Galmur,,
133,Gastridium ventricosum,Poaceae,annual,yes,invasive,Grass,Gasven,,
134,Geranium dissectum,Geraniaceae,annual,yes,invasive,Forb,Gerdis,,
31,Gilia capitata,Polemoniaceae,annual,yes,native,Forb,Gilcap,,
32,Gilia tricolor,Polemoniaceae,annual,yes,native,Forb,Giltri,,
32,Gilia tricolor,Polemoniaceae,annual,yes,native,Forb,Giltri,,
33,Hemizonia congesta,Asteraceae,annual,yes,native,Forb,Hemcon,,
135,Hesperolinon californicum,Linaceae,annual,no,native,Forb,Hescal,,
136,Hesperolinon micranthum,Linaceae,annual,NA,native,Forb,Hesmic,Hesmic,NA
34,Holocarpa virgata,Asteraceae,annual,yes,native,Forb,Holvir,,
137,Hordeum brachyantherum,Poaceae,perennial,no,native,Grass,Horbra,,
35,Hypochaeris glabra,Asteraceae,annual,yes,invasive,Forb,Hypgla,,
138,Juncus bufonius,JUNCACEAE,annual,no,native,Grass,Junbuf,Jumbuf,
36,Lactuca serriola,Asteraceae,annual,no,invasive,Forb,Lacser,,
37,Lagophylla minor,Asteraceae,annual,yes,native,Forb,Lagmin,,
38,Lasthenia californica,Asteraceae,annual,yes,native,Forb,Lascal,,
38,Lasthenia californica,Asteraceae,annual,yes,native,Forb,Lascal,,
39,Lepidium,Brassicaceae,annual,yes,native,Forb,Lepnit,,
39,Lepidium nitidum,Brassicaceae,annual,yes,native,Forb,Lepnit,Lepnid,
139,Lessingia ramulosa,Asteraceae,annual,no,native,Forb,Lesram,,
140,Linanthus bicolor,Polemoniaceae,annual,no,native,Forb,Linbic,,
40,Linanthus dichotomus,Polemoniaceae,annual,yes,native,Forb,Lindic,,
141,Linanthus jepsonii,Polemoniaceae,annual,no,native,Forb,Linjep,,
41,Lolium multiflorum,Poaceae,annual,no,invasive,Grass,Lolmul,,
42,Lomatium marginatum,Apiaceae,perennial,no,native,Forb,Lommar,,
43,Lotus humistratus,Fabaceae,annual,no,native,N-fixer,Lothum,,
142,Lotus wrangelianus,Fabaceae,annual,no,native,N-fixer,Lotwra,,
143,Lupinus bicolor,Fabaceae,annual,yes,native,N-fixer,Lupbicnan,Lupinussp,Lupbic
143,Lupinus nanus,Fabaceae,annual,yes,native,N-fixer,Lupbicnan,,Lupnan
144,Lupinus microcarpus,Fabaceae,annual,yes,native,N-fixer,Lupmic,,
