"","Fullname","Abbreviation","Family","Life History","Functional.group","Origin","InSeedbank","TraitData"
"1","Agoseris heterophylla","AGOHET","Asteraceae","annual","Forb","Native","Yes","No"
"2","Allium falcifolium","ALLFAL","ALLIACEAE","bulb","Forb","Native","Yes","Yes"
"3","Allium amplectens","ALLAMP","ALLIACEAE","bulb","Forb","Native","Yes","No"
"4","Ancistrocarphus filagineus","ANCFIL","Asteraceae","annual","Forb","Native","Yes","Yes"
"5","Astragalus breweri","ASTBRE","Fabaceae","annual","N-fixer","Native","Yes","No"
"6","Astragalus gambelianus","ASTGAM","Fabaceae","annual","N-fixer","Native","Yes","No"
"7","Athysanus pusillus","ATHPUS","Brassicaceae","annual","Forb","Native","Yes","Yes"
"8","Avena fatua","AVEFAT","Poaceae","annual","Grass","Non-Native","Yes","Yes"
"9","Bromus diandrus","BRODIA","Poaceae","annual","Grass","Non-Native","Yes","No"
"10","Bromus hordeaceus","BROHOR","Poaceae","annual","Grass","Non-Native","Yes","Yes"
"11","Bromus madritensis","BROMAD","Poaceae","annual","Grass","Non-Native","Yes","Yes"
"12","Calandrinia ciliata","CALCIL","MONTIACEAE","annual","Forb","Native","Yes","Yes"
"13","Calycadenia pauciflora","CALPAU","Asteraceae","annual","Forb","Native","Yes","Yes"
"14","Calochortus superbus","CALSUP","LILIACEAE","bulb","Forb","Native","Yes","No"
"15","Camissonia graciliflora","CAMGRA","Onagraceae","annual","Forb","Native","Yes","No"
"16","Carduus pycnocephalus","CARPYC","Asteraceae","annual","Forb","Non-Native","Yes","No"
"17","Castilleja attenuata      ","CASATT","Orobanchaceae","annual","Forb","Native","Yes","Yes"
"18","Castillea rubicundula","CASRUB","Orobanchaceae","annual","Forb","Native","Yes","No"
"19","Centaurea solstitialis","CENSOL","Asteraceae","annual","Forb","Non-Native","Yes","No"
"20","Centaurium trichanthum","CENTRI","Asteraceae","annual","Forb","Native","Yes","Yes"
"21","Chaenactis glabriuscula","CHAGLA","Asteraceae","annual","Forb","Native","Yes","Yes"
"22","Chlorogalum pomeridianum","CHLPOM","AGAVACEAE","bulb","Forb","Native","Yes","Yes"
"23","Chorizanthe polygonoides","CHOPOL","polygonaceae","annual","Forb","Native","Yes","No"
"24","Clarkia_lump","CLARKIASP","Onagraceae","annual","Forb","Native","Yes","No"
"25","Collinsia sparsiflora","COLSPA","Plantaginaceae","annual","Forb","Native","Yes","Yes"
"26","Crassula connata","CRACON","CRASSULACEAE","annual","Forb","Native","Yes","No"
"27","Cryptantha hispidula","CRYHIS","Boraginaceae","annual","Forb","Native","Yes","Yes"
"28","Dichelostemma capitatum","DICCAP","THEMIDACEAE","perennial","Forb","Native","Yes","Yes"
"29","Elymus elymoides","ELYELY","Poaceae","perennial","Grass","Native","Yes","Yes"
"30","Epilobium brachycarpum","EPIBRA","Onagraceae","annual","Forb","Native","Yes","Yes"
"31","Eremocarpus setigerus","ERESET","EUPHORBIACEAE","annual","Forb","Native","Yes","No"
"32","Eriogonum nudum","ERINUD","polygonaceae","shrub","Forb","Native","Yes","Yes"
"33","Eriophyllum lanatum","ERILAN","Asteraceae","perennial","Forb","Native","Yes","Yes"
"34","Eriogonum vimineum","ERIVIM","polygonaceae","annual","Forb","Native","Yes","No"
"35","Erodium brachycarpum","EROBRA","Geraniaceae","annual","Forb","Non-Native","Yes","No"
"36","Erodium cicutarium","EROCIC","Geraniaceae","annual","Forb","Non-Native","Yes","No"
"37","Euphorbia crenulata","EUPCRE","Euphorbiaceae","annual","Forb","Native","Yes","Yes"
"38","Filago californica","FILCAL","Asteraceae","annual","Forb","Native","Yes","Yes"
"39","Fritillaria purdyi","FRIPUR","LILIACEAE","bulb","Forb","Native","Yes","Yes"
"40","Galium_lump","GALIUMSP","Rubiaceae","annual","Forb",NA,"Yes","No"
"41","Gilia capitata","GILCAP","Polemoniaceae","annual","Forb","Native","Yes","Yes"
"42","Gilia tricolor","GILTRI","Polemoniaceae","annual","Forb","Native","Yes","Yes"
"43","Hemizonia congesta","HEMCON","Asteraceae","annual","Forb","Native","Yes","No"
"44","Holocarpa virgata","HOLVIR","Asteraceae","annual","Forb","Native","Yes","Yes"
"45","Hypochaeris glabra","HYPGLA","Asteraceae","annual","Forb","Non-Native","Yes","Yes"
"46","Lactuca serriola","LACSER","Asteraceae","annual","Forb","Non-Native","Yes","Yes"
"47","Lagophylla minor","LAGMIN","Asteraceae","annual","Forb","Native","Yes","Yes"
"48","Lasthenia californica","LASCAL","Asteraceae","annual","Forb","Native","Yes","Yes"
"49","Lepidium nitidum","LEPNIT","Brassicaceae","annual","Forb","Native","Yes","Yes"
"50","Linanthus bicolor","LINBIC","Polemoniaceae","annual","Forb","Native","Yes","No"
"51","Linanthus dichotomus","LINDIC","Polemoniaceae","annual","Forb","Native","Yes","Yes"
"52","Linanthus jepsonii","LINJEP","Polemoniaceae","annual","Forb","Native","Yes","No"
"53","Lolium multiflorum","LOLMUL","Poaceae","annual","Grass","Non-Native","Yes","Yes"
"54","Lomatium marginatum","LOMMAR","Apiaceae","perennial","Forb","Native","Yes","Yes"
"55","Lotus humistratus","LOTHUM","Fabaceae","annual","N-fixer","Native","Yes","Yes"
"56","Lotus wrangelianus","LOTWRA","Fabaceae","annual","N-fixer","Native","Yes","No"
"57",NA,"LUPBICNAN",NA,NA,NA,NA,"Yes","No"
"58","Micropus californicus","MICCAL","Asteraceae","annual","Forb","Native","Yes","Yes"
"59","Microseris douglasii","MICDOU","Asteraceae","annual","Forb","Native","Yes","Yes"
"60","Mimulus douglasii","MIMDOU","PHRYMACEAE","annual","Forb","Native","Yes","Yes"
"61","Nassella pulchra","NASPUL","Poaceae","perennial","Grass","Native","Yes","Yes"
"62","Navarretia jepsonii","NAVJEP","Polemoniaceae","annual","Forb","Native","Yes","Yes"
"63","Petrorhagia prolifera","PETPRO","Caryophyllaceae","annual","Forb","Non-Native","Yes","Yes"
"64","Phlox gracilis","PHLGRA","Polemoniaceae","annual","Forb","Native","Yes","Yes"
"65","Plantago erecta","PLAERE","Plantaginaceae","annual","Forb","Native","Yes","Yes"
"66","Poa secunda","POASEC","Poaceae","annual","Grass","Native","Yes","No"
"67","Rigiopappus leptocladus","RIGLEP","Asteraceae","annual","Forb","Native","Yes","Yes"
"68","Sidalcea diploscypha","SIDDIP","Malvaceae","annual","Forb","Native","Yes","Yes"
"69","Silene gallica","SILGAL","Caryophyllaceae","annual","Forb","Native","Yes","Yes"
"70","Stellaria nitens","STENIT","Caryophyllaceae","annual","Forb","Native","Yes","No"
"71","Taeniatherum caput-medusae","TAECAP","Poaceae","annual","Grass","Non-Native","Yes","Yes"
"72","Thysanocarpus curvipes","THYCUR","Brassicaceae","annual","Forb","Native","Yes","Yes"
"73","Torilis arvensis","TORARV","APIACEAE","annual","Forb","Non-Native","Yes","No"
"74","Trifolium albopurpureum","TRIALB","Fabaceae","annual","N-fixer","Native","Yes","Yes"
"75","Trifolium fucatum","TRIFUC","Fabaceae","annual","N-fixer","Native","Yes","Yes"
"76","Trifolium hirtum","TRIHIR","Fabaceae","annual","N-fixer","Non-Native","Yes","Yes"
"77",NA,"TRILAX",NA,NA,NA,NA,"Yes","No"
"78","Trifolium willdenovii ","TRIWIL","Fabaceae","annual","N-fixer","Native","Yes","Yes"
"79","Uropappus lindleyi","UROLIN","Asteraceae","annual","Forb","Native","Yes","Yes"
"80","Velezia rigida","VELRIG","Caryophyllaceae","annual","Forb","Non-Native","Yes","Yes"
"81","Vicia villosa","VICVIL","Fabaceae","annual","N-fixer","Non-Native","Yes","Yes"
"82","Viola douglasii","VIODOU","VIOLACEAE","perennial","Forb","Native","Yes","Yes"
"83","Vulpia microstachys","VULMIC","Poaceae","annual","Grass","Native","Yes","Yes"
"84","Vulpia myuros","VULMYU","Poaceae","annual","Grass","Non-Native","Yes","No"
"85","Zigadenus fremontii","ZIGFRE","MELANTHIACEAE","perennial","Forb","Native","Yes","Yes"
"86","Amsinckia menziesii","AMSMEN","Boraginaceae","annual","Forb","Native","Yes","No"
"87","Anagallis arvensis","ANAARV","Primulaceae","annual","Forb","Non-Native","Yes","Yes"
"88","Claytonia exigua","CLAEXI","MONTIACEAE","annual","Forb","Native","Yes","No"
"89","Cynosurus echinatus","CYNECH","Poaceae","annual","Grass","Non-Native","Yes","No"
"90",NA,"DRAVER",NA,NA,NA,NA,"Yes","No"
"91",NA,"EPICIL",NA,NA,NA,NA,"Yes","No"
"92","Gastridium ventricosum","GASVEN","Poaceae","annual","Grass","Non-Native","Yes","No"
"93",NA,"HESMIC",NA,NA,NA,NA,"Yes","No"
"94","Melica californica","MELCAL","Poaceae","perennial","Grass","Native","Yes","No"
"95","Mimulus guttatus","MIMGUT","PHRYMACEAE","perennial","Forb","Native","Yes","Yes"
"96",NA,"MINDOU",NA,NA,NA,NA,"Yes","No"
"97","Plectritis ciliosa ","PLECIL","VALERIANACEAE","annual","Forb","Native","Yes","No"
