"","Fullname","Abbreviation","Family","Life History","Functional.group","Origin","meanabund","InSeedbank","TraitData"
"1","Agoseris heterophylla","AGOHET","Asteraceae","annual","Forb","Native",0.00555555555555556,"Yes","No"
"2","Allium amplectens","ALLAMP","ALLIACEAE","bulb","Forb","Native",0,"Yes","No"
"3","Allium falcifolium","ALLFAL","ALLIACEAE","bulb","Forb","Native",0,"Yes","Yes"
"4","Amsinckia menziesii","AMSMEN","Boraginaceae","annual","Forb","Native",0.166666666666667,"Yes","No"
"5","Anagallis arvensis","ANAARV","Primulaceae","annual","Forb","Non-Native",0.544444444444444,"Yes","Yes"
"6","Ancistrocarphus filagineus","ANCFIL","Asteraceae","annual","Forb","Native",0.0555555555555556,"Yes","Yes"
"7","Astragalus breweri","ASTBRE","Fabaceae","annual","N-fixer","Native",0,"Yes","No"
"8","Astragalus gambelianus","ASTGAM","Fabaceae","annual","N-fixer","Native",0.0222222222222222,"Yes","No"
"9","Athysanus pusillus","ATHPUS","Brassicaceae","annual","Forb","Native",5.07777777777778,"Yes","Yes"
"10","Avena fatua","AVEFAT","Poaceae","annual","Grass","Non-Native",11.7111111111111,"Yes","Yes"
"11","Brodiaea elegans","BROELE","THEMIDACEAE","perennial","Forb","Native",NA,"No","Yes"
"12","Bromus diandrus","BRODIA","Poaceae","annual","Grass","Non-Native",0,"Yes","No"
"13","Bromus hordeaceus","BROHOR","Poaceae","annual","Grass","Non-Native",13.0888888888889,"Yes","Yes"
"14","Bromus madritensis","BROMAD","Poaceae","annual","Grass","Non-Native",3.48888888888889,"Yes","Yes"
"15","Calandrinia ciliata","CALCIL","MONTIACEAE","annual","Forb","Native",0.0222222222222222,"Yes","Yes"
"16","Calochortus superbus","CALSUP","LILIACEAE","bulb","Forb","Native",0,"Yes","No"
"17","Calycadenia pauciflora","CALPAU","Asteraceae","annual","Forb","Native",0.533333333333333,"Yes","Yes"
"18","Camissonia graciliflora","CAMGRA","Onagraceae","annual","Forb","Native",0,"Yes","No"
"19","Carduus pycnocephalus","CARPYC","Asteraceae","annual","Forb","Non-Native",0,"Yes","No"
"20","Castillea rubicundula","CASRUB","Orobanchaceae","annual","Forb","Native",1.65555555555556,"Yes","No"
"21","Castilleja attenuata      ","CASATT","Orobanchaceae","annual","Forb","Native",0.0111111111111111,"Yes","Yes"
"22","Centaurea solstitialis","CENSOL","Asteraceae","annual","Forb","Non-Native",0.988888888888889,"Yes","No"
"23","Centaurium trichanthum","CENTRI","Asteraceae","annual","Forb","Native",0,"Yes","Yes"
"24","Chaenactis glabriuscula","CHAGLA","Asteraceae","annual","Forb","Native",0.0111111111111111,"Yes","Yes"
"25","Chlorogalum pomeridianum","CHLPOM","AGAVACEAE","bulb","Forb","Native",0,"Yes","Yes"
"26","Chorizanthe polygonoides","CHOPOL","polygonaceae","annual","Forb","Native",0,"Yes","No"
"27","Clarkia gracilis","CLAGRA","Onagraceae","annual","Forb","Native",NA,"No","Yes"
"28","Clarkia purpurea","CLAPUR","Onagraceae","annual","Forb","Native",NA,"No","Yes"
"29","Clarkia_lump","CLARKIASP","Onagraceae","annual","Forb","Native",2.04444444444444,"Yes","No"
"30","Claytonia exigua","CLAEXI","MONTIACEAE","annual","Forb","Native",0.144444444444444,"Yes","No"
"31","Collinsia sparsiflora","COLSPA","Plantaginaceae","annual","Forb","Native",4.7,"Yes","Yes"
"32","Crassula connata","CRACON","CRASSULACEAE","annual","Forb","Native",2.96666666666667,"Yes","No"
"33","Cryptantha hispidula","CRYHIS","Boraginaceae","annual","Forb","Native",0.0222222222222222,"Yes","Yes"
"34","Cynosurus echinatus","CYNECH","Poaceae","annual","Grass","Non-Native",0.0111111111111111,"Yes","No"
"35","Dichelostemma capitatum","DICCAP","THEMIDACEAE","perennial","Forb","Native",0,"Yes","Yes"
"36","Draba verna","DRAVER","Brassicaceae","annual","Forb","Non-Native",0.0333333333333333,"Yes","No"
"37","Elymus elymoides","ELYELY","Poaceae","perennial","Grass","Native",0,"Yes","Yes"
"38","Epilobium brachycarpum","EPIBRA","Onagraceae","annual","Forb","Native",0.0666666666666667,"Yes","Yes"
"39","Epilobium cilliatum","EPICIL","Onagraceae","annual","Forb","Native",0.0111111111111111,"Yes","No"
"40","Eremocarpus setigerus","ERESET","EUPHORBIACEAE","annual","Forb","Native",0.2,"Yes","No"
"41","Eriogonum nudum","ERINUD","polygonaceae","shrub","Forb","Native",0.0222222222222222,"Yes","Yes"
"42","Eriogonum vimineum","ERIVIM","polygonaceae","annual","Forb","Native",0.0555555555555556,"Yes","No"
"43","Eriophyllum lanatum","ERILAN","Asteraceae","perennial","Forb","Native",0,"Yes","Yes"
"44","Erodium brachycarpum","EROBRA","Geraniaceae","annual","Forb","Non-Native",0,"Yes","No"
"45","Erodium cicutarium","EROCIC","Geraniaceae","annual","Forb","Non-Native",0.333333333333333,"Yes","No"
"46","Euphorbia crenulata","EUPCRE","Euphorbiaceae","annual","Forb","Native",0.122222222222222,"Yes","Yes"
"47","Filago californica","FILCAL","Asteraceae","annual","Forb","Native",1.00555555555556,"Yes","Yes"
"48","Fritillaria purdyi","FRIPUR","LILIACEAE","bulb","Forb","Native",0,"Yes","Yes"
"49","Galium aparine","GALAPA","Rubiaceae","annual","Forb","Native",NA,"No","Yes"
"50","Galium murale","GALMUR","Rubiaceae","annual","Forb","Non-Native",NA,"No","Yes"
"51","Galium_lump","GALIUMSP","Rubiaceae","annual","Forb",NA,18.7777777777778,"Yes","No"
"52","Gastridium ventricosum","GASVEN","Poaceae","annual","Grass","Non-Native",4.8,"Yes","No"
"53","Gilia capitata","GILCAP","Polemoniaceae","annual","Forb","Native",0.411111111111111,"Yes","Yes"
"54","Gilia tricolor","GILTRI","Polemoniaceae","annual","Forb","Native",0.2,"Yes","Yes"
"55","Hemizonia congesta","HEMCON","Asteraceae","annual","Forb","Native",2.14444444444444,"Yes","No"
"56","Hesperolinon micranthum","HESMIC","Linaceae","annual","Forb","Native",0.0222222222222222,"Yes","No"
"57","Holocarpa virgata","HOLVIR","Asteraceae","annual","Forb","Native",0.0222222222222222,"Yes","Yes"
"58","Hypochaeris glabra","HYPGLA","Asteraceae","annual","Forb","Non-Native",0.0888888888888889,"Yes","Yes"
"59","Juncus bufonius","JUNBUF","JUNCACEAE","annual","Grass","Native",3.28888888888889,"Yes","No"
"60","Lactuca serriola","LACSER","Asteraceae","annual","Forb","Non-Native",1.08888888888889,"Yes","Yes"
"61","Lagophylla minor","LAGMIN","Asteraceae","annual","Forb","Native",0.0111111111111111,"Yes","Yes"
"62","Lasthenia californica","LASCAL","Asteraceae","annual","Forb","Native",0.166666666666667,"Yes","Yes"
"63","Lepidium nitidum","LEPNIT","Brassicaceae","annual","Forb","Native",1.74444444444444,"Yes","Yes"
"64","Linanthus bicolor","LINBIC","Polemoniaceae","annual","Forb","Native",0,"Yes","No"
"65","Linanthus dichotomus","LINDIC","Polemoniaceae","annual","Forb","Native",0.2,"Yes","Yes"
"66","Linanthus jepsonii","LINJEP","Polemoniaceae","annual","Forb","Native",0,"Yes","No"
"67","Lolium multiflorum","LOLMUL","Poaceae","annual","Grass","Non-Native",131.388888888889,"Yes","Yes"
"68","Lomatium marginatum","LOMMAR","Apiaceae","perennial","Forb","Native",0,"Yes","Yes"
"69","Lotus humistratus","LOTHUM","Fabaceae","annual","N-fixer","Native",0.155555555555556,"Yes","Yes"
"70","Lotus wrangelianus","LOTWRA","Fabaceae","annual","N-fixer","Native",0.222222222222222,"Yes","No"
"71","Medicago polymorpha","MEDPOL","Fabaceae","annual","N-fixer","Non-Native",NA,"No","Yes"
"72","Melica californica","MELCAL","Poaceae","perennial","Grass","Native",0.0333333333333333,"Yes","No"
"73","Micropus californicus","MICCAL","Asteraceae","annual","Forb","Native",0.0888888888888889,"Yes","Yes"
"74","Microseris douglasii","MICDOU","Asteraceae","annual","Forb","Native",0.0111111111111111,"Yes","Yes"
"75","Mimulus douglasii","MIMDOU","PHRYMACEAE","annual","Forb","Native",0.0111111111111111,"Yes","Yes"
"76","Mimulus guttatus","MIMGUT","PHRYMACEAE","perennial","Forb","Native",0.244444444444444,"Yes","Yes"
"77","Minuartia douglasii","MINDOU","Caryophyllaceae","Annual","Forb","Native",0.4,"Yes","No"
"78","Nassella pulchra","NASPUL","Poaceae","perennial","Grass","Native",0,"Yes","Yes"
"79","Navarretia jepsonii","NAVJEP","Polemoniaceae","annual","Forb","Native",0,"Yes","Yes"
"80","Petrorhagia prolifera","PETPRO","Caryophyllaceae","annual","Forb","Non-Native",1.05555555555556,"Yes","Yes"
"81","Phlox gracilis","PHLGRA","Polemoniaceae","annual","Forb","Native",0.133333333333333,"Yes","Yes"
"82","Plantago erecta","PLAERE","Plantaginaceae","annual","Forb","Native",3.16666666666667,"Yes","Yes"
