"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"ALLFAL","ALLFAL","1.02619780253925","1.96405361753119","-0.382051591282957","-0.450314357747674","0.169241626622436","-0.165017396058501","0.554305281402353","-0.701439381665382","0.650451674874474","-0.492404783282776","-0.26785147601021"
"ANAARV","ANAARV","1.9977047603569","1.03669662194218","0.884137291917192","0.833387810993377","-0.458303714513178","1.66751962098059","-0.372697526224153","0.216911743213161","1.0294376324468","-0.0944106921543369","-0.432022162126747"
"AVEFAT","AVEFAT","-2.92086872108495","2.23493751903591","-0.179757496479358","-0.351379681877674","-1.2731950739667","-0.101061093304724","0.419293271947443","1.39457100838789","-0.587319589005757","0.271499634748384","0.0875954439771315"
"BROELE","BROELE","0.965368927181058","2.42005158672481","0.878415143219208","-0.27204328543054","-1.54258313681732","0.0390765982063771","0.328100195681663","-0.593582510976576","1.05072283173739","1.18347856111516","-0.166163327713254"
"BROHOR","BROHOR","-3.73755050531632","-1.04453596453085","1.51706636231729","-0.3263197754617","-0.792766472647008","-0.0234164081495281","-1.65544323165617","-0.34824403565841","0.968416499101593","-0.713255691666857","-0.340848071381565"
"CALCIL","CALCIL","1.85943885104585","0.888208622146904","1.00823703152097","-1.64402285508953","-1.50948547014312","-0.74111921343873","1.33270653933698","0.661018695084173","-0.561932153755648","0.625669041724216","-0.157030370154517"
"CALPAU","CALPAU","-0.697515693091998","0.555603574661189","-0.606658448017544","-0.315256641731001","1.29086297194113","0.396167617302244","1.02534433341108","0.745419836323865","-0.817265061985636","0.76061330549827","-0.0104498781825342"
"CHAGLA","CHAGLA","-0.87110123613493","-1.78853361103933","-0.366051477622954","-0.610166733520942","0.337052748774334","0.31315628767429","0.421483287565383","0.271227088961035","0.413646726349276","-0.753592240872428","-0.126407397200114"
"CHLPOM","CHLPOM","0.00969116130397584","1.81708693131311","-1.57546656735197","-0.0643721007405074","-0.249897578865568","0.241248171999967","-0.72271689729552","0.159051772453244","0.675281461254634","-0.363185934833242","0.27777942208597"
"CLAGRA","CLAGRA","1.58933428635059","-0.979783798929679","-1.01084533976671","0.156123164788903","-0.110112246664464","-0.922634599226668","-0.504778848539065","-0.488544939663367","-0.236649009428377","-0.074887054916832","0.132455569953789"
"CLAPUR","CLAPUR","2.22925935098047","-0.10018663980305","-0.676094763200866","-0.638595416960341","-0.0590694270284377","0.33351948958184","-0.78925535265455","-0.158356121319951","0.486938058738838","0.239205330553237","0.0131121198903888"
"COLSPA","COLSPA","-1.51725380645393","0.0139711801558773","0.940568850102672","1.35116213281886","1.49391729076628","0.216105231381007","-0.0515245224359536","-0.0580139740613323","0.172209043626007","-0.00615720012378783","0.0144708243528246"
"CRYHIS","CRYHIS","1.27917071919878","-0.356326053343227","-1.46793549796201","-0.761098882007171","-0.490494602007848","0.596808421721797","-0.252828451546557","-0.00760190564004418","-0.521166546383274","0.0752817231446304","0.130563042279115"
"DICCAP","DICCAP","0.326310442593164","0.217976839824172","0.18833506192545","-1.41301004672919","-1.38999349670412","-1.53615024089643","-0.0142423817911488","0.473276107955882","0.100063534551738","0.199946347580468","-0.0198105853742492"
