"","trait","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"SCT","SCT","-0.0886306944785927","0.349265923839705","-0.579515941984291","0.0482873108897081","-0.222464952332259","0.302957203523961","0.155833808382821","-0.00191971049222565","-0.474549468405499","0.375800755017248","-0.00159194583586044"
"Mass","Mass","-0.313852185562932","0.520954649276781","-0.217315417124385","0.0686357517514695","0.0944976573988732","-0.26357162911868","0.0532963011685568","0.0232520823177128","0.387704200854075","-0.163713569929255","0.565038543602519"
"SCP","SCP","-0.0308298480710834","-0.336557067782525","-0.160401579311729","0.658977713861128","-0.117849850507159","-0.448575978053213","0.320829322014515","-0.296473669000035","0.00677502314680797","0.139273515014326","-0.0204564912321123"
"Carbon","Carbon","0.335118112880249","-0.277258419255317","-0.370654572389037","0.062080780248769","-0.152415986988188","-0.0101799229568859","-0.193844607129284","0.608872781527021","0.397514511158966","0.261061363463118","0.108526044195412"
"CN","CN","-0.269308484859303","0.0619936696913494","0.317345616327629","0.425983900800225","-0.289589121084224","0.469710873065046","0.33223483256215","0.398190091253409","0.117201109269575","-0.224586935386987","-0.0621153228378531"
"Length","Length","-0.499120383891993","0.0475579326508352","-0.29484740680095","-0.146207539569211","-0.0141846132244744","-0.214902278161219","-0.0637802712700105","0.106194181158388","0.251535309050511","-0.0913529131031541","-0.712011770649479"
"Starch","Starch","-0.243540683800253","0.048049029728666","0.410095271165056","-0.257547102060454","-0.604388692393785","-0.294856585229191","-0.0585292583018983","0.0203871070446471","0.0137748546051896","0.485549106401605","0.108882955324789"
"Shape","Shape","-0.355030644488968","-0.426388831204313","-0.139860270230298","-0.167165494638549","-0.0451964635335995","-0.21500404798316","-0.0195053904835363","0.344556895447228","-0.505944542066976","-0.362847774630899","0.299387450782647"
"Disp","Disp","-0.344643789962688","-0.126277162005635","0.179429039471219","0.0269484464752052","0.660943031549834","0.0624162035411933","0.161509180131503","0.218175927240541","-0.0193319511021283","0.560241322890386","0.0606815400495087"
"Texture","Texture","-0.339368842164079","-0.140009521268139","-0.0223627227906014","0.349532546498791","-0.037392582355216","0.282272693451259","-0.766913945190041","-0.236187392855725","0.0204476342631755","0.0641087524749581","0.114050120757174"
"Compact","Compact","0.198567828924089","0.43670009452206","0.213880041357075","0.367204109415886","0.121757739360731","-0.392263679646183","-0.316025136610035","0.385331148358509","-0.363946423385755","-0.0154968220293054","-0.198835212628978"
