"","trait","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"SCT","SCT","-0.0903288583023578","0.343039178264216","-0.575945410212424","0.0229875935137553","-0.241865284957319","0.285650479041631","-0.1972048578569","-0.0135049707993482","-0.417260645786033","0.434337084687637","0.000986120534833133"
"Mass","Mass","-0.311868924249773","0.523488575247749","-0.219494703851794","0.066714953872452","0.0793751351084624","-0.274438272116424","-0.0140773114536572","0.0273115036510319","0.357620907067076","-0.208901143893284","-0.567428769350482"
"SCP","SCP","-0.0305580447843569","-0.335469501520169","-0.162221572490305","0.619631646399085","-0.184860415224227","-0.507338748730596","-0.263955819238258","-0.307964112945747","0.0270890877722041","0.137969309029336","0.020428075908765"
"Carbon","Carbon","0.329561006427718","-0.287389748783393","-0.374881606653945","0.0365077923539809","-0.156204449594421","0.00169152224566259","0.179618673663912","0.613578608258655","0.420352667983149","0.213087645641591","-0.108077099604497"
"CN","CN","-0.265231093469825","0.0683411042777036","0.319830645281782","0.416863717987765","-0.352522436585072","0.40209884360243","-0.37156622411517","0.395203824033341","0.0898397455623337","-0.238098252204905","0.062848485623424"
"Length","Length","-0.504416857730646","0.051911791619609","-0.287853123168584","-0.156306307517886","-0.00399575434035708","-0.20857236066085","0.0937644368906238","0.110053436953719","0.229581109133376","-0.119449538753147","0.710056416748569"
"Starch","Starch","-0.225446784201451","0.0530954881459266","0.424075626558593","-0.320668220569065","-0.571238206094402","-0.290133037125268","0.120515200165583","0.022807628074188","0.055690299208824","0.472376792336259","-0.109136427654157"
"Shape","Shape","-0.355487048562167","-0.428950264221276","-0.133596084527136","-0.181421062066653","-0.0152159965574878","-0.203099405292893","0.0146694990761225","0.339674690102278","-0.553945877052781","-0.291862203845551","-0.299590634947987"
"Disp","Disp","-0.351478411733828","-0.116770685336301","0.184681296400075","0.0933472195772958","0.639896939539484","0.0483410326419998","-0.194490909759781","0.210012106468813","0.0648054926828231","0.564242482105664","-0.060832314456708"
"Texture","Texture","-0.333950016517655","-0.141118441794614","-0.0284175256225639","0.366317442620899","-0.0563380321178832","0.342673304386381","0.743481500695093","-0.206516868297074","0.00667230631000486","0.0660120082880429","-0.114681804327113"
"Compact","Compact","0.219073821875271","0.430602567754144","0.18842253533946","0.364545726339688","0.114685886543772","-0.367855494880963","0.326791583189691","0.395979655906573","-0.381562937027622","0.0354995796057781","0.1981863045443"
