"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","X.1","annual","family","origin","Functional.group","SCT","SCP","Starch","CN","Carbon","N","Mass","Length","Shape","Compact","Disp","Texture","mucilage","Perimeter","Intensity","W","area","dispcat"
"1","ALLFAL",1.02619780253925,1.96405361753119,-0.382051591282957,-0.450314357747674,0.169241626622436,-0.165017396058501,0.554305281402353,-0.701439381665382,0.650451674874474,-0.492404783282776,-0.26785147601021,1,"bulb","ALLIACEAE","Native","Forb",1.67332005306815,-0.887436770457525,0,13.369306310071,0.436761092150171,32.6689419795222,1.40224644733382,1.02351331281187,-4.12983271680384,2.6529739074605,0,-2.27583919471629,0,1.90348360901154,5.033866,2.0650592,1.37106429521256,NA
"2","ANAARV",1.9977047603569,1.03669662194218,0.884137291917192,0.833387810993377,-0.458303714513178,1.66751962098059,-0.372697526224153,0.216911743213161,1.0294376324468,-0.0944106921543369,-0.432022162126747,2,"annual","Primulaceae","Non-Native","Forb",1.34164078649987,-1.22905077634581,0,21.9851370851371,0.505330016583748,22.9850746268657,-0.837987998616981,0.197744181029447,-4.76725566032509,2.68813520264763,0,-0.972138196560036,0,1.12488501806978,7.176409,1.0280981,-0.0964531707696968,NA
"3","AVEFAT",-2.92086872108495,2.23493751903591,-0.179757496479358,-0.351379681877674,-1.2731950739667,-0.101061093304724,0.419293271947443,1.39457100838789,-0.587319589005757,0.271499634748384,0.0875954439771315,3,"annual","Poaceae","Non-Native","Grass",2.56904651573303,-1.2682391662442,1,23.9674126790898,0.425799367825653,17.7657627682582,2.59260493074192,2.11680362962042,-2.04939670969689,2.7091420281871,1,-1.1708040533053,0,2.84816535645264,36.966633,2.3974183,2.71037456434246,NA
"4","BROELE",0.965368927181058,2.42005158672481,0.878415143219208,-0.27204328543054,-1.54258313681732,0.0390765982063771,0.328100195681663,-0.593582510976576,1.05072283173739,1.18347856111516,-0.166163327713254,4,"perennial","THEMIDACEAE","Native","Forb",1.84390889145858,-0.883956457720279,1,17.1522229179712,0.457297161936561,26.661101836394,0.982153375973858,0.687996136683123,-5.04187359897924,2.67311430752396,0,-1.87772634971231,0,1.64999655708082,3.8314516,1.7016795,0.892962655880126,NA
"5","BROHOR",-3.73755050531632,-1.04453596453085,1.51706636231729,-0.3263197754617,-0.792766472647008,-0.0234164081495281,-1.65544323165617,-0.34824403565841,0.968416499101593,-0.713255691666857,-0.340848071381565,5,"annual","Poaceae","Non-Native","Grass",0.469041575982343,-0.737359501377006,1,21.4764735017335,0.403233106013639,18.7755734655921,0.544357106974783,2.44769550676209,-1.80518576791072,2.49110949112267,1,1.53311742370047,0,3.14007574814226,31.684679,1.8789379,2.35146358659565,NA
"6","CALCIL",1.85943885104585,0.888208622146904,1.00823703152097,-1.64402285508953,-1.50948547014312,-0.74111921343873,1.33270653933698,0.661018695084173,-0.561932153755648,0.625669041724216,-0.157030370154517,6,"annual","MONTIACEAE","Native","Forb",1.67332005306815,-1.12033132612472,1,14.6817717901613,0.478072449318711,32.5623130608176,-1.08803509163034,0.339875047630171,-3.23557577499489,2.68642732796976,0,-3.85646446278322,0,1.19166917413471,7.024024,0.94168466,-0.0387842700084479,NA
"7","CALPAU",-0.697515693091998,0.555603574661189,-0.606658448017544,-0.315256641731001,1.29086297194113,0.396167617302244,1.02534433341108,0.745419836323865,-0.817265061985636,0.76061330549827,-0.0104498781825342,7,"annual","Asteraceae","Native","Forb",2.23606797749979,-0.733078420939704,0,16.2420357913441,0.452674212946586,27.8705341351256,0.327661004001989,1.13917092051146,-2.52762839039768,2.6312299803459,2,-1.9395354010061,0,1.93309369665415,7.3893639,1.444655,1.14023968676381,NA
"8","CHAGLA",-0.87110123613493,-1.78853361103933,-0.366051477622954,-0.610166733520942,0.337052748774334,0.31315628767429,0.421483287565383,0.271227088961035,0.413646726349276,-0.753592240872428,-0.126407397200114,8,"annual","Asteraceae","Native","Forb",1.04880884817015,-0.261312541120922,0,17.2153330019881,0.48241295264624,28.0222841225627,-0.667068810391264,1.4986787391019,-1.78886296021394,2.42411281993147,1,-1.13784512469487,0,2.23920067895194,13.89008905,0.66028713,0.604127424490171,NA
"9","CHLPOM",0.00969116130397584,1.81708693131311,-1.57546656735197,-0.0643721007405074,-0.249897578865568,0.241248171999967,-0.72271689729552,0.159051772453244,0.675281461254634,-0.363185934833242,0.27777942208597,9,"bulb","AGAVACEAE","Native","Forb",2.14476105895272,-1.15967792412775,0,14.4921601964674,0.497337115072934,34.3176661264182,2.3095287481084,1.38002907514096,-3.3870510452423,2.65631305032016,0,-0.731069404315595,0,2.28194711749168,4.4755521,2.7120518,2.06510837333592,NA
"10","CLAGRA",1.58933428635059,-0.979783798929679,-1.01084533976671,0.156123164788903,-0.110112246664464,-0.922634599226668,-0.504778848539065,-0.488544939663367,-0.236649009428377,-0.074887054916832,0.132455569953789,10,"annual","Onagraceae","Native","Forb",1.4142135623731,0.646097665126698,0,8.08259946949602,0.517165648336728,63.9850644942295,-0.895508192691627,0.579909667096663,-2.6755143953108,2.63100449359883,0,-1.18766487113728,0,1.37611949731109,11.849313,0.8153881,0.0293713186481763,NA
