"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","X.1","annual","family","origin","Functional.group","SCT","SCP","Starch","CN","Carbon","N","Mass","Length","Shape","Compact","Disp","Texture","mucilage","Perimeter","Intensity","W","area","dispcat"
"1","ALLFAL",0.990755503401791,1.96050162199448,-0.392473276786016,-0.440856502323711,0.187986092886597,-0.199953771076121,-0.4916644057927,-0.709631160450088,0.600937207466674,-0.577914427695337,0.270548778367462,1,"bulb","ALLIACEAE","Native","Forb",1.67332005306815,-0.887436770457525,0,13.369306310071,0.436761092150171,32.6689419795222,1.40224644733382,1.02351331281187,-4.12983271680384,2.6529739074605,0,-2.27583919471629,0,1.90348360901154,5.033866,2.0650592,1.37106429521256,NA
"2","ANAARV",1.97682153558719,1.02714414997031,0.841661673472879,0.872354523755823,-0.553631994214981,1.64699588516254,0.245555226179986,0.244974577523781,1.01080225591771,-0.225690533491917,0.435524490950134,2,"annual","Primulaceae","Non-Native","Forb",1.34164078649987,-1.22905077634581,0,21.9851370851371,0.505330016583748,22.9850746268657,-0.837987998616981,0.197744181029447,-4.76725566032509,2.68813520264763,0,-0.972138196560036,0,1.12488501806978,7.176409,1.0280981,-0.0964531707696968,NA
"3","AVEFAT",-2.92066905332789,2.24812505482115,-0.115902509083037,-0.490439318096277,-1.31114645837556,-0.204450307280462,-0.355627550023806,1.39062515585548,-0.609264161678864,0.360273838696397,-0.0965853279081854,3,"annual","Poaceae","Non-Native","Grass",2.56904651573303,-1.2682391662442,1,23.9674126790898,0.425799367825653,17.7657627682582,2.59260493074192,2.11680362962042,-2.04939670969689,2.7091420281871,1,-1.1708040533053,0,2.84816535645264,36.966633,2.3974183,2.71037456434246,NA
"4","BROELE",0.972847052936186,2.42921109917823,0.903968192665173,-0.41867591958855,-1.56340391707089,-0.0324941680183558,-0.186565771775206,-0.587918991191623,1.1727872463915,1.03462605491389,0.165225525443705,4,"perennial","THEMIDACEAE","Native","Forb",1.84390889145858,-0.883956457720279,1,17.1522229179712,0.457297161936561,26.661101836394,0.982153375973858,0.687996136683123,-5.04187359897924,2.67311430752396,0,-1.87772634971231,0,1.64999655708082,3.8314516,1.7016795,0.892962655880126,NA
"5","BROHOR",-3.76766406240127,-0.988648106437886,1.58796235446314,-0.326540620861304,-0.773050495245178,0.0855184095232747,1.81349766599398,-0.260759333584976,0.75575142458814,-0.805346485811224,0.331766255904991,5,"annual","Poaceae","Non-Native","Grass",0.469041575982343,-0.737359501377006,1,21.4764735017335,0.403233106013639,18.7755734655921,0.544357106974783,2.44769550676209,-1.80518576791072,2.49110949112267,1,1.53311742370047,0,3.14007574814226,31.684679,1.8789379,2.35146358659565,NA
"6","CALCIL",1.85341527161154,0.883323878433426,1.04989586189657,-1.8409652163926,-1.36351296018835,-0.841166552333042,-1.22810896309091,0.60869562227156,-0.468260452466761,0.676433247107527,0.155892318346752,6,"annual","MONTIACEAE","Native","Forb",1.67332005306815,-1.12033132612472,1,14.6817717901613,0.478072449318711,32.5623130608176,-1.08803509163034,0.339875047630171,-3.23557577499489,2.68642732796976,0,-3.85646446278322,0,1.19166917413471,7.024024,0.94168466,-0.0387842700084479,NA
"7","CALPAU",-0.754642928936599,0.564155831146673,-0.584473748765621,-0.197496893383107,1.24539868294112,0.305858187193044,-1.14204174276552,0.697542986336584,-0.671751404880752,0.860857641508783,0.0102070461075031,7,"annual","Asteraceae","Native","Forb",2.23606797749979,-0.733078420939704,0,16.2420357913441,0.452674212946586,27.8705341351256,0.327661004001989,1.13917092051146,-2.52762839039768,2.6312299803459,2,-1.9395354010061,0,1.93309369665415,7.3893639,1.444655,1.14023968676381,NA
"8","CHAGLA",-0.958086391287543,-1.76870207485955,-0.32102622497854,-0.557897725423439,0.355825805415137,0.275468030059993,-0.447238538538313,0.261437068669162,0.323008322400608,-0.795992568587235,0.127455711617135,8,"annual","Asteraceae","Native","Forb",1.04880884817015,-0.261312541120922,0,17.2153330019881,0.48241295264624,28.0222841225627,-0.667068810391264,1.4986787391019,-1.78886296021394,2.42411281993147,1,-1.13784512469487,0,2.23920067895194,13.89008905,0.66028713,0.604127424490171,NA
"9","CHLPOM",-0.0307464323753739,1.79045885363573,-1.58659777658656,-0.0841709662882695,-0.253337155399437,0.305528447554056,0.72417155225772,0.191728192429587,0.591386495101251,-0.434942457093184,-0.279020593311713,9,"bulb","AGAVACEAE","Native","Forb",2.14476105895272,-1.15967792412775,0,14.4921601964674,0.497337115072934,34.3176661264182,2.3095287481084,1.38002907514096,-3.3870510452423,2.65631305032016,0,-0.731069404315595,0,2.28194711749168,4.4755521,2.7120518,2.06510837333592,NA
"10","CLAGRA",1.53571185198766,-1.00755077167652,-1.02703191777034,0.0912534939291168,-0.0720580159175732,-0.847775332807427,0.582021774508022,-0.480315070446594,-0.256961355670389,-0.0429116638820031,-0.133596534119576,10,"annual","Onagraceae","Native","Forb",1.4142135623731,0.646097665126698,0,8.08259946949602,0.517165648336728,63.9850644942295,-0.895508192691627,0.579909667096663,-2.6755143953108,2.63100449359883,0,-1.18766487113728,0,1.37611949731109,11.849313,0.8153881,0.0293713186481763,NA
"11","CLAPUR",2.17345752430636,-0.130256489865077,-0.693113282704634,-0.62981975024352,0.0297930219270125,0.45219047126791,0.748060929684954,-0.138610334827874,0.513936936785862,0.173743468140453,-0.0111022915141904,11,"annual","Onagraceae","Native","Forb",1.48323969741913,-1.00393128813676,0,9.52510202759604,0.538604395604396,56.5457875457875,-0.955915526657423,0.406973303542777,-3.67257082961546,2.60200137882537,0,-1.30205281323434,0,1.24856585865375,14.020755,1.01480362,-0.0220825547567142,NA
"12","COLSPA",-1.55110106443145,0.0501722061899685,0.928019721404437,1.5285804180017,1.31903524533361,0.163943719723312,0.0286842141185745,-0.0428837371256624,0.160550750960724,-0.0129541944031691,-0.0165679987456679,12,"annual","Plantaginaceae","Native","Forb",1.08397416943394,0.201308418610063,0,20.5811462676805,0.413686113393591,20.1002465078061,0.712051801283051,1.14200384303999,-2.87612202909751,2.67239942524917,2,-0.0576216340510432,0,2.04347526509836,13.7594231,2.2112972,1.6314595660653,NA
"13","CRYHIS",1.21266520118534,-0.390367150597008,-1.4538960747956,-0.804169947785921,-0.409463540817575,0.657021041694076,0.169310142453497,-0.0130444552774248,-0.497851098709615,0.136986188336411,-0.130461985679999,13,"annual","Boraginaceae","Native","Forb",2.14476105895272,-0.808219226713707,0,11.2266597892565,0.519812350733538,46.301603548277,-1.02398730732953,0.640096448045438,-2.67405276125271,2.5452730422394,0,-1.34424288911692,0,1.42897844487539,12.6693285,0.87299704,0.0439478495410302,NA
"14","DICCAP",0.307649979901449,0.213970372772951,0.232734329296159,-1.61375971589584,-1.23360772153708,-1.50804776541726,0.225649008061997,0.474221893303227,0.0734832102830125,0.188441639228501,0.0149365331502925,14,"perennial","THEMIDACEAE","Native","Forb",1.34164078649987,-0.640969489456686,1,11.855115697815,0.494248739495798,41.690756302521,0.17085728288807,1.26808174883368,-2.48351160974305,2.65135945408676,0,-2.25119512077995,0,2.02200028196041,5.041452,1.4313608,1.25457030570566,NA
"15","ERINUD",-0.87458166355851,0.166492508008736,0.840208563690866,-0.551275839700571,-1.64213558697346,-0.331527637479647,0.587262027592514,-0.657537445264642,-0.344956937398102,0.00501927163781292,-0.161369181475342,16,"shrub","polygonaceae","Native","Forb",1.48323969741913,-0.325967198496102,1,16.8480933266433,0.421308030112923,25.0062735257215,-0.0043092715880984,1.06560840293529,-2.57309223876675,2.58996649672405,0,-0.51356219810559,0,1.7995165385548,15.398703,1.2408079,0.76562606218026,NA
"16","FRIPUR",-1.26819263575416,-0.0323358256509417,-0.185740145039757,-0.0821304491005257,1.73709389650968,-1.78510808879918,-1.38974053754586,0.650887490251477,0.793945384390544,-0.30585103839136,0.391131068461019,17,"bulb","LILIACEAE","Native","Forb",0.948683298050514,0.470304461433783,0,15.0369629317607,0.454314349347757,30.2131721285396,1.67883803431668,2.03858246313864,-2.37992061726922,2.62452810405701,2,-2.69569719463077,0,2.93858429495371,19.242952,5.6988539,3.42755748127176,NA
"17","GALAPA",0.716152263379612,-0.853635928835278,1.45250663286499,1.20439051591901,1.30479865428759,1.05202774409913,0.0578521365702034,0.104580798909697,0.0108776005353388,1.00285387416924,-0.0522693035302992,18,"annual","Rubiaceae","Native","Forb",1.04163333279998,-0.232481373593262,0,18.1381709741551,0.47180349062702,26.0116354234001,-1.89472286028616,-0.0391294901142292,-3.51415682184475,2.66112485173871,2,-0.461375661438228,0,0.842464886072897,12.6964889,0.62040399,-0.806172910162663,NA
