"","X.x","Line","habitat","watering","fertilization","WFtreatment","Plot","rawcount","obsID","IDnum","family.x","annual.x","MarinaSp","nat.inv","Functional.group.x","species","X.y","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","X.1","annual.y","family.y","origin","Functional.group.y","SCT","SCP","Starch","CN","Carbon","N","Mass","Length","Shape","Compact","Disp","Texture","mucilage","Perimeter","Intensity","W","area","dispcat","totplotincmissing","totplottraits","relab","relab_traitsonly"
"1",1,"2","Harsh","unwatered","unfertilized","C","16",0,2,1,"Asteraceae","annual","yes","native","Forb","AGOHET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"2",2,"2","Harsh","unwatered","unfertilized","C","16",0,3,2,"ALLIACEAE","bulb","no","native","Forb","ALLFAL",1,1.02619780253925,1.96405361753119,-0.382051591282957,-0.450314357747674,0.169241626622436,-0.165017396058501,0.554305281402353,-0.701439381665382,0.650451674874474,-0.492404783282776,-0.26785147601021,1,"bulb","ALLIACEAE","Native","Forb",1.67332005306815,-0.887436770457525,0,13.369306310071,0.436761092150171,32.6689419795222,1.40224644733382,1.02351331281187,-4.12983271680384,2.6529739074605,0,-2.27583919471629,0,1.90348360901154,5.033866,2.0650592,1.37106429521256,NA,307,159,0,0
"3",3,"2","Harsh","unwatered","unfertilized","C","16",0,4,102,"ALLIACEAE","bulb","no","native","Forb","ALLAMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"4",4,"2","Harsh","unwatered","unfertilized","C","16",0,5,4,"Asteraceae","annual","yes","native","Forb","ANCFIL",53,1.18125045714061,-0.744724399609858,-0.908683199357575,-0.546988428484813,-0.0496214303086834,-0.505801870085633,-0.652563020450408,-0.297295157236459,-0.508151859500422,-0.411370443691102,-0.0477720972381971,53,"annual","Asteraceae","Native","Forb",1.48323969741913,-0.270789271314439,0,8.68064960088081,0.496955562559092,57.2486605735897,-1.00996059107355,0.809484104433864,-2.39801543820655,2.61661479666721,0,-1.19441750198131,0,1.59533813612726,11.898513,1.08570697,0.451353230504206,NA,307,159,0,0
"5",5,"2","Harsh","unwatered","unfertilized","C","16",0,6,105,"Fabaceae","annual","no","native","N-fixer","ASTBRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"6",6,"2","Harsh","unwatered","unfertilized","C","16",0,7,106,"Fabaceae","annual","yes","native","N-fixer","ASTGAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"7",7,"2","Harsh","unwatered","unfertilized","C","16",0,9,5,"Brassicaceae","annual","yes","native","Forb","ATHPUS",54,-0.0496439966512191,-0.621377811413694,0.445766733000389,0.274222525274737,0.586174200368033,-0.281776833838343,0.396039810691433,0.566342497919401,-0.656568741080803,-0.613108253107137,-0.558088132560955,54,"annual","Brassicaceae","Native","Forb",1.18321595661992,-0.0577932093401856,0,17.7886990801577,0.450639147802929,25.3328894806924,-1.04344251753464,1.10795594488236,-2.18479696093263,2.68820452926839,1,-1.59037238679597,0,1.99697931458637,35.7810395238095,2.2157284952381,1.53936781809375,NA,307,159,0,0
"8",8,"2","Harsh","unwatered","unfertilized","C","16",10,10,6,"Poaceae","annual","yes","invasive","Grass","AVEFAT",3,-2.92086872108495,2.23493751903591,-0.179757496479358,-0.351379681877674,-1.2731950739667,-0.101061093304724,0.419293271947443,1.39457100838789,-0.587319589005757,0.271499634748384,0.0875954439771315,3,"annual","Poaceae","Non-Native","Grass",2.56904651573303,-1.2682391662442,1,23.9674126790898,0.425799367825653,17.7657627682582,2.59260493074192,2.11680362962042,-2.04939670969689,2.7091420281871,1,-1.1708040533053,0,2.84816535645264,36.966633,2.3974183,2.71037456434246,NA,307,159,0.0325732899022801,0.0628930817610063
"9",9,"2","Harsh","unwatered","unfertilized","C","16",0,11,108,"Poaceae","annual","yes","invasive","Grass","BRODIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"10",10,"2","Harsh","unwatered","unfertilized","C","16",3,12,8,"Poaceae","annual","yes","invasive","Grass","BROHOR",5,-3.73755050531632,-1.04453596453085,1.51706636231729,-0.3263197754617,-0.792766472647008,-0.0234164081495281,-1.65544323165617,-0.34824403565841,0.968416499101593,-0.713255691666857,-0.340848071381565,5,"annual","Poaceae","Non-Native","Grass",0.469041575982343,-0.737359501377006,1,21.4764735017335,0.403233106013639,18.7755734655921,0.544357106974783,2.44769550676209,-1.80518576791072,2.49110949112267,1,1.53311742370047,0,3.14007574814226,31.684679,1.8789379,2.35146358659565,NA,307,159,0.00977198697068404,0.0188679245283019
