,Species,code,family,annual,Functional.group,origin,Abbreviation
1,Achyrachaena mollis,ACHMOL,Asteraceae,annual,Forb,Native,ACHMOL
2,Agoseris heterophylla,AGOHET,Asteraceae,annual,Forb,Native,AGOHET
3,Allium amplectens,ALLAMP,ALLIACEAE,bulb,Forb,Native,ALLAMP
4,Allium falcifolium,ALLFAL,ALLIACEAE,bulb,Forb,Native,ALLFAL
5,Amsinckia menziesii,AMSMEN,Boraginaceae,annual,Forb,Native,AMSMEN
6,Anagallis arvensis,ANAARV,Primulaceae,annual,Forb,Non-Native,ANAARV
7,Ancistrocarphus filagineus,ANCFIL,Asteraceae,annual,Forb,Native,ANCFIL
8,Aphanes occidentalis,APHOCC,Rosaceae,A/P,Forb,Native,APHOCC
9,Astragalus breweri,ASTBRE,Fabaceae,annual,N-fixer,Native,ASTBRE
10,Astragalus gambelianus,ASTGAM,Fabaceae,annual,N-fixer,Native,ASTGAM
11,Athysanus pusillus,ATHPUS,Brassicaceae,annual,Forb,Native,ATHPUS
12,Avena fatua,AVEFAT,Poaceae,annual,Grass,Non-Native,AVEFAT
13,Bromus diandrus,BRODIA,Poaceae,annual,Grass,Non-Native,BRODIA
14,Brodiaea elegans,BROELE,THEMIDACEAE,perennial,Forb,Native,BROELE
15,Bromus hordeaceus,BROHOR,Poaceae,annual,Grass,Non-Native,BROHOR
16,Bromus madritensis,BROMAD,Poaceae,annual,Grass,Non-Native,BROMAD
17,Calandrinia ciliata,CALCIL,MONTIACEAE,annual,Forb,Native,CALCIL
18,Calochortus luteus,CALLUT,LILIACEAE,bulb,Forb,Native,CALLUT
19,Calycadenia pauciflora,CALPAU,Asteraceae,annual,Forb,Native,CALPAU
20,Calochortus superbus,CALSUP,LILIACEAE,bulb,Forb,Native,CALSUP
21,Camissonia graciliflora,CAMGRA,Onagraceae,annual,Forb,Native,CAMGRA
22,Carduus pycnocephalus,CARPYC,Asteraceae,annual,Forb,Non-Native,CARPYC
23,Castilleja attenuata      ,CASATT,Orobanchaceae,annual,Forb,Native,CASATT
24,Castillea rubicundula,CASRUB,Orobanchaceae,annual,Forb,Native,CASRUB
25,Centaurea solstitialis,CENSOL,Asteraceae,annual,Forb,Non-Native,CENSOL
26,Centaurium trichanthum,CENTRI,Asteraceae,annual,Forb,Native,CENTRI
27,Cercocarpus betuloides,CERBET,Rosaceae,shrub,Shrub,Native,CERBET
28,Cerastium glomeratum,CERGLO,Caryophyllaceae,annual,Forb,Non-Native,CERGLO
29,Chaenactis glabriuscula,CHAGLA,Asteraceae,annual,Forb,Native,CHAGLA
30,Chlorogalum pomeridianum,CHLPOM,AGAVACEAE,bulb,Forb,Native,CHLPOM
31,Chorizanthe polygonoides,CHOPOL,polygonaceae,annual,Forb,Native,CHOPOL
32,Circium sp.,CIRSP.,Asteraceae,Biennial,Forb,Non-Native,CIRSP.
33,Claytonia exigua,CLAEXI,MONTIACEAE,annual,Forb,Native,CLAEXI
34,Clarkia gracilis,CLAGRA,Onagraceae,annual,Forb,Native,CLAGRA
35,Clarkia purpurea,CLAPUR,Onagraceae,annual,Forb,Native,CLAPUR
36,Clarkia_lump,CLARKIASP,Onagraceae,annual,Forb,Native,CLARKIASP
37,Collinsia sparsiflora,COLSPA,Plantaginaceae,annual,Forb,Native,COLSPA
38,Crassula connata,CRACON,CRASSULACEAE,annual,Forb,Native,CRACON
39,Cryptantha hispidula,CRYHIS,Boraginaceae,annual,Forb,Native,CRYHIS
40,Cryptantha micrantha,CRYMIC,Boraginaceae,annual,Forb,Native,CRYMIC
41,Cuscuta californica,CUSCAL,CONVOLVULACEAE,annual,Forb,Native,CUSCAL
42,Cynosurus echinatus,CYNECH,Poaceae,annual,Grass,Non-Native,CYNECH
43,Dactylis glomerata,DACGLO,Poaceae,perennial,Grass,Non-Native,DACGLO
44,Daucus pusillus,DAUPUS,Apiaceae,annual,Forb,Native,DAUPUS
45,Delphinium variegatum,DELVAR,Ranunculaceae,perennial,Forb,Native,DELVAR
46,Dichelostemma capitatum,DICCAP,THEMIDACEAE,perennial,Forb,Native,DICCAP
47,Elymus elymoides,ELYELY,Poaceae,perennial,Grass,Native,ELYELY
48,Epilobium brachycarpum,EPIBRA,Onagraceae,annual,Forb,Native,EPIBRA
49,Eremocarpus setigerus,ERESET,EUPHORBIACEAE,annual,Forb,Native,ERESET
50,Eriophyllum lanatum,ERILAN,Asteraceae,perennial,Forb,Native,ERILAN
51,Eriogonum nudum,ERINUD,polygonaceae,shrub,Forb,Native,ERINUD
52,Eriogonum vimineum,ERIVIM,polygonaceae,annual,Forb,Native,ERIVIM
