"","species","annual","family","origin","Functional.group","SCT","SCP","Starch","CN","Carbon","N","Mass","Length","Shape","Compact","Disp","Texture","mucilage","Perimeter","Intensity","W","area","dispcat","nseedssp","nfam"
"1","ALLFAL","bulb","ALLIACEAE","Native","Forb",2.8,0.411709707897016,0,13.369306310071,0.436761092150171,32.6689419795222,4.06432,2.782955,0.0160855694430029,0.97568124,0,0.102710678,0,6.7092261,5.033866,2.0650592,3.9395413,"coarse",147,6
"2","ANAARV","annual","Primulaceae","Non-Native","Forb",1.8,0.292570160432752,0,21.9851370851371,0.505330016583748,22.9850746268657,0.43258,1.2186506,0.00850368516748637,0.98884772,0,0.37827335,0,3.0798627,7.176409,1.0280981,0.90805242,"coarse",514,5
"3","AVEFAT","annual","Poaceae","Non-Native","Grass",6.6,0.28132655519756,1,23.9674126790898,0.425799367825653,17.7657627682582,13.36454,8.3045506,0.128812591538648,0.99663199,1,0.31011749,0,17.256094,36.966633,2.3974183,15.034906,"elong_long",218,28
"4","BROELE","perennial","THEMIDACEAE","Native","Forb",3.4,0.413145082765336,1,17.1522229179712,0.457297161936561,26.661101836394,2.6702,1.9897244,0.00646163046559146,0.9832442,0,0.152937437,0,5.2069619,3.8314516,1.7016795,2.4423548,"coarse",195,5
"5","BROHOR","annual","Poaceae","Non-Native","Grass",0.22,0.478375398897592,1,21.4764735017335,0.403233106013639,18.7755734655921,1.7235,11.5616722,0.164443905338797,0.91272819,1,4.6325961,0,23.105617,31.684679,1.8789379,10.5009275,"elong_short",351,10
"6","CALCIL","annual","MONTIACEAE","Native","Forb",2.8,0.326171707510142,1,14.6817717901613,0.478072449318711,32.5623130608176,0.336877777777778,1.40477205,0.0393375488413412,0.98821218,0,0.02114261805,0,3.2925725,7.024024,0.94168466,0.96195821,"smooth",64,2
"7","CALPAU","annual","Asteraceae","Native","Forb",5,0.480427752470297,0,16.2420357913441,0.452674212946586,27.8705341351256,1.38771846153846,3.1241771,0.0798481645828806,0.96745141,2,0.14377073,0,6.9108573,7.3893639,1.444655,3.1275179,"elong_short",44,3
"8","CHAGLA","annual","Asteraceae","Native","Forb",1.1,0.770040212770391,0,17.2153330019881,0.48241295264624,28.0222841225627,0.513210693069307,4.4757715,0.167150117991576,0.88546561,1,NA,0,9.385826,NA,0.66028713,1.829655,"elong_short",116,5
"9","CHLPOM","bulb","AGAVACEAE","Native","Forb",4.6,0.313587163478906,0,14.4921601964674,0.497337115072934,34.3176661264182,10.0696781818182,3.9750172,0.0338082289778339,0.97693909,0,0.48139391,0,9.7957353,4.4755521,2.7120518,7.8861525,"coarse",159,5
"10","CLAGRA","annual","Onagraceae","Native","Forb",2,1.90808031341822,0,8.08259946949602,0.517165648336728,63.9850644942295,0.4084,1.7858771,0.068871392160152,0.96736571,0,0.30493249,0,3.9595069,11.849313,0.8153881,1.02980691,"smooth",610,13
"11","CLAPUR","annual","Onagraceae","Native","Forb",2.2,0.366436040160225,0,9.52510202759604,0.538604395604396,56.5457875457875,0.38446,1.502264,0.0254110584002415,0.95628091,0,0.27197291,0,3.4853409,14.020755,1.01480362,0.97815948,"smooth",458,8
"12","COLSPA","annual","Plantaginaceae","Native","Forb",1.175,1.22300191021134,0,20.5811462676805,0.413686113393591,20.1002465078061,2.03816888888889,3.1330402,0.0563528744529359,0.98297673,2,0.94400706,0,7.7173826,13.7594231,2.2112972,5.1113296,"flat",149,3
"13","CRYHIS","annual","Boraginaceae","Native","Forb",4.6,0.445650963358949,0,11.2266597892565,0.519812350733538,46.301603548277,0.35916,1.8966638,0.0689721305359475,0.93423793,0,0.26073704,0,4.1744326,12.6693285,0.87299704,1.04492786,"smooth",99,5
"14","DICCAP","perennial","THEMIDACEAE","Native","Forb",1.8,0.526781467320947,1,11.855115697815,0.494248739495798,41.690756302521,1.18632142857143,3.5540285,0.0834496677971634,0.97507251,0,0.105273335,0,7.5534188,5.041452,1.4313608,3.5063314,"coarse",100,5
"15","ELYELY","perennial","Poaceae","Native","Grass",2.5,0.859531816683153,1,19.1514827269948,0.413631561571476,21.5978870914493,2.5275,5.9824668,0.168979818599343,0.98492722,1,1.4597506,0,12.390356,35.738312,1.06354994,4.6832256,"elong_long",1,1
