"","Fullname","SpeciesCode","Annual","Functional.group","Origin","InSeedbank","TraitData"
"1","Agoseris heterophylla","AGOHET","annual","Forb","Native","Yes","No"
"2","Allium falcifolium","ALLFAL","bulb","Forb","Native","Yes","Yes"
"3","Allium amplectens","ALLAMP","bulb","Forb","Native","Yes","No"
"4","Ancistrocarphus filagineus","ANCFIL","annual","Forb","Native","Yes","Yes"
"5","Astragalus breweri","ASTBRE","annual","N-fixer","Native","Yes","No"
"6","Astragalus gambelianus","ASTGAM","annual","N-fixer","Native","Yes","No"
"7","Athysanus pusillus","ATHPUS","annual","Forb","Native","Yes","Yes"
"8","Avena fatua","AVEFAT","annual","Grass","Non-Native","Yes","Yes"
"9","Bromus diandrus","BRODIA","annual","Grass","Non-Native","Yes","No"
"10","Bromus hordeaceus","BROHOR","annual","Grass","Non-Native","Yes","Yes"
"11","Bromus madritensis","BROMAD","annual","Grass","Non-Native","Yes","Yes"
"12","Calandrinia ciliata","CALCIL","annual","Forb","Native","Yes","Yes"
"13","Calycadenia pauciflora","CALPAU","annual","Forb","Native","Yes","Yes"
"14","Calochortus superbus","CALSUP","bulb","Forb","Native","Yes","No"
"15","Camissonia graciliflora","CAMGRA","annual","Forb","Native","Yes","No"
"16","Carduus pycnocephalus","CARPYC","annual","Forb","Non-Native","Yes","No"
"17","Castilleja attenuata      ","CASATT","annual","Forb","Native","Yes","Yes"
"18","Castillea rubicundula","CASRUB","annual","Forb","Native","Yes","No"
"19","Centaurea solstitialis","CENSOL","annual","Forb","Non-Native","Yes","No"
"20","Centaurium trichanthum","CENTRI","annual","Forb","Native","Yes","Yes"
"21","Chaenactis glabriuscula","CHAGLA","annual","Forb","Native","Yes","Yes"
"22","Chlorogalum pomeridianum","CHLPOM","bulb","Forb","Native","Yes","Yes"
"23","Chorizanthe polygonoides","CHOPOL","annual","Forb","Native","Yes","No"
"24","Clarkia_lump","CLARKIASP","annual","Forb","Native","Yes","No"
"25","Collinsia sparsiflora","COLSPA","annual","Forb","Native","Yes","Yes"
"26","Crassula connata","CRACON","annual","Forb","Native","Yes","No"
"27","Cryptantha hispidula","CRYHIS","annual","Forb","Native","Yes","Yes"
"28","Dichelostemma capitatum","DICCAP","perennial","Forb","Native","Yes","Yes"
"29","Elymus elymoides","ELYELY","perennial","Grass","Native","Yes","Yes"
"30","Epilobium brachycarpum","EPIBRA","annual","Forb","Native","Yes","Yes"
"31","Eremocarpus setigerus","ERESET","annual","Forb","Native","Yes","No"
"32","Eriogonum nudum","ERINUD","shrub","Forb","Native","Yes","Yes"
"33","Eriophyllum lanatum","ERILAN","perennial","Forb","Native","Yes","Yes"
"34","Eriogonum vimineum","ERIVIM","annual","Forb","Native","Yes","No"
"35","Erodium brachycarpum","EROBRA","annual","Forb","Non-Native","Yes","No"
"36","Erodium cicutarium","EROCIC","annual","Forb","Non-Native","Yes","No"
"37","Euphorbia crenulata","EUPCRE","annual","Forb","Native","Yes","Yes"
"38","Filago californica","FILCAL","annual","Forb","Native","Yes","Yes"
"39","Fritillaria purdyi","FRIPUR","bulb","Forb","Native","Yes","Yes"
"40","Galium_lump","GALIUMSP","annual","Forb",NA,"Yes","No"
"41","Gilia capitata","GILCAP","annual","Forb","Native","Yes","Yes"
"42","Gilia tricolor","GILTRI","annual","Forb","Native","Yes","Yes"
"43","Hemizonia congesta","HEMCON","annual","Forb","Native","Yes","No"
"44","Holocarpa virgata","HOLVIR","annual","Forb","Native","Yes","Yes"
"45","Hypochaeris glabra","HYPGLA","annual","Forb","Non-Native","Yes","Yes"
"46","Lactuca serriola","LACSER","annual","Forb","Non-Native","Yes","Yes"
"47","Lagophylla minor","LAGMIN","annual","Forb","Native","Yes","Yes"
"48","Lasthenia californica","LASCAL","annual","Forb","Native","Yes","Yes"
"49","Lepidium nitidum","LEPNIT","annual","Forb","Native","Yes","Yes"
"50","Linanthus bicolor","LINBIC","annual","Forb","Native","Yes","No"
"51","Linanthus dichotomus","LINDIC","annual","Forb","Native","Yes","Yes"
"52","Linanthus jepsonii","LINJEP","annual","Forb","Native","Yes","No"
"53","Lolium multiflorum","LOLMUL","annual","Grass","Non-Native","Yes","Yes"
"54","Lomatium marginatum","LOMMAR","perennial","Forb","Native","Yes","Yes"
