"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"ALLFAL","ALLFAL","1.02615318096051","1.9640521326149","-0.382037737375641","-0.45034542547471","0.169224132063018","-0.164979121801377","0.554253469450202","-0.701468738427191","0.650449193333326","-0.492402840585929","-0.267842476391406"
"ANAARV","ANAARV","1.99768067608758","1.03673083251199","0.884241616692758","0.833409585944745","-0.458314679856485","1.66744985117094","-0.372763163378126","0.216918370378599","1.02942730480817","-0.0944454223176937","-0.432027497136158"
"AVEFAT","AVEFAT","-2.92092603675397","2.23487300040382","-0.179780766614956","-0.351305061086269","-1.27317866959848","-0.101025015022896","0.419391497782753","1.3945558808851","-0.587300229380403","0.271539126335865","0.0876051359971878"
"BROELE","BROELE","0.965304513657243","2.42002983668838","0.878460987314046","-0.271951571573033","-1.5426081250735","0.0390184231804503","0.328149619657942","-0.593593173104339","1.05074054302367","1.18346108522301","-0.166175928978951"
"BROHOR","BROHOR","-3.7375567360414","-1.04459200495547","1.51706356285187","-0.326169501915376","-0.792879079840069","-0.0235902949272974","-1.65545293645391","-0.348174253347635","0.968380853664","-0.713321628924974","-0.340855858270915"
"CALCIL","CALCIL","1.85937194600348","0.88814400903817","1.00815227370407","-1.64399793971176","-1.50952251922746","-0.741055629416199","1.33282615968638","0.660973224685911","-0.56189586571786","0.625732097402672","-0.157018985561335"
"CALPAU","CALPAU","-0.697540057877698","0.555579519237367","-0.606704960437636","-0.315399504882337","1.29088993085296","0.396350384809504","1.02517253539463","0.745326773488619","-0.817232784592662","0.760671136664809","-0.010428362897914"
"CHAGLA","CHAGLA","-0.870921566787881","-1.78848552212903","-0.366118893257414","-0.610356410524839","0.337044710283264","0.313115211541748","0.421719436373391","0.271292173788743","0.413634199756144","-0.753608920694721","-0.126443235077682"
"CHLPOM","CHLPOM","0.00967151996540896","1.81712571594121","-1.57540403389769","-0.0642629415254143","-0.249961616649142","0.241186844482088","-0.722787676833541","0.15906354545304","0.675270146514843","-0.363206671741435","0.277782332417351"
"CLAGRA","CLAGRA","1.58933629350837","-0.979748577321912","-1.01083827904138","0.156231594592283","-0.110111761818169","-0.922666195884166","-0.50476979469814","-0.48852557742407","-0.23665610842777","-0.0748942929841618","0.132457822850162"
"CLAPUR","CLAPUR","2.22925649158806","-0.100139432480787","-0.676061016813791","-0.638505277764481","-0.0591943927264342","0.333441450968827","-0.789391322432311","-0.158354215354549","0.48693426166658","0.239184425345522","0.0131125407028558"
"COLSPA","COLSPA","-1.5172706826751","0.0139486238280022","0.940601182482871","1.35102885348853","1.49402546598717","0.21616670490553","-0.0515810797302311","-0.0580257686313535","0.172205051087951","-0.00616692809757362","0.0144736756495264"
"CRYHIS","CRYHIS","1.27917436248589","-0.356285659485507","-1.46793584765151","-0.760979687769103","-0.490601491248946","0.596794912368112","-0.252992620766851","-0.00762688386277754","-0.521165293824566","0.0752928100574489","0.130574617805276"
"DICCAP","DICCAP","0.326266882114355","0.21792976302596","0.188268213868409","-1.41287492144236","-1.39006282515098","-1.53619016603984","-0.0140956976546761","0.473289817268561","0.100076424159498","0.199964449097056","-0.0198071904731965"
"ELYELY","ELYELY","-2.70962839914147","0.20789195067476","0.654476519632516","0.235847850538069","-0.923025499982783","-0.6841433212168","-0.885902902134495","0.151113216292732","-0.589677050017289","0.161307997569039","0.089097894555515"
"ERINUD","ERINUD","-0.865299598257102","0.153004979813582","0.787979854291446","-0.394983327540312","-1.68549600981784","-0.347624888017884","-0.430879518905169","-0.684256103768106","-0.281027566385003","-0.0337038018198762","0.154391273692135"
"FRIPUR","FRIPUR","-1.20424680867751","-0.0699052094145004","-0.203363507374072","-0.174053098420183","1.78827362915244","-1.64150125822706","1.52305869295072","0.695728555384298","0.803985078928072","-0.214770160235585","-0.389602165696059"
"GALAPA","GALAPA","0.75482240124515","-0.872652522866266","1.4776369488589","1.00315764429921","1.42826716213267","1.06118191544997","-0.210749969282456","0.100887152672107","-0.139156080706035","0.988834068423951","0.053106145414751"
"GALMUR","GALMUR","0.423820298371718","-1.15550001909936","1.36975377379967","0.899849371053102","1.48441529533727","0.889558808576298","-0.320282076080981","-0.195557134707558","-0.292094947844585","0.854836452112953","0.059970994969983"
"GILCAP","GILCAP","0.475714698825593","-0.0232418752575418","-0.794105432763676","2.15734238423023","-0.788443673382367","-0.479042923731366","0.451750327894965","-0.300624415457533","-0.181520832369192","-0.293521910494178","0.0183053076718142"
"GILTRI","GILTRI","1.19254211122915","-1.09336205588146","0.883327454926895","1.89437986331477","-0.117271717017472","-0.764500846246748","-0.181292960074493","-1.37653630183326","0.402914981538314","-0.744634106208918","-0.0940391596429736"
"HOLVIR","HOLVIR","0.542411019856511","0.660290299384079","-2.8735835373409","-0.129433339588115","-0.915248700487947","0.406388964405495","-0.0688065676072345","0.70532466634175","-0.350047795128781","0.466654010591807","0.147398240479691"
"HYPGLA","HYPGLA","-0.684278384963574","-0.789182929291456","-1.16291130584566","-0.688893441244594","0.302660204546902","0.317417774003043","0.0300206062294643","0.651440728722275","-0.604833715782401","-0.168722770768559","-0.2746593581255"
"LACSER","LACSER","0.432326731324014","-1.6181120708754","-0.293289044717026","-0.178350260629885","1.54105602257606","-1.28706851471892","0.48573728789286","1.91135602938445","0.549504329109659","0.51225862464517","-0.124479516540536"
"LAGMIN","LAGMIN","1.18047929564294","-1.28994408096707","-0.653518711281352","-0.654361769952886","-0.105804595692204","-0.605356094722837","-0.298957095019741","0.0250619279727285","-0.030724217039565","-0.744901726513031","-0.0486626091506477"
"LASCAL","LASCAL","-0.855404269189362","-2.90891416684127","-0.3562383085174","-1.37250041954461","1.39845251401082","0.470879886757444","0.695327022795504","-0.672267552898934","0.367418940689358","0.395010233522567","0.0894373054156397"
"LINDIC","LINDIC","1.81395525499093","-0.90286439225196","0.0312554544959135","0.100984681436494","-0.512613606340935","0.539779827521635","0.0442425811241715","0.536635325742325","0.31205651880618","-0.470140066252764","0.0678665228040725"
"LOLMUL","LOLMUL","-3.43346489495975","0.267576126835779","1.40902118810582","0.620956185456913","-0.268650634167606","0.364922784122974","-1.08264456397054","0.820003913092107","-0.425093187253953","0.739528203398376","0.155925482478839"
