,trait,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
SCT,SCT,-0.088629391,0.349276955,-0.579508041,0.048311516,-0.222463568,0.302972981,0.155799338,-0.001933891,-0.474542435,0.375811088,-0.001590774
Mass,Mass,-0.313858495,0.52095243,-0.21731109,0.06863039,0.094513151,-0.263563373,0.053317239,0.023251555,0.387704124,-0.163713986,0.565038639
SCP,SCP,-0.030828681,-0.336557524,-0.160403307,0.658985718,-0.117763789,-0.448539538,0.320890962,-0.296476419,0.006777926,0.139274709,-0.020458262
Carbon,Carbon,0.335124396,-0.277246026,-0.370652449,0.062115332,-0.152417076,-0.010185881,-0.193833037,0.608873308,0.397520552,0.261059144,0.108524617
CN,CN,-0.269312393,0.061984909,0.317350087,0.425969742,-0.289541507,0.469740861,0.332260975,0.39818134,0.11720173,-0.224581053,-0.062112936
Length,Length,-0.499120648,0.047552527,-0.294860294,-0.146195183,-0.014189626,-0.214898591,-0.063770034,0.106196598,0.25153323,-0.091358997,-0.71201067
Starch,Starch,-0.243549468,0.048031502,0.410085031,-0.25750023,-0.604404565,-0.294887844,-0.058476503,0.020395519,0.013782249,0.485548257,0.108877329
Shape,Shape,-0.355026282,-0.426396268,-0.139883542,-0.167156094,-0.045198198,-0.214995262,-0.019478055,0.344562713,-0.505946488,-0.362832404,0.299392881
Disp,Disp,-0.344643452,-0.126286457,0.179417342,0.026880433,0.660955531,0.062460682,0.161460839,0.218152672,-0.019319509,0.560250077,0.060682354
Texture,Texture,-0.339356909,-0.139989636,-0.022321431,0.349584374,-0.037419722,0.282195539,-0.766940536,-0.23615694,0.020435942,0.064082389,0.11404247
Compact,Compact,0.198560056,0.436701622,0.213902371,0.367195865,0.121787173,-0.392294416,-0.315929305,0.385362722,-0.363948594,-0.015496925,-0.198839278
,,,,,,,,,,,,
,,,,,,,,,,,,
,,-0.089,0.349,-0.58,0.048,-0.222,0.303,0.156,-0.002,-0.475,0.376,-0.002
,,-0.314,0.521,-0.217,0.069,0.095,-0.264,0.053,0.023,0.388,-0.164,0.565
,,-0.031,-0.337,-0.16,0.659,-0.118,-0.449,0.321,-0.296,0.007,0.139,-0.02
,,0.335,-0.277,-0.371,0.062,-0.152,-0.01,-0.194,0.609,0.398,0.261,0.109
,,-0.269,0.062,0.317,0.426,-0.29,0.47,0.332,0.398,0.117,-0.225,-0.062
,,-0.499,0.048,-0.295,-0.146,-0.014,-0.215,-0.064,0.106,0.252,-0.091,-0.712
,,-0.244,0.048,0.41,-0.258,-0.604,-0.295,-0.058,0.02,0.014,0.486,0.109
,,-0.355,-0.426,-0.14,-0.167,-0.045,-0.215,-0.019,0.345,-0.506,-0.363,0.299
,,-0.345,-0.126,0.179,0.027,0.661,0.062,0.161,0.218,-0.019,0.56,0.061
,,-0.339,-0.14,-0.022,0.35,-0.037,0.282,-0.767,-0.236,0.02,0.064,0.114
,,0.199,0.437,0.214,0.367,0.122,-0.392,-0.316,0.385,-0.364,-0.015,-0.199
