"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","SCT","Mass","Carbon","N","CN","Length","W","area","Shape","Intensity","P","Texture","Fit_rect","Compact","germ_is_disp","lump_dispcat","mucilage","Starch","annual","family","Functional.group","how3d","SCTmm","SCTperL","SCP","SCTperW","SCTperMass","Disp","SA_2D","origin"
"1","ALLFAL",1.02615318096051,1.9640521326149,-0.382037737375641,-0.45034542547471,0.169224132063018,-0.164979121801377,0.554253469450202,-0.701468738427191,0.650449193333326,-0.492402840585929,-0.267842476391406,1.67332005306815,1.40224644733382,0.436761092150171,32.6689419795222,13.369306310071,1.02351331281187,2.0650592,1.37106429521256,-4.12983271680384,5.033866,1.90348360901154,-2.27583919471629,0.74678339,2.6529739074605,0,2,0,0,"bulb","ALLIACEAE","Forb",0,0.035,0.112145262083737,-0.887436770457526,0.130187044874814,0.0927983116842368,0,0.532419313798986,"Native"
"2","ANAARV",1.99768067608758,1.03673083251199,0.884241616692758,0.833409585944745,-0.458314679856485,1.66744985117094,-0.372763163378126,0.216918370378599,1.02942730480817,-0.0944454223176937,-0.432027497136158,1.34164078649987,-0.837987998616981,0.505330016583748,22.9850746268657,21.9851370851371,0.197744181029447,1.0280981,-0.0964531707696968,-4.76725566032509,7.176409,1.12488501806978,-0.972138196560036,0.81554451,2.68813520264763,0,2,0,0,"annual","Primulaceae","Forb",0,0.0225,0.135878785277519,-1.22905077634581,0.147936037138251,0.228064684668606,0,1.22133818883948,"Non-Native"
"3","AVEFAT",-2.92092603675397,2.23487300040382,-0.179780766614956,-0.351305061086269,-1.27317866959848,-0.101025015022896,0.419391497782753,1.3945558808851,-0.587300229380403,0.271539126335865,0.0876051359971878,2.56904651573303,2.59260493074192,0.425799367825653,17.7657627682582,23.9674126790898,2.11680362962042,2.3974183,2.71037456434246,-2.04939670969689,36.966633,2.84816535645264,-1.1708040533053,0.77405444,2.7091420281871,1,3,0,1,"annual","Poaceae","Grass",0.269706614727089,0.0825,0.0996710208624266,-1.2682391662442,0.185504763533904,0.0785687722435565,1,0.137790792110175,"Non-Native"
"4","BROELE",0.965304513657243,2.42002983668838,0.878460987314046,-0.271951571573033,-1.5426081250735,0.0390184231804503,0.328149619657942,-0.593593173104339,1.05074054302367,1.18346108522301,-0.166175928978951,1.84390889145858,0.982153375973858,0.457297161936561,26.661101836394,17.1522229179712,0.687996136683123,1.7016795,0.892962655880126,-5.04187359897924,3.8314516,1.64999655708082,-1.87772634971231,0.8051196,2.67311430752396,0,2,0,1,"perennial","THEMIDACEAE","Forb",0,0.0425,0.146149724881278,-0.883956457720279,0.158035837224345,0.126160258226387,0,0.757033901200696,"Native"
"5","BROHOR",-3.7375567360414,-1.04459200495547,1.51706356285187,-0.326169501915376,-0.792879079840069,-0.0235902949272974,-1.65545293645391,-0.348174253347635,0.968380853664,-0.713321628924974,-0.340855858270915,0.469041575982343,0.544357106974783,0.403233106013639,18.7755734655921,21.4764735017335,2.44769550676209,1.8789379,2.35146358659565,-1.80518576791072,31.684679,3.14007574814226,1.53311742370047,0.52244457,2.49110949112267,1,4,0,1,"annual","Poaceae","Grass",0.117180610950795,0.00275,0.0154225441060628,-0.737359501377006,0.0382569315227125,0.0399448415748056,1,0.788612161546613,"Non-Native"
"6","CALCIL",1.85937194600348,0.88814400903817,1.00815227370407,-1.64399793971176,-1.50952251922746,-0.741055629416199,1.33282615968638,0.660973224685911,-0.56189586571786,0.625732097402672,-0.157018985561335,1.67332005306815,-1.08803509163034,0.478072449318711,32.5623130608176,14.6817717901613,0.339875047630171,0.94168466,-0.0387842700084479,-3.23557577499489,7.024024,1.19166917413471,-3.85646446278322,0.789683385,2.68642732796976,0,7,0,1,"annual","MONTIACEAE","Forb",0,0.035,0.157845095900307,-1.12033132612472,0.192788566566995,0.322327856699856,0,1.23045344414315,"Native"
"7","CALPAU",-0.697540057877698,0.555579519237367,-0.606704960437636,-0.315399504882337,1.29088993085296,0.396350384809504,1.02517253539463,0.745326773488619,-0.817232784592662,0.760671136664809,-0.010428362897914,2.23606797749979,0.327661004001989,0.452674212946586,27.8705341351256,16.2420357913441,1.13917092051146,1.444655,1.14023968676381,-2.52762839039768,7.3893639,1.93309369665415,-1.9395354010061,0.7311858,2.6312299803459,0,4,0,0,"annual","Asteraceae","Forb",0.201368759552104,0.0625,0.14143998001696,-0.733078420939705,0.207997414325335,0.212221473536818,2,0.792854009890333,"Native"
"8","CHAGLA",-0.870921566787881,-1.78848552212903,-0.366118893257414,-0.610356410524839,0.337044710283264,0.313115211541748,0.421719436373391,0.271292173788743,0.413634199756144,-0.753608920694721,-0.126443235077682,1.04880884817015,-0.667068810391264,0.48241295264624,28.0222841225627,17.2153330019881,1.4986787391019,0.66028713,0.604127424490171,-1.78886296021394,13.89008905,2.23920067895194,-1.13837098448867,NA,2.42411281993147,1,4,0,0,"annual","Asteraceae","Forb",0,0.01375,0.0554264924210246,-0.261312541120922,0.144306180836652,0.163682971562027,1,1.63507325446176,"Native"
"9","CHLPOM",0.00967151996540896,1.81712571594121,-1.57540403389769,-0.0642629415254143,-0.249961616649142,0.241186844482088,-0.722787676833541,0.15906354545304,0.675270146514843,-0.363206671741435,0.277782332417351,2.14476105895272,2.3095287481084,0.497337115072934,34.3176661264182,14.4921601964674,1.38002907514096,2.7120518,2.06510837333592,-3.3870510452423,4.4755521,2.28194711749168,-0.731069404315595,0.76625936,2.65631305032016,0,2,0,0,"bulb","AGAVACEAE","Forb",0.16586980786892,0.0575,0.120271967693397,-1.15967792412775,0.145607897927263,0.07556594655703,0,0.216838744155766,"Native"
"10","CLAGRA",1.58933629350837,-0.979748577321912,-1.01083827904138,0.156231594592283,-0.110111761818169,-0.922666195884166,-0.50476979469814,-0.48852557742407,-0.23665610842777,-0.0748942929841618,0.132457822850162,1.4142135623731,-0.895508192691627,0.517165648336728,63.9850644942295,8.08259946949602,0.579909667096663,0.8153881,0.0293713186481763,-2.6755143953108,11.849313,1.37611949731109,-1.18766487113728,0.79495482,2.63100449359883,0,7,0,0,"annual","Onagraceae","Forb",0,0.025,0.118316201985917,0.646097665126697,0.175100674839718,0.247415633282451,0,1.34674817866291,"Native"
"11","CLAPUR",2.22925649158806,-0.100139432480787,-0.676061016813791,-0.638505277764481,-0.0591943927264342,0.333441450968827,-0.789391322432311,-0.158354215354549,0.48693426166658,0.239184425345522,0.0131125407028558,1.48323969741913,-0.955915526657423,0.538604395604396,56.5457875457875,9.52510202759604,0.406973303542777,1.01480362,-0.0220825547567142,-3.67257082961546,14.020755,1.24856585865375,-1.30205281323434,0.76264321,2.60200137882537,0,7,0,0,"annual","Onagraceae","Forb",0,0.0275,0.135298573252678,-1.00393128813676,0.16461725026182,0.267448869271606,0,1.27064841341046,"Native"
"12","COLSPA",-1.5172706826751,0.0139486238280022,0.940601182482871,1.35102885348853,1.49402546598717,0.21616670490553,-0.0515810797302311,-0.0580257686313535,0.172205051087951,-0.00616692809757362,0.0144736756495264,1.08397416943394,0.712051801283051,0.413686113393591,20.1002465078061,20.5811462676805,1.14200384303999,2.2112972,1.6314595660653,-2.87612202909751,13.7594231,2.04347526509836,-0.0576216340510432,0.78745827,2.67239942524917,0,5,0,0,"annual","Plantaginaceae","Forb",0.357115397136589,0.0146875,0.0684685224874532,0.201308418610064,0.0814986437997742,0.0848894765742757,2,0.41201569903306,"Native"
"13","CRYHIS",1.27917436248589,-0.356285659485507,-1.46793584765151,-0.760979687769103,-0.490601491248946,0.596794912368112,-0.252992620766851,-0.00762688386277754,-0.521165293824566,0.0752928100574489,0.130574617805276,2.14476105895272,-1.02398730732953,0.519812350733538,46.301603548277,11.2266597892565,0.640096448045438,0.87299704,0.0439478495410302,-2.67405276125271,12.6693285,1.42897844487539,-1.34424288911692,0.6861189,2.5452730422394,0,7,0,0,"annual","Boraginaceae","Forb",0,0.0575,0.174116025353435,-0.808219226713707,0.256641885179722,0.400119705888103,0,1.38503059533436,"Native"
"14","DICCAP",0.326266882114355,0.21792976302596,0.188268213868409,-1.41287492144236,-1.39006282515098,-1.53619016603984,-0.0140956976546761,0.473289817268561,0.100076424159498,0.199964449097056,-0.0198071904731965,1.34164078649987,0.17085728288807,0.494248739495798,41.690756302521,11.855115697815,1.26808174883368,1.4313608,1.25457030570566,-2.48351160974305,5.041452,2.02200028196041,-2.25119512077995,0.72112719,2.65135945408676,0,2,0,1,"perennial","THEMIDACEAE","Forb",0,0.0225,0.0795666010244119,-0.640969489456686,0.12537666094497,0.137717798450728,0,0.767429976254746,"Native"
"15","ELYELY",-2.70962839914147,0.20789195067476,0.654476519632516,0.235847850538069,-0.923025499982783,-0.6841433212168,-0.885902902134495,0.151113216292732,-0.589677050017289,0.161307997569039,0.089097894555515,1.58113883008419,0.927230671912489,0.413631561571476,21.5978870914493,19.1514827269948,1.78883299126556,1.06354994,1.54398710328834,-1.77797598776172,35.738312,2.51691842807734,0.378265599210711,0.76570198,2.67761700036402,1,3,0,1,"perennial","Poaceae","Grass",0.262328084301555,0.03125,0.0722744611230119,-0.15136743717927,0.171413912256257,0.111193507200381,1,0.972931324789002,"Native"
"16","ERINUD",-0.865299598257102,0.153004979813582,0.787979854291446,-0.394983327540312,-1.68549600981784,-0.347624888017884,-0.430879518905169,-0.684256103768106,-0.281027566385003,-0.0337038018198762,0.154391273692135,1.48323969741913,-0.0043092715880984,0.421308030112923,25.0062735257215,16.8480933266433,1.06560840293529,1.2408079,0.76562606218026,-2.57309223876675,15.398703,1.7995165385548,-0.51356219810559,0.64354775,2.58996649672405,0,7,0,1,"shrub","polygonaceae","Forb",0,0.0275,0.0973357595681651,-0.325967198496103,0.148872359619865,0.166188930650885,0,1.03389047637454,"Native"
"17","FRIPUR",-1.20424680867751,-0.0699052094145004,-0.203363507374072,-0.174053098420183,1.78827362915244,-1.64150125822706,1.52305869295072,0.695728555384298,0.803985078928072,-0.214770160235585,-0.389602165696059,0.948683298050514,1.67883803431668,0.454314349347757,30.2131721285396,15.0369629317607,2.03858246313864,5.6988539,3.42755748127176,-2.37992061726922,19.242952,2.93858429495371,-2.69569719463077,0.76268121,2.62452810405701,0,5,0,0,"bulb","LILIACEAE","Forb",0.63908138930938,0.01125,0.0382739869010736,0.470304461433783,0.0444306328940669,0.0458164266207117,2,-0.488973186318048,"Native"
"18","GALAPA",0.75482240124515,-0.872652522866266,1.4776369488589,1.00315764429921,1.42826716213267,1.06118191544997,-0.210749969282456,0.100887152672107,-0.139156080706035,0.988834068423951,0.053106145414751,1.04163333279998,-1.89472286028616,0.47180349062702,26.0116354234001,18.1381709741551,-0.0391294901142292,0.62040399,-0.806172910162663,-3.51415682184475,12.6964889,0.842464886072897,-0.461375661438228,0.84598626,2.66112485173871,0,4,0,0,"annual","Rubiaceae","Forb",0,0.0135625,0.118759055897733,-0.232481373593262,0.147853831881924,0.300333458375419,2,1.64863779623556,"Native"
"19","GALMUR",0.423820298371718,-1.15550001909936,1.36975377379967,0.899849371053102,1.48441529533727,0.889558808576298,-0.320282076080981,-0.195557134707558,-0.292094947844585,0.854836452112953,0.059970994969983,1,-1.92751046620995,0.457488702388638,27.0916720464816,16.886691290361,0.0903613728158217,0.68687586,-0.583909261754773,-3.23408747410925,18.059156,0.987853152573435,-0.244986442283546,0.83411066,2.63518808776017,0,4,0,0,"annual","Rubiaceae","Forb",0,0.0125,0.10686445708545,-0.0697245566789078,0.134901220758838,0.293095119056109,2,1.57176241432821,"Non-Native"
"20","GILCAP",0.475714698825593,-0.0232418752575418,-0.794105432763676,2.15734238423023,-0.788443673382367,-0.479042923731366,0.451750327894965,-0.300624415457533,-0.181520832369192,-0.293521910494178,0.0183053076718142,1.84390889145858,0.263248488810514,0.483361618798956,25.4895561357702,18.9631241997439,0.748489688306634,1.3028482,0.707822913253542,-2.99409267546784,13.222789,1.58766840690048,-0.894615740898308,0.78267735,2.6957116699962,0,2,1,0,"annual","Polemoniaceae","Forb",0.239187267398149,0.0425,0.141795351759443,1.78074073040443,0.180612396987759,0.180730221973346,0,0.879845493646936,"Native"
"21","GILTRI",1.19254211122915,-1.09336205588146,0.883327454926895,1.89437986331477,-0.117271717017472,-0.764500846246748,-0.181292960074493,-1.37653630183326,0.402914981538314,-0.744634106208918,-0.0940391596429736,0.547722557505166,-0.957568559437174,0.448650154798762,28.4613003095975,15.7635157184815,0.301284858625074,0.86413413,-0.167471668202674,-3.39952861921195,18.732731,1.16161228313025,-0.503125100711392,0.78919758,2.66097160197137,0,2,1,0,"annual","Polemoniaceae","Forb",0,0.00375,0.0526735341004021,1.78484226799345,0.065875671415021,0.0988437024260098,0,1.32908395133292,"Native"
"22","HOLVIR",0.542411019856511,0.660290299384079,-2.8735835373409,-0.129433339588115,-0.915248700487947,0.406388964405495,-0.0688065676072345,0.70532466634175,-0.350047795128781,0.466654010591807,0.147398240479691,2.96647939483827,0.64257730864977,0.556614654002714,42.072591587517,13.2298637426429,1.2504712588193,1.6041876,1.32735323861044,-2.67588103869234,8.0783162,2.07178169229508,-1.30020301723095,0.72514003,2.59688938916408,0,2,0,0,"annual","Asteraceae","Forb",0.0380669930815803,0.11,0.177484306864805,-0.436417162375974,0.261859759738852,0.240526234814038,0,0.744428453684639,"Native"
"23","HYPGLA",-0.684278384963574,-0.789182929291456,-1.16291130584566,-0.688893441244594,0.302660204546902,0.317417774003043,0.0300206062294643,0.651440728722275,-0.604833715782401,-0.168722770768559,-0.2746593581255,1.89736659610103,-0.610968294602301,0.489033834586466,33.1315789473684,14.7603540224668,1.54321663225137,0.62483544,0.549988566019796,-1.7634817586316,13.89008905,2.25767855975798,-1.13837098448867,NA,2.54506344763454,1,3,0,0,"annual","Asteraceae","Forb",0,0.045,0.098062062422301,-0.69910604060618,0.26836348914243,0.287922985143144,1,1.70768999373818,"Non-Native"
"24","LACSER",0.432326731324014,-1.6181120708754,-0.293289044717026,-0.178350260629885,1.54105602257606,-1.28706851471892,0.48573728789286,1.91135602938445,0.549504329109659,0.51225862464517,-0.124479516540536,0.806225774829855,-0.498403103767433,0.57010355540214,43.8280980324474,13.0077183586674,1.27243634374138,1.11894288,0.970596438388775,-2.0342974775446,20.6608395,1.98844255655639,-2.33509289225609,0.695229945,2.66143964150888,0,3,0,0,"annual","Asteraceae","Forb",0.5026039656554,0.008125,0.047709585506875,0.215874396556447,0.0852133670999535,0.115648111081452,2,1.01784611816761,"Non-Native"
"25","LAGMIN",1.18047929564294,-1.28994408096707,-0.653518711281352,-0.654361769952886,-0.105804595692204,-0.605356094722837,-0.298957095019741,0.0250619279727285,-0.030724217039565,-0.744901726513031,-0.0486626091506477,1.09544511501033,-1.09654775461923,0.512894736842105,49.0853658536585,10.4490356325597,0.881759036872278,0.90844863,0.40109269636601,-2.21095917177849,11.8666457,1.64530473835931,-1.55553064395559,0.70923461,2.57148452930381,0,7,0,0,"annual","Asteraceae","Forb",0.373175669020514,0.015,0.0788086861883931,-0.17003949713591,0.128497726078453,0.211913170434511,0,1.2442120419933,"Native"
