in.hand,Cleaned,use?,dispersule,seeds.per.disp,morphological unit,chemical unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,ID,type,seedling.traits.ashley,mega.comp,notes
y,y,both,y,1,anthocarp,seed,Abronia villosa,,ABRVIL,ABVI,Nyctaginaceae,forb,native,2020,12,,,0.3115,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-1,wild,,,
y,y,both,y,1,achene + pappus,achene,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,2015,,,,0.72,,38.86537177,-122.4029395,663,location approximate,,MCL-ML,MCL-ML-1a,wild,,,
y,y,both,y,1,achene + remnant flower,achene,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,2015,,,,,44,38.86537177,-122.4029395,663,location approximate,,MCL-ML,MCL-ML-1b,wild,,,"only 44 of this morph, 43 of them are in their dispersules and 1 is clean"
y,y,both,,1,seed,seed,Achyronychia cooperi,,ACHCOO,ACCO3,Caryophyllaceae,forb,native,2017,60,,,0.110518868,1100,33.87157,-116.44117,394,,24787,CBG,CBG-24787,wild,,,
y,y,both,,1,seed,seed,Acmispon americanus,Lotus purshianus,ACMAME,LOUNU,Fabaceae,forb,native,2021,76,,,1.155,,NA,NA,NA,,,HED,HED-1,cultivated,,x,
y,y,both,,1,seed,seed,Acmispon maritimus var. brevivexillus,Lotus salsuginosus var. brevivexillus,ACMMARB,LOSAB,Fabaceae,forb,native,2007,78,,,0.3715,100,33.9038,-111.82012,1016,,W6 32602,GRIN,GRIN-W6-32602,wild,,,collected before 2007; cannot order more
y,y,both,,1,seed,seed,Acmispon strigosus,Lotus strigosus,ACMSTR,LOST4,Fabaceae,forb,native,2011,30,,,0.568,427,33.66545,-116.83133,760,,23436,CBG,CBG-23436,wild,,,
y,y,both,,1,seed,seed,Acmispon wrangelianus,Lotus wrangelianus,ACMWRA,LOWR2,Fabaceae,forb,native,2021,,,,0.49,,38.87244585,-122.4271412,662,S ridge watering Exp NS,,MCL-ML,MCL-ML-16,wild,,,
y,y,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,,,,1.37,,39.24872381,-121.315312,193,,,SFREC,SFREC-20a,wild,,,"morph 2, small"
y,y,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,,,,3.58,,39.24872381,-121.315312,193,,,SFREC,SFREC-20,wild,,,spikelet
y,y,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,,,,3.58,,39.24872381,-121.315312,193,,,SFREC,SFREC-20b,wild,,,"morph 1, large"
y,y,both,y,1,achene + pappus,achene,Agoseris heterophylla,,AGOHET,AGHE2,Asteraceae,forb,native,2015,,,,0.17,,38.82669382,-122.3390715,399,,,MCL-ML,MCL-ML-7,wild,,,
y,y,both,,1,seed,seed,Aliciella latifolia ssp. latifolia,,ALILATL,ALLAL3,Polemoniaceae,forb,native,1998,30,,,0.088171893,1750,33.60372,-115.92266,240,,19964,CBG,CBG-19964,wild,,,not enough of this species for phosphorus
y,y,both,,1,seed,seed,Amaranthus fimbriatus,,AMAFIM,AMFI,Amaranthaceae,forb,native,2010,74,73,0.26,0.064,400,31.83397,-110.85645,1111,,PI 662285,GRIN,GRIN-PI-662285,wild,,,
y,y,both,,1,seed,seed,Amaranthus hybridus,,AMAHYB,AMHY,Amaranthaceae,forb,native,2010,100,31,0.56,0.112,200,31.79261,-110.74676,1580,,PI 688207,GRIN,GRIN-PI-688207,wild,,,
y,y,both,,1,seed,seed,Amaranthus palmeri,,AMAPAL,AMPA,Amaranthaceae,forb,native,1999,84,9,0.3,0.12,400,33.41666667,-112,345,,PI 612856,GRIN,GRIN-PI-612856,wild,,,
y,y,both,,1,seed,seed,Amaranthus torreyi,,AMATOR,AMTO6,Amaranthaceae,forb,native,2010,95,0,,0.14,400,31.79261,-110.74676,1580,,PI 688211,GRIN,GRIN-PI-688211,wild,,,
y,y,both,,1,nutlet,nutlet,Amsinckia intermedia,,AMSINT,AMMEI2,Boraginaceae,forb,native,2013,92,,,0.89,200,33.393283,-111.3626803,709,,W6 48213,GRIN,GRIN-W6-48213,wild,,,
y,y,both,,1,nutlet,nutlet,Amsinckia menziesii,,AMSMEN,AMME,Boraginaceae,forb,native,2021,,,,0.7,,39.23602182,-121.3049973,353,,,SFREC,SFREC-1,wild,,x,
y,y,both,,1,nutlet,nutlet,Amsinckia tessellata,,AMSTES,AMTE3,Boraginaceae,forb,native,2018,78,,,0.9543,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-3,wild,,,
