Species #,Species Name,Gpercent,Gpercent_dry,Gpercent_wet,B_dry,B_wet,C_dry,C_wet,D_dry,D_wet,E_dry,E_wet,Gp_asmean,N,st_all,G_dry,G_wet,sd_dry,sd_wet,Difference,n_dry,n_wet
70,Vulpia myuros,1,1,1,1,1,1,1,1,1,1,1,1,8,0,1,1,0,0,1,4,4
6,Avena fatua,1,1,1,1,1,1,1,1,1,1,1,1,8,0,1,1,0,0,1,4,4
8,Bromus hordeaceus,1,1,1,1,1,1,1,1,1,1,1,1,8,0,1,1,0,0,1,4,4
41,Lolium multiflorum,1,1,1,1,1,1,1,1,1,1,1,1,8,0,1,1,0,0,1,4,4
51,Petrohagia prolifera,1,1,1,1,1,1,1,1,1,1,1,1,8,0,1,1,0,0,1,4,4
58,Taeniatherum caput-medusae,1,1,1,1,1,1,1,1,1,1,1,1,8,0,1,1,0,0,1,4,4
23,Epilobium brachycarpum,0.975,1,0.95,1,1,1,1,1,0.8,1,1,0.975,8,0.070710678,1,0.95,0,0.1,1.052631579,4,4
3,Anagallis arvensis,0.925,0.85,1,0.6,1,1,1,0.8,1,1,1,0.925,8,0.148804762,0.85,1,0.191485422,0,0.85,4,4
39,Lepidium,0.9,0.85,0.95,1,1,0.4,0.8,1,1,1,1,0.9,8,0.213808994,0.85,0.95,0.3,0.1,0.894736842,4,4
56,Silene gallica,0.888888889,0.944444444,0.833333333,0.9,0.8,1,1,1,0.8, , ,0.916666667,6,0.098319208,0.966666667,0.866666667,0.057735027,0.115470054,1.115384615,3,3
35,Hypochaeris glabra,0.864864865,0.833333333,0.894736842,0.6,1,1,1,1,0.6,0.8,1,0.875,8,0.183225076,0.85,0.9,0.191485422,0.2,0.944444444,4,4
66,Velezia rigida,0.826923077,0.92,0.740740741,1,0.6,1,0.714285714,0.8,1,0.8,0.8,0.839285714,8,0.148804762,0.9,0.778571429,0.115470054,0.168829504,1.155963303,4,4
67,Vicia villosa,0.825,0.8,0.85,0.4,0.8,1,1,0.8,1,1,0.6,0.825,8,0.225198325,0.8,0.85,0.282842712,0.191485422,0.941176471,4,4
69,Vulpia microstachys,0.815789474,0.9,0.722222222,1,0.8,0.8,0.666666667,0.8,0.8,1,0.6,0.808333333,8,0.140011337,0.9,0.716666667,0.115470054,0.1,1.255813953,4,4
49,Nassella pulchra,0.8,0.875,0.75,0.8, , ,0.8, ,0.6,1,1,0.84,5,0.167332005,0.9,0.8,0.141421356,0.2,1.125,2,3
13,Centaurea Solstistalis,0.8,0.85,0.75,0.8,0.6,0.8,0.8,1,0.8,0.8,0.8,0.8,8,0.106904497,0.85,0.75,0.1,0.1,1.133333333,4,4
19,Colinsia sparsiflora,0.714285714,0.736842105,0.6875,1,0.5,1,1,1,0.4,0,1,0.7375,8,0.38890873,0.75,0.725,0.5,0.320156212,1.034482759,4,4
5,Athysanus pusillus,0.7,0.6,0.8,0.8,1,0.8,1,0.2,0.4,0.6,0.8,0.7,8,0.282842712,0.6,0.8,0.282842712,0.282842712,0.75,4,4
26,Euphorbia crenulata,0.7,0.8,0.6, ,0.6,0.8, , , , , ,0.7,2,0.141421356,0.8,0.6,#DIV/0!,#DIV/0!,1.333333333,1,1
53,Plantago erecta,0.692307692,0.631578947,0.75,0.4,0.6,1,0.8,1,1,0.2,0.6,0.7,8,0.302371578,0.65,0.75,0.412310563,0.191485422,0.866666667,4,4
36,Lactuca serriola,0.65,0.4,0.9,0.2,1,0.4,1,0.8,1,0.2,0.6,0.65,8,0.350509833,0.4,0.9,0.282842712,0.2,0.444444444,4,4
