"Line","habitat","watering","fertilization","WFtreatment","Plot","species_code","relcover"
"2","Harshserp","unwatered","unfertilized","C","16","Agoseris",0
"2","Harshserp","unwatered","unfertilized","C","16","Agohet",0
"2","Harshserp","unwatered","unfertilized","C","16","Allfal",0
"2","Harshserp","unwatered","unfertilized","C","16","Allamp",0
"2","Harshserp","unwatered","unfertilized","C","16","Ancfil",0
"2","Harshserp","unwatered","unfertilized","C","16","Astbre",0
"2","Harshserp","unwatered","unfertilized","C","16","Astgam",0
"2","Harshserp","unwatered","unfertilized","C","16","Astragalussp",0
"2","Harshserp","unwatered","unfertilized","C","16","Athpus",0
"2","Harshserp","unwatered","unfertilized","C","16","Avefat",10
"2","Harshserp","unwatered","unfertilized","C","16","Brodia",0
"2","Harshserp","unwatered","unfertilized","C","16","Brohor",3
"2","Harshserp","unwatered","unfertilized","C","16","Bromad",18
"2","Harshserp","unwatered","unfertilized","C","16","Calcil",0
"2","Harshserp","unwatered","unfertilized","C","16","Calpau",1
"2","Harshserp","unwatered","unfertilized","C","16","Calsup",0
"2","Harshserp","unwatered","unfertilized","C","16","Camgra",0
"2","Harshserp","unwatered","unfertilized","C","16","Carpyc",0
"2","Harshserp","unwatered","unfertilized","C","16","Casatt",0
"2","Harshserp","unwatered","unfertilized","C","16","Casrub",0
"2","Harshserp","unwatered","unfertilized","C","16","Censol",0
"2","Harshserp","unwatered","unfertilized","C","16","Centri",0
"2","Harshserp","unwatered","unfertilized","C","16","Chagla",0
"2","Harshserp","unwatered","unfertilized","C","16","Chlpom",0
"2","Harshserp","unwatered","unfertilized","C","16","Chopol",0
"2","Harshserp","unwatered","unfertilized","C","16","Clarkiasp",2
"2","Harshserp","unwatered","unfertilized","C","16","Colspa",0
"2","Harshserp","unwatered","unfertilized","C","16","Cracon",0
"2","Harshserp","unwatered","unfertilized","C","16","Cryhis",0
"2","Harshserp","unwatered","unfertilized","C","16","Diccap",0
"2","Harshserp","unwatered","unfertilized","C","16","Elyely",0
"2","Harshserp","unwatered","unfertilized","C","16","Epibra",0
"2","Harshserp","unwatered","unfertilized","C","16","Epilobiumsp",0
"2","Harshserp","unwatered","unfertilized","C","16","Ereset",0
"2","Harshserp","unwatered","unfertilized","C","16","Eriogonumsp",0
"2","Harshserp","unwatered","unfertilized","C","16","Erinud",0
"2","Harshserp","unwatered","unfertilized","C","16","Erilan",0
"2","Harshserp","unwatered","unfertilized","C","16","Erivim",0
"2","Harshserp","unwatered","unfertilized","C","16","Erobra",0
"2","Harshserp","unwatered","unfertilized","C","16","Erocic",5
"2","Harshserp","unwatered","unfertilized","C","16","Eupcre",0
"2","Harshserp","unwatered","unfertilized","C","16","Filcal",0
"2","Harshserp","unwatered","unfertilized","C","16","Fripur",0
"2","Harshserp","unwatered","unfertilized","C","16","Galiumsp",0
"2","Harshserp","unwatered","unfertilized","C","16","Gilcap",0
"2","Harshserp","unwatered","unfertilized","C","16","Giltri",2
"2","Harshserp","unwatered","unfertilized","C","16","Hemcon",1
"2","Harshserp","unwatered","unfertilized","C","16","Holvir",0
"2","Harshserp","unwatered","unfertilized","C","16","Hypgla",0
"2","Harshserp","unwatered","unfertilized","C","16","Lacser",0
"2","Harshserp","unwatered","unfertilized","C","16","Lagmin",0
"2","Harshserp","unwatered","unfertilized","C","16","Lascal",0
"2","Harshserp","unwatered","unfertilized","C","16","Lepnit",0
"2","Harshserp","unwatered","unfertilized","C","16","Linbic",0
"2","Harshserp","unwatered","unfertilized","C","16","Lindic",0
"2","Harshserp","unwatered","unfertilized","C","16","Linjep",0
"2","Harshserp","unwatered","unfertilized","C","16","Lolmul",0
"2","Harshserp","unwatered","unfertilized","C","16","Lommar",0
"2","Harshserp","unwatered","unfertilized","C","16","Lothum",0
"2","Harshserp","unwatered","unfertilized","C","16","Lotwra",0
"2","Harshserp","unwatered","unfertilized","C","16","Lupbicnan",0
"2","Harshserp","unwatered","unfertilized","C","16","Lupinussp",0
"2","Harshserp","unwatered","unfertilized","C","16","Miccal",0
"2","Harshserp","unwatered","unfertilized","C","16","Micdou",0
"2","Harshserp","unwatered","unfertilized","C","16","Mimdou",0
"2","Harshserp","unwatered","unfertilized","C","16","Naspul",0
"2","Harshserp","unwatered","unfertilized","C","16","Navjep",0
"2","Harshserp","unwatered","unfertilized","C","16","Petpro",0
"2","Harshserp","unwatered","unfertilized","C","16","Phlgra",0
"2","Harshserp","unwatered","unfertilized","C","16","Plaere",2
"2","Harshserp","unwatered","unfertilized","C","16","Poasec",0
"2","Harshserp","unwatered","unfertilized","C","16","Rancalocc",0
"2","Harshserp","unwatered","unfertilized","C","16","Riglep",0
"2","Harshserp","unwatered","unfertilized","C","16","Siddip",0
"2","Harshserp","unwatered","unfertilized","C","16","Silgal",0
"2","Harshserp","unwatered","unfertilized","C","16","Stenit",1
"2","Harshserp","unwatered","unfertilized","C","16","Taecap",3
"2","Harshserp","unwatered","unfertilized","C","16","Thinleavedliliaceae",0
"2","Harshserp","unwatered","unfertilized","C","16","Thycur",0
"2","Harshserp","unwatered","unfertilized","C","16","Torarv",0
"2","Harshserp","unwatered","unfertilized","C","16","Trialb",0
"2","Harshserp","unwatered","unfertilized","C","16","Trifoliumsp",0
"2","Harshserp","unwatered","unfertilized","C","16","Trifuc",0
"2","Harshserp","unwatered","unfertilized","C","16","Trihir",0
"2","Harshserp","unwatered","unfertilized","C","16","Trilax",0
"2","Harshserp","unwatered","unfertilized","C","16","Triwil",0
"2","Harshserp","unwatered","unfertilized","C","16","Urolin",1
"2","Harshserp","unwatered","unfertilized","C","16","Velrig",0
"2","Harshserp","unwatered","unfertilized","C","16","Vicvil",0
"2","Harshserp","unwatered","unfertilized","C","16","Viodou",0
"2","Harshserp","unwatered","unfertilized","C","16","Vulmic",1
"2","Harshserp","unwatered","unfertilized","C","16","Vulmyu",20
"2","Harshserp","unwatered","unfertilized","C","16","Vulpiasp",0
"2","Harshserp","unwatered","unfertilized","C","16","Zigfre",0
"2","Harshserp","unwatered","unfertilized","C","16","Tribifgra",0
"2","Harshserp","unwatered","unfertilized","C","16","Amsmen",0
"2","Harshserp","unwatered","unfertilized","C","16","Anaarv",0
"2","Harshserp","unwatered","unfertilized","C","16","Claexi",0
"2","Harshserp","unwatered","unfertilized","C","16","Cynech",0
"2","Harshserp","unwatered","unfertilized","C","16","Draver",0
"2","Harshserp","unwatered","unfertilized","C","16","Epicil",0
"2","Harshserp","unwatered","unfertilized","C","16","Filgal",118
"2","Harshserp","unwatered","unfertilized","C","16","Gasven",0
"2","Harshserp","unwatered","unfertilized","C","16","Hesmic",0
"2","Harshserp","unwatered","unfertilized","C","16","Jumbuf",0
"2","Harshserp","unwatered","unfertilized","C","16","Melcal",0
"2","Harshserp","unwatered","unfertilized","C","16","Mimgut",0
"2","Harshserp","unwatered","unfertilized","C","16","Mindou",0
"2","Harshserp","unwatered","unfertilized","C","16","Plecil",0
"2","Harshserp","unwatered","unfertilized","C","16","Pselut",0
"2","Harshserp","unwatered","unfertilized","C","16","Sagape",0
"2","Harshserp","unwatered","unfertilized","C","16","Senvul",1
"2","Harshserp","unwatered","unfertilized","C","16","Sisbel",0
"2","Harshserp","unwatered","unfertilized","C","16","Tricil",0
"2","Harshserp","unwatered","unfertilized","C","16","Tridub",0
"2","Harshserp","unwatered","unfertilized","C","16","Trimic",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_A_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_1C_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_1D_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_2A_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_3_2018NA",0
"2","Harshserp","unwatered","unfertilized","C","16","UNK_forb_3A_2018NA",0
