IDnum,clean_code,Person,Date,Cross_zoom,PhotoZoom1_long_1,PhotoZoom1_long_2,PhotoZoom1_long_3,PhotoZoom1_long_4,PhotoZoom1_long_5,Ext_Zoom,cross_1,long_1,long_2,long_3,long_4,long_5,Notes
1,AGOHET,Mariel&Simone,7-Jun,8,3,4,4,5,3,,3,5,4,4,4,4,
2,ALLFAL,Mariel&Elise,24-May,3,3,4,3,4,3,,2,3,2,3,3,3,extra photo measurments
3,ANAARV,Mariel&Elise,17-May,8,7,4,6,6,7,,1,2,1,2,1,3,
4,ANCFIL,Simone,18-May,7,5,6,6,6,6,,3,2,2,2,2,3,
5,ATHPUS,Mariel&Simone,7-Jun,8,6,7,8,8,8,,1,1,1,2,2,1,
6,AVEFAT,Simond,11-Jan,6,2,2,2,2,2,,5,7,8,5,7,6,
7,BROELE,Mariel,10-May,4,3,3,3,3,3,,2,3,4,3,2,5,
8,BROHOR,Morgan,25-Jan,4,3,2,3,3,2,,0.3,0.3,0.2,0.2,0.2,0.2,
9,BROMAD,Simone,15-Nov,8,1,1,1,1,1,,2,1,1,1.5,1,1,
10,CALCIL,Kate,7-Feb,6,5,5,4,4,6,,1.5,3.5,3,2,3,2.5,
11,CALPAU,Mariel,1-Jun,7,4,4,3,3,4,,5,4,4,5,6,6,
12,CASATT,Kate,24-Jan,8,6,6,6,6,5,,1,2,1,0.75,1,1,
13,CENSOL,Morgan,12-Jan,6,5,5,5,5,6,,5,5,6,5,4,6,
14,CENTRI,Kate,24-Jan,8,8,8,8,8,7,,1,0.5,1,0.5,1,0.75,
15,CHAGLA,Simone,30-Jan,8,3,3,4,3,4,,2,1,1.5,1,1,1,
16,CHLPOM,Mariel,10-May,2,2,2,3,3,2,,6,3,5,7,3,5,
17,CLAGRA,Mariel&Simone,18-May,7,6,6,6,6,6,,2,2,2,2,2,2,
18,CLAPUR,Mariel,11-May,NA,6,6,6,6,6,,NA,2,2,2,3,2,
19,COLSPA,Mariel,31-May,5,4,4,4,5,4,,2,2,1,2,2,1,
19,COLSPA,Kate,24-Jan,3,3,3,3,3,3,,0.75,0.75,1,0.75,0.5,0.75,
20,CRYHIS,Mariel&Simone,18-May,8,5,5,6,7,6,,2,6,5,3,2,7,
21,DICCAP,Mariel&Elise,16-Sep,7,3,3,4,3,4,,3,2,2,2,1,2,
22,ELYELY,Simone,30-Jan,7,2,2,4,2,NA,,2,2,3,2,3,NA,
23,double_EPIBRA,Mariel&Elise,26-Apr,NA,7,7,7,7,7,,NA,2,2,1,1,2,Cross sectional
23,EPIBRA,Berit&Simone,23-Jan,8,6,6,6,6,6,,1,1,1.5,1,1,1,preferred
24,ERINUD,Mariel&Simone,7-Jun,7,4,5,5,4,4,,2,3,2,2,2,2,
25,ERILAN,Mariel,11-May,NA,4,5,5,5,5,,NA,12,3,5,3,8,
26,EUPCRE,Kate,7-Feb,4,5,3,4,4,3,,4,3,2.5,3.5,2,3.5,
27,FILCAL,Kate,8-Feb,8,8,8,8,NA,NA,,0.75,0.5,0.5,0.25,NA,NA,
28,FRIPUR,Mariel&Elise,9-Sep,4,2,2,2,2,2,,1,1,1,1,0.5,1,
29,GALAPA,Morgan,26-Jan,6,6,6,7,7,7,,0.25,0.4,0.25,0.2,0.2,0.2,
29,GALAPA,Carly,6-Feb,8,7,7,5,5,5,,1,3,1.5,1.8,2,1.3,
30,GALMUR,Carly,6-Feb,8,7,5,7,8,8,,1,1,0.8,1.2,1,1,
31,GILCAP,Mariel&Simone,7-Jun,6,6,6,6,6,5,,4,4,3,4,3,3,
32,GILTRI,Morgan,26-Jan,7,6,7,7,6,7,,0.3,0.4,0.4,0.2,0.3,0.2,
33,HEMCON,Mariel,31-May,7,4,4,4,5,5,,1,1,1,2,1,1,
34,HOLVIR,Mariel,3-May,5,4,4,3,3,3,,7,10,11,10,3,10,
35,HYPGLA,Mariel,10-May,NA,3,3,3,3,3,,NA,4,3,4,4,3,
36,LACSER,Berit&Simone,23-Jan,8,4,4,4,4,4,,0.5,0.5,0.75,0.5,1,0.5,
37,LAGMIN,Simone,23-Jan,8,5,4,5,5,5,,1,2,1,1,1,1,
38,LASCAL,Simone,1-Feb,8,4,4,4,4,4,,1.5,1,0.75,1,1,1,
39,LEPNIT,Mariel&Simone,7-Jun,8,6,6,5,6,6,,2,3,3,4,3,2,
40,LINDIC,Mariel,25-May,8,8,8,8,8,8,,2,1,2,1,1,2,
41,LOLMUL,Kate&Carly,23-Jan,5,2,3,3,3,3,,2,3,2,3,2,2,
42,LOMMAR,Mariel,15-Jun,3,2,2,1.5,1.5,2,,4,3,5,5,5,5,
43,LOTHUM,Mariel,15-Jun,5,5,5,5,5,5,,3,3,2,3,2,3,
44,MEDPOL,Kate,24-Jan,5,3,3,3,3,3,,7,3,2.5,3,4,2,
44,MEDPOL,Morgan,1-Feb,3,3,3,4,4,4,,0.2,0.5,0.3,0.2,0.3,0.3,
45,MICCAL,Kate,7-Feb,4,3,3,4,4,4,,6.5,1,4.5,7,7,7,
46,MICDOU,Mariel&Elise,16-Sep,8,2,2,2,2,2,,10,5,5,8,9,9,
47,MIMDOU,Kate,8-Feb,7,8,8,7,6,8,,0.75,0.5,0.75,1,0.75,0.5,
48,MIMGUT,Mariel,17-May,8,8,8,8,8,8,,1,1,2,2,1,1,
49,NASPUL,Simone,8-Feb,5,2,3,2,2,2,,0.75,1,1,0.75,0.75,1,
50,NAVJEP,Mariel,4-May,7,6,5,5,6,6,,2,3,2,3,4,2,
51,double_PETPRO,Mariel&Simone,27-Apr,8,8,7,8,7,7,,10,3,10,7,2,10,Flag
51,PETPRO,Kate,7-Feb,7,5,6,5,5,6,,1.5,0.75,1,1,1,1,prefered
52,PHLGRA,Simone,6-Feb,6,5,4,5,5,5,,1,0.5,1.5,1.5,1,1.5,
53,PLAERE,Mariel&Simone,25-May,6,5,5,5,4,5,,5,5,5,5,6,5,
54,RIGLEP,Mariel&Simone,27-Apr,8,2,2,2,1.5,3,,1,2,1,2,2,2,
55,SIDDIP,Mariel&Elise,9-Sep,3,4,3,3,3,3,,1,1,1,1,1,1,
56,SILGAL,Mariel&Elise,16-Sep,8,8,8,8,8,8,,2,2,2,1,2,2,
57,SISBEL,Mariel,4-May,NA,4,4,4,3,3,,NA,6,6,5,5,5,All cross sectionals
58,TAECAP,Carly,6-Feb,5,2,2,2,2,2,,2,2,2,2,1.3,1.8,
58,TAECAP,Simone,6-Feb,7,2,2,2,2,2,,3,2,3,2,2,3,
59,THYCUR,Mariel,1-Jun,7,6,7,6,6,7,,1,2,2,1,1,1,
59,THYCUR,Kate,7-Feb,4,3,3,3,3,4,,2,1.5,1.5,2.5,2,1.75,
60,double_TRIALB,Mariel&Elise,26-Apr,NA,6,6,6,6,6,,NA,3,3,2,3,3,Cross sectional
60,TRIALB,Simone,25-Jan,6,5,5,6,5,5,,2,2,3,3,2,2,preferred
61,TRIFUC,Mariel&Elise,9-Sep,4,3,3,3,3,3,,2,2,2,1,1,1,
62,TRIHIR,Mariel,3-May,NA,5,4,4,4,4,,NA,6,8,6,6,5,
62,TRIHIR,Carly,30-Jan,3,2,3,2,3,3,,4,5,3,4,4,4,
63,TRIWIL,Mariel&Elise,9-Sep,4,4,4,4,4,4,,2,1,1,1,0.5,0.5,
64,TRIGRA,Carly,30-Jan,5,3,3,3,3,4,,2,2,2,2,2,2,
