Idnum,Species,starch,starch2,mucilage
1,Agoseris heterophylla,0,NA,0
2,Allium falcifolium,0,NA,0
3,Anagallis arvensis,0,0,0
4,Ancistrocarphus filagineus,0,NA,0
5,Athysanus pusillus,0,0,0
6,Avena fatua,1,NA,0
7,Brodiaea elegans,1,1,0
8,Bromus hordeaceus,1,1,0
9,Bromus madritensis,1,1,0
10,Calandrinia cilata,1,NA,0
11,Calycadenia pauciflora,0,0,0
12,Castilleja attenuata,0,0,0
13,Centaurea Solstistalis,0,0,0
14,Centri,0,NA,0
15,Chaenactis glabriuscula,0,NA,0
16,Chlorogalum pomeridianum,0,NA,0
17,Clarkia gracilis,0,NA,0
18,Clarkia purpurea,0,0,0
19,Colinsia sparsiflora,0,0,0
20,Cryptantha hispidula,0,NA,0
21,Dichelostemma capitatum,1,NA,0
22,Elymus elymoides,1,NA,0
23,Epilobium brachycarpum,0,NA,1
24,Erigonum nudum,1,NA,0
25,Eriophyllum lanatum,0,0,0
26,Euphorbia crenulata,0,0,0
27,Filago californica,0,0,0
28,Fritillaria purdyi,0,NA,0
29,Galium aparine,0,NA,0
30,Galium murale,0,NA,0
31,Gilia capitata,0,NA,1
32,Gilia tricolor,0,NA,1
33,Hemizonia congesta,0,0,0
34,Holocarpa virgata,0,0,0
35,Hypochaeris glabra,0,NA,0
36,Lactuca serriola,0,0,0
37,Lagophylla minor,0,0,0
38,Lasthenia californica,0,NA,0
39,Lepidium,0,NA,1
40,Linanthus dichotomus,0,0,0
41,Lolium multiflorum,1,1,0
42,Lomatium marginatum,0,0,0
43,Lotus humistratus,0,0,0
44,Medicago polymorpha,0,0,0
45,Micropus californicus,0,0,0
46,Microseris douglasii,NA,NA,0
47,Mimulus douglassi,0,0,0
48,Mimulus guttatus,0,0,0
49,Nassella pulchra,NA,NA,0
50,Navarretia jepsonii,0,0,0
51,Petrohagia prolifera,1,1,0
52,Phlox gracilis,1,1,1
53,Plantago erecta,0,0,1
54,Rigiopappus leptocladus,0,0,0
55,Sidalcea diploscypha,0,0,1
56,Silene gallica,1,1,0
57,Sisyrinchium bellum,0,0,0
58,Taeniatherum caput-medusae,1,1,0
59,Thysanocarpus curvipes,0,0,0
60,Trifolium albopurpureum,0,0,0
61,Trifolium fucatum,0,0,0
62,Trifolium hirtum,0,0,0
63,Trifolium willdenovii,0,0,0
64,Trifolium gracilentum,0,0,0
65,Uropappus lindeye,0,0,0
66,Velezia rigida,0,0,0
67,Vicia villosa,0,0,0
68,Viola douglasii,0,0,0
69,Vulpia microstachys,1,1,0
70,Vulpia myuros,1,1,0
71,Zigadenus fremontii,1,1,0
