sp #,Species,wet_time,number_seeds,wet_mass,Letter_group,Notes,Start date,End date
1,Agoseris heterophylla,10:28,10,5.836,B,,,
2,Allium falcifolium,10:31,10,59.602,B,,,
3,Anagallis arvensis,10:33,10,5.09,B,,,
4,Ancistrocarphus filagineus,10:36,10,8.016,B,,,
5,Athysanus pusillus,10:39,10,8.533,B,,,
6,Avena fatua,10:41,10,153.165,B,,,
7,Brodiaea elegans,10:44,10,33.566,B,,,
8,Bromus hordeaceus,10:48,10,26.43,B,,,
9,Bromus madritensis,10:50,10,20.746,B,,,
10,Calandrinia cilata,10:52,10,5.266,B,,,
11,Calycadenia pauciflora,10:55,10,22.521,B,,,
12,Castilleja attenuata,10:59,24,4.894,B,,,
13,Centaurea Solstistalis,11:00,10,20.708,B,,,
14,Centri,11:03,25,1.117,B,,,
15,Chaenactis glabriuscula,11:04,10,9.35,B,,,
16,Chlorogalum pomeridianum,11:07,10,125.074,B,,,
17,Clarkia gracilis,11:09,10,6.224,B,,,
18,Clarkia purpurea,11:12,10,5.419,B,,,
19,Colinsia sparsiflora,11:13,9,37.482,B,,,
20,Cryptantha hispidula,11:15,10,5.466,B,,,
21,Dichelostemma capitatum,11:17,10,18.072,B,,,
22,Elymus elymoides,11:19,10,37.98,B,,,
23,Epilobium brachycarpum,11:20,10,35.625,B,,,
24,Erigonum nudum,11:21,10,18.597,B,,,
25,Eriophyllum lanatum,11:23,9,3.194,B,,,
26,Euphorbia crenulata,11:25,5,6.761,B,,,
27,Filago californica,11:30,25,1.082,B,,,
28,Fritillaria purdyi,11:28,10,148.443,B,,,
29,Galium aparine,11:33,25,6.635,B,,,
30,Galium murale,11:35,25,7.321,B,,,
31,Gilia capitata,11:37,10,81.65,B,,,
32,Gilia tricolor,11:38,10,36.121,B,,,
33,Hemizonia congesta,11:40,10,17.239,B,,,
34,Holocarpa virgata,11:42,10,27.628,B,,,
35,Hypochaeris glabra,11:44,10,7.727,B,,,
36,Lactuca serriola,11:45,10,12.612,B,,,
37,Lagophylla minor,11:46,10,7.045,B,,,
38,Lasthenia californica,11:48,10,3.829,B,,,
39,Lepidium,11:50,10,257.504,B,,,
40,Linanthus dichotomus,11:52,10,4.259,B,,,
41,Lolium multiflorum,11:54,10,36.326,B,,,
42,Lomatium marginatum,11:56,10,157.111,B,,,
43,Lotus humistratus,11:59,10,36.188,B,,,
44,Medicago polymorpha,12:01,10,31.781,B,,,
