sp #,Species,wet_time,number_seeds,wet_mass,Letter_group,Notes,Start date,End date
1,Agoseris heterophylla,4:38,10,5.865,C,,,
2,Allium falcifolium,4:41,10,58.4,C,,,
3,Anagallis arvensis,4:43,10,5.84,C,,,
4,Ancistrocarphus filagineus,4:45,10,5.309,C,,,
5,Athysanus pusillus,4:48,10,5.995,C,,,
6,Avena fatua,4:52,10,182.315,C,,,
7,Brodiaea elegans,4:54,10,33.65,C,,,
8,Bromus hordeaceus,4:56,10,21.26,C,,,
9,Bromus madritensis,4:59,10,25.532,C,,,
10,Calandrinia cilata,5:04,9,4.049,C,,,
11,Calycadenia pauciflora,5:07,26,22.955,C,,,
12,Castilleja attenuata,5:12,10,3.801,C,,,
13,Centaurea Solstistalis,5:18,30,18.631,C,,,
14,Centri,5:22,10,0.964,C,,,
15,Chaenactis glabriuscula,5:25,101,14.768,C,,,
16,Chlorogalum pomeridianum,5:27,10,133.542,C,,,
17,Clarkia gracilis,5:51,10,35.016,C,,,
18,Clarkia purpurea,5:33,10,4.39,C,,,
19,Colinsia sparsiflora,5:53,10,64.392,C,,,
20,Cryptantha hispidula,5:57,10,5.161,C,,,
21,Dichelostemma capitatum,,,,C,,,
22,Elymus elymoides,,,,C,,,
23,Epilobium brachycarpum,,,,C,,,
24,Erigonum nudum,,,,C,,,
25,Eriophyllum lanatum,,,,C,,,
26,Euphorbia crenulata,,,,C,,,
27,Filago californica,,,,C,,,
28,Fritillaria purdyi,,,,C,,,
29,Galium aparine,,,,C,,,
30,Galium murale,,,,C,,,
31,Gilia capitata,,,,C,,,
32,Gilia tricolor,,,,C,,,
33,Hemizonia congesta,,,,C,,,
34,Holocarpa virgata,,,,C,,,
35,Hypochaeris glabra,,,,C,,,
36,Lactuca serriola,,,,C,,,
37,Lagophylla minor,,,,C,,,
38,Lasthenia californica,,,,C,,,
39,Lepidium,,,,C,,,
40,Linanthus dichotomus,,,,C,,,
41,Lolium multiflorum,,,,C,,,
42,Lomatium marginatum,,,,C,,,
43,Lotus humistratus,,,,C,,,
44,Medicago polymorpha,,,,C,,,
45,Micropus californicus,,,,C,,,
46,Microseris douglasii,,,,C,,,
47,Mimulus douglassi,,,,C,,,
48,Mimulus guttatus,,,,C,,,
49,Nassella pulchra,,,,C,,,
50,Navarretia jepsonii,,,,C,,,
51,Petrohagia prolifera,,,,C,,,
52,Phlox gracilis,,,,C,,,
53,Plantago erecta,,,,C,,,
54,Rigiopappus leptocladus,,,,C,,,
55,Sidalcea diploscypha,,,,C,,,
56,Silene gallica,,,,C,,,
57,Sisyrinchium bellum,,,,C,,,
58,Taeniatherum caput-medusae,,,,C,,,
59,Thysanocarpus curvipes,,,,C,,,
60,Trifolium albopurpureum,,,,C,,,
61,Trifolium fucatum,,,,C,,,
62,Trifolium hirtum,,,,C,,,
63,Trifolium willdenovii,,,,C,,,
64,Trifolium gracilentum,,,,C,,,
65,Uropappus lindeye,,,,C,,,
66,Velezia rigida,,,,C,,,
67,Vicia villosa,,,,C,,,
68,Viola douglasii,,,,C,,,
69,Vulpia microstachys,,,,C,,,
70,Vulpia myuros,,,,C,,,
71,Zigadenus fremontii,,,,C,,,
