sp #,Species,wet_time,number_seeds,wet_mass,Letter_group,Notes,Start date,End date
1,Agoseris heterophylla,4:22,11,7.311,D,,,
2,Allium falcifolium,4:24,10,53.704,D,,,
3,Anagallis arvensis,4:26,10,5.523,D,,,
4,Ancistrocarphus filagineus,4:28,10,6.875,D,,,
5,Athysanus pusillus,4:30,10,5.457,D,,,
6,Avena fatua,4:31,10,184.231,D,,,
7,Brodiaea elegans,4:33,10,34.721,D,,,
8,Bromus hordeaceus,4:34,10,25.045,D,,,
9,Bromus madritensis,4:37,10,23.352,D,,,
10,Calandrinia cilata,4:39,10,3.67,D,,,
11,Calycadenia pauciflora,4:40,10,24.256,D,,,
12,Castilleja attenuata,4:45,10,3.792,D,,,
13,Centaurea Solstistalis,4:48,10,19.83,D,,,
14,Centri,4:55,34,1.014,D,,,
15,Chaenactis glabriuscula,4:59,10,10.955,D,,,
16,Chlorogalum pomeridianum,5:01,10,135.362,D,,,
17,Clarkia gracilis,5:03,10,5.89,D,1 germ ,,
18,Clarkia purpurea,5:08,10,5.113,D,,,
19,Colinsia sparsiflora,5:05,10,40.717,D,,,
20,Cryptantha hispidula,5:09,10,5.118,D,,,
21,Dichelostemma capitatum,5:11,7,13.34,D,,,
22,Elymus elymoides,,,,D,,,
23,Epilobium brachycarpum,5:13,10,27.781,D,,,
24,Erigonum nudum,5:14,10,14.876,D,,,
25,Eriophyllum lanatum,5:16,10,3.112,D,,,
26,Euphorbia crenulata,,,,D,,,
27,Filago californica,5:21,23,0.823,D,,,
28,Fritillaria purdyi,5:18,10,126.59,D,,,
29,Galium aparine,5:23,25,6.11,D,,,
30,Galium murale,5:26,25,6.845,D,,,
31,Gilia capitata,5:28,10,86.821,D,,,
32,Gilia tricolor,5:29,10,30.448,D,,,
33,Hemizonia congesta,5:31,10,20.607,D,,,
34,Holocarpa virgata,5:33,10,35.13,D,,,
35,Hypochaeris glabra,5:35,10,7.372,D,,,
36,Lactuca serriola,,10,13.226,D,,,
37,Lagophylla minor,5:37,9,5.419,D,,,
38,Lasthenia californica,,10,4.163,D,,,
39,Lepidium,5:41,10,129.557,D,,,
40,Linanthus dichotomus,,10,3.822,D,,,
41,Lolium multiflorum,5:44,10,30.803,D,,,
42,Lomatium marginatum,,10,136.196,D,,,
43,Lotus humistratus,5:47,10,31.601,D,,,
44,Medicago polymorpha,5:49,10,46.414,D,,,
45,Micropus californicus,5:50,10,16.397,D,,,
46,Microseris douglasii,5:53,9,35.922,D,,,
47,Mimulus douglassi,5:52,5,35.304,D,,,
48,Mimulus guttatus,5:55,25,1.005,D,,,
49,Nassella pulchra,5:53,5,30.822,D,,,
50,Navarretia jepsonii,5:57,10,15.227,D,,,
51,Petrohagia prolifera,5:59,10,3.79,D,,,
52,Phlox gracilis,,10,124.31,D,,,
53,Plantago erecta,6:03,10,278.713,D,,,
54,Rigiopappus leptocladus,6:05,10,12.199,D,,,
55,Sidalcea diploscypha,6:08,10,158.632,D,,,
56,Silene gallica,6:38,25,10.16,D,,,
57,Sisyrinchium bellum,6:10,10,54.62,D,,,
58,Taeniatherum caput-medusae,6:15,10,44.914,D,,,
59,Thysanocarpus curvipes,,,,D,,,
60,Trifolium albopurpureum,6:23,10,30.26,D,,,
61,Trifolium fucatum,6:26,10,76.196,D,,,
62,Trifolium hirtum,6:27,10,32.658,D,,,
63,Trifolium willdenovii,6:29,10,40.265,D,,,
64,Trifolium gracilentum,6:33,10,13.586,D,,,
65,Uropappus lindeye,6:43,10,40.274,D,,,
66,Velezia rigida,6:40,25,5.903,D,,,
67,Vicia villosa,6:46,10,422.601,D,,,
68,Viola douglasii,6:48,6,44.12,D,,,
69,Vulpia microstachys,6:52,10,16.274,D,,,
70,Vulpia myuros,6:54,10,6.452,D,,,
71,Zigadenus fremontii,6:56,28 (?),11.269,D,,,
