sp #,Species,wet_time,number_seeds,wet_mass,Letter_group,Notes,Start date,End date
1,Agoseris heterophylla,3:38,10,6.512,E,Wet start time for sheet is 10/10/22 2:30pm,,
2,Allium falcifolium,3:36,10,54.098,E,,,
3,Anagallis arvensis,5:33,10,5.653,E,,,
4,Ancistrocarphus filagineus,5:27,9,4.636,E,,,
5,Athysanus pusillus,5:26,10,7.449,E,,,
6,Avena fatua,5:24,10,184.308,E,,,
7,Brodiaea elegans,5:23,10,40.035,E,,,
8,Bromus hordeaceus,5:21,10,26.432,E,,,
9,Bromus madritensis,5:18,9,24.258,E,,,
10,Calandrinia cilata,5:17,10,4.448,E,,,
11,Calycadenia pauciflora,5:13,10,26.773,E,,,
12,Castilleja attenuata,5:07,24,3.482,E,,,
13,Centaurea Solstistalis,5:00,10,21.988,E,,,
14,Centri,5:11,28,0.811,E,,,
15,Chaenactis glabriuscula,4:57,10,13.138,E,,,
16,Chlorogalum pomeridianum,4:56,11,136.048,E,,,
17,Clarkia gracilis,4:53,10,6.258,E,,,
18,Clarkia purpurea,4:52,10,5.199,E,,,
19,Colinsia sparsiflora,4:49,10,37.487,E,,,
20,Cryptantha hispidula,4:48,10,4.855,E,,,
21,Dichelostemma capitatum,4:45,10,17.786,E,,,
22,Elymus elymoides,4:44,5,25.757,E,"5 seeds, and 5 separate seed coats or fruit coats present that do not have an embryo",,
23,Epilobium brachycarpum,4:39,10,27.577,E,,,
24,Erigonum nudum,4:37,10,15.77,E,,,
25,Eriophyllum lanatum,4:36,10,24.79,E,,,
26,Euphorbia crenulata,NA,NA,NA,E,,,
27,Filago californica,4:35,25,1.078,E,,,
28,Fritillaria purdyi,4:33,10,152.865,E,,,
29,Galium aparine,4:31,25,7.062,E,,,
30,Galium murale,4:30,25,6.582,E,,,
31,Gilia capitata,4:27,10,93.535,E,,,
32,Gilia tricolor,4:25,10,23.774,E,,,
33,Hemizonia congesta,4:23,10,19.125,E,,,
34,Holocarpa virgata,4:21,10,31.487,E,,,
35,Hypochaeris glabra,4:19,10,8.655,E,,,
36,Lactuca serriola,4:17,10,13.626,E,,,
37,Lagophylla minor,4:16,10,5.672,E,,,
38,Lasthenia californica,4:09,10,3.361,E,,,
39,Lepidium,4:11,10,122.072,E,,,
40,Linanthus dichotomus,4:08,10,3.841,E,,,
41,Lolium multiflorum,4:03,10,32.058,E,,,
42,Lomatium marginatum,4:01,10,140.765,E,,,
43,Lotus humistratus,4:00,10,42.887,E,,,
44,Medicago polymorpha,4:00,10,42.776,E,,,
45,Micropus californicus,3:59,10,12.96,E,,,
46,Microseris douglasii,3:56,10,34.525,E,,,
47,Mimulus douglassi,NA,NA,NA,E,,,
48,Mimulus guttatus,3:55,25,0.747,E,,,
49,Nassella pulchra,3:48,5,26.288,E,,,
50,Navarretia jepsonii,3:48,10,12.638,E,,,
51,Petrohagia prolifera,3:49,11,3.295,E,,,
52,Phlox gracilis,3:45,10,151.746,E,,,
53,Plantago erecta,3:44,10,281.062,E,,,
54,Rigiopappus leptocladus,3:43,10,10.904,E,,,
55,Sidalcea diploscypha,3:41,10,214.985,E,,,
56,Silene gallica,NA,NA,NA,E,,,
57,Sisyrinchium bellum,3:40,10,54.709,E,,,
58,Taeniatherum caput-medusae,,10,40.6,E,,,
59,Thysanocarpus curvipes,NA,NA,NA,E,,,
60,Trifolium albopurpureum,3:37,9,19.896,E,1 seed lost while weighing wet,,
61,Trifolium fucatum,3:34,10,53.235,E,,,
62,Trifolium hirtum,3:32,10,32.021,E,,,
63,Trifolium willdenovii,3:30,10,36.182,E,,,
64,Trifolium gracilentum,3:23,10,15.286,E,,,
65,Uropappus lindeye,3:21,10,40.484,E,,,
66,Velezia rigida,3:20,25,6.117,E,,,
67,Vicia villosa,3:18,10,488.433,E,,,
68,Viola douglasii,NA,NA,NA,E,,,
69,Vulpia microstachys,3:17,10,16.801,E,,,
70,Vulpia myuros,3:15,10,5.577,E,,,
71,Zigadenus fremontii,3:09,28,10.907,E,,,
27,Filcal,3:27,25,0.842,D2,,,
