sp #,Species,Rep,dry mass,Notes,,,,,,,,,,,,,
1,Agoseris heterophylla,A,2.974,,,,,,,,,,,,,,
1,Agoseris heterophylla,B,2.889,,,,,,,,,,,,,,
1,Agoseris heterophylla,C,3.072,,,,,,,,,,,,,,
1,Agoseris heterophylla,D,3.386,,,,,,,,,,,,,,
1,Agoseris heterophylla,E,2.939,,,,,,,,,,,,,,
2,Allium falcifolium,A,40.341,,,,,,,,,,,,,,
2,Allium falcifolium,B,43.333,,,,,,,,,,,,,,
2,Allium falcifolium,C,40.804,,,,,,,,,,,,,,
2,Allium falcifolium,D,37.239,,,,,,,,,,,,,,
2,Allium falcifolium,E,41.499,,,,,,,,,,,,,,
3,Anagallis arvensis,A,4.571,,,,,,,,,,,,,,
3,Anagallis arvensis,B,3.905,,,,,,,,,,,,,,
3,Anagallis arvensis,C,4.528,,,,,,,,,,,,,,
3,Anagallis arvensis,D,4.278,,,,,,,,,,,,,,
3,Anagallis arvensis,E,4.347,,,,,,,,,,,,,,
4,Ancistrocarphus filagineus,A,4.163,,,,,,,,,,,,,,
4,Ancistrocarphus filagineus,B,4.24,,,,,,,,,,,,,,
4,Ancistrocarphus filagineus,C,3.104,,,,,,,,,,,,,,
4,Ancistrocarphus filagineus,D,3.678,,,,,,,,,,,,,,
4,Ancistrocarphus filagineus,E,2.724,,,,,,,,,,,,,,
5,Athysanus pusillus,A,3.737,,,,,,,,,,,,,,
5,Athysanus pusillus,B,3.973,,,,,,,,,,,,,,
5,Athysanus pusillus,C,3.278,,,,,,,,,,,,,,
5,Athysanus pusillus,D,2.688,,,,,,,,,,,,,,
5,Athysanus pusillus,E,3.936,,,,,,,,,,,,,,
6,Avena fatua,A,116.671,,,,,,,,,,,,,,
6,Avena fatua,B,122.279,,,,,,,,,,,,,,
6,Avena fatua,C,144.036,,,,,,,,,,,,,,
6,Avena fatua,D,142.383,,,,,,,,,,,,,,
6,Avena fatua,E,142.858,,,,,,,,,,,,,,
7,Brodiaea elegans,A,32.802,,,,,,,,,,,,,,
7,Brodiaea elegans,B,26.054,,,,,,,,,,,,,,
7,Brodiaea elegans,C,22.688,,,,,,,,,,,,,,
7,Brodiaea elegans,D,25.185,,,,,,,,,,,,,,
7,Brodiaea elegans,E,26.781,,,,,,,,,,,,,,
8,Bromus hordeaceus,A,18.38,,,,,,,,,,,,,,
8,Bromus hordeaceus,B,17.602,,,,,,,,,,,,,,
8,Bromus hordeaceus,C,16.999,,,,,,,,,,,,,,
8,Bromus hordeaceus,D,16.718,,,,,,,,,,,,,,
8,Bromus hordeaceus,E,16.476,,,,,,,,,,,,,,
9,Bromus madritensis,A,12.663,,,,,,,,,,,,,,
9,Bromus madritensis,B,12.359,,,,,,,,,,,,,,
9,Bromus hordeaceus,C,14.215,,,,,,,,,,,,,,
9,Bromus madritensis,D,14.009,,,,,,,,,,,,,,
9,Bromus madritensis,E,13.047,,,,,,,,,,,,,,
10,Calandrinia cilata,A,3.502,,,,,,,,,,,,,,
10,Calandrinia cilata,B,4.018,,,,,,,,,,,,,,
10,Calandrinia cilata,C,3.248,,,,,,,,,,,,,,
