species,species_code,#_Seedpods,#_Seed_per_pod,Seedpod_mass_g,envelope_ID_motherfamily,Total#_seeds_weighed,total_seed_mass_g,comments,person,date
Gilia Capitata,Gilcap,NA,NA,NA,1,30,0.0922,NA,GM NG,20190201
Gilia Capitata,Gilcap,NA,NA,NA,2,29,0.0805,NA,GM NG,20190201
Gilia Capitata,Gilcap,NA,NA,NA,3,21,0.0888,NA,GM NG,20190202
Elymus Elymoides,Elyely,NA,NA,NA,1,1,0.0022,"discontinued, ask about locating other seeds",GM NG,20190128
Linanthus Dichotomus,Lindic,NA,NA,NA,1,27,0.0054,NA,GM NG,20190128
Linanthus Dichotomus,Lindic,NA,NA,NA,2,32,0.0079,NA,GM NG,20190128
Linanthus Dichotomus,Lindic,NA,NA,NA,3,66,0.012,NA,GM NG,20190128
Lolium multifloram,Lolmul,NA,NA,NA,1,17,0.0255,NA,GM NG,20190125
Lolium multifloram,Lolmul,NA,NA,NA,2,80,0.1884,NA,GM NG,20190125
Lolium multifloram,Lolmul,NA,NA,NA,3,68,0.1276,NA,GM NG,20190125
Vicia Villosa,Vicvil,NA,NA,NA,1,3,0.0898,NA,GM NG,20190118
Vicia Villosa,Vicvil,NA,NA,NA,2,3,0.0904,NA,GM NG,20190118
Vicia Villosa,Vicvil,NA,NA,NA,3,2,0.0669,NA,GM NG,20190118
Microseris douglasii,Micdou,NA,NA,NA,1,10,0.0415,NA,GM NG,20190118
Microseris douglasii,Micdou,NA,NA,NA,2,6,0.0227,NA,GM NG,20190118
Microseris douglasii,Micdou,NA,NA,NA,3,4,0.015,NA,GM NG,20190118
Holocarpa virgata,Holvir,NA,NA,NA,1,28,0.0656,NA,GM NG,20190118
Holocarpa virgata,Holvir,NA,NA,NA,2,28,0.0678,NA,GM NG,20190118
Holocarpa virgata,Holvir,NA,NA,NA,3,32,0.0642,NA,GM NG,20190118
Colinsia sparsiflora,Colspa,NA,NA,NA,1,26,0.0435,Research with Jeremy/Vanessa,GM NG,20181130
Colinsia sparsiflora,Colspa,NA,NA,NA,2,49,0.0803,NA,GM NG,20181130
Colinsia sparsiflora,Colspa,NA,NA,NA,3,74,0.0877,NA,GM NG,20181130
Plantago erecta,Plaere,NA,NA,NA,1,11,0.0187,Susan site #9 5/16/16,GM NG,20181130
Plantago erecta,Plaere,NA,NA,NA,2,10,0.0185,Susan site #9 5/16/17,GM NG,20181130
Plantago erecta,Plaere,NA,NA,NA,3,10,0.0158,Susan site #9 5/16/18,GM NG,20181130
Lupinus microcarpus,Lupmic,NA,NA,NA,37,4,0.0626,Little Blue Ridge ,GM NG,20181130
Lupinus microcarpus,Lupmic,NA,NA,NA,45,0,0,Little Blue Ridge ,GM NG,20181130
Lupinus microcarpus,Lupmic,NA,NA,NA,40,2,0.032,Little Blue Ridge ,GM NG,NA
Lupinus microcarpus,Lupmic,NA,NA,NA,38,7,0.1642,Little Blue Ridge ,GM NG,NA
Clarkia gracilis,Clagra,NA,NA,NA,1,70,0.0351,Susan Site,GM NG,NA
Clarkia gracilis,Clagra,NA,NA,NA,2,19,0.0078,Susan Site,GM NG,NA
Clarkia gracilis,Clagra,NA,NA,NA,3,53,0.025,Susan Site,GM NG,NA
Lupinus microcarpus,Lupmic,NA,NA,NA,14,2,0.0415,1/24/18 AC,GM NG,20181005
Lupinus microcarpus,Lupmic,NA,NA,NA,8,1,0.012,NA,GM NG,20181005
Lupinus microcarpus,Lupmic,NA,NA,NA,7,1,0.0165,NA,GM NG,20181005
Lupinus microcarpus,Lupmic,NA,NA,NA,4,1,0.0201,NA,GM NG,20181005
Lupinus microcarpus,Lupmic,NA,NA,NA,17,1,0.01,NA,GM NG,20181005
Clarkia gracilis,Clagra,NA,NA,NA,1,46,0.198,NA,GM NG,20181005
Clarkia gracilis,Clagra,NA,NA,NA,2,9,0.0025,NA,GM NG,20181005
Clarkia gracilis,Clagra,NA,NA,NA,3,17,0.004,NA,GM NG,20181005
Clarkia gracilis,Clagra,NA,NA,NA,4,19,0.0068,NA,GM NG,20181005
Clarkia gracilis,Clagra,NA,NA,NA,5,29,0.0096,Data entry note: enter as Clarkia cracilis based on previous data sheets,NA,NA
Plantago erecta,Plaere,NA,NA,NA,1,13,0.025,Site north of plot 2_ Duplicate envelope ID,GM NG,20181019
Plantago erecta,Plaere,NA,NA,NA,2,15,0.0183,Site north of plot 2_ Duplicate envelope ID,GM NG,20181019
Plantago erecta,Plaere,NA,NA,NA,3,14,0.0237,Site north of plot 2_ Duplicate envelope ID,GM NG,20181019
Avena fatua,Avefat,NA,NA,NA,1,4,0.0454,Area 1 Mclaughlin,GM NG,20181019
Avena fatua,Avefat,NA,NA,NA,2,7,0.06,Area 1 Mclaughlin,GM NG,20181019
Avena fatua,Avefat,NA,NA,NA,3,2,0.029,Area 1 Mclaughlin,GM NG,20181019
Trifolium gracilentum,Trigra,NA,NA,NA,1,57,0.0938,site 9,GM NG,20181019
Trifolium gracilentum,Trigra,NA,NA,NA,2,31,0.041,site 9,GM NG,20181019
Trifolium gracilentum,Trigra,NA,NA,NA,3,27,0.0311,NA,GM NG,20181019
Calycadenia Pauciflora,Calpau,NA,NA,NA,3,28,0.0286,NA,GM NG,20181102
Gilia tricolor,Giltri,NA,NA,NA,1,15,0.0081,NA,GM NG,20181102
Gilia tricolor,Giltri,NA,NA,NA,2,17,0.0064,NA,GM NG,20181102
Gilia tricolor,Giltri,NA,NA,NA,3,11,0.0026,NA,GM NG,20181102
Hemizonia congesta,Hemcon,NA,NA,NA,1,31,0.0359,NA,GM NG,20181102
Hemizonia congesta,Hemcon,NA,NA,NA,2,50,0.045,NA,GM NG,20181102
Hemizonia congesta,Hemcon,NA,NA,NA,3,57,0.0428,NA,GM NG,20181102
Lasthenia californica,Lascal,NA,NA,NA,1,55,0.0078,NA,GM NG,20181102
Lasthenia californica,Lascal,NA,NA,NA,2,82,0.0132,NA,GM NG,20181102
Lasthenia californica,Lascal,NA,NA,NA,3,5,0.0007,NA,GM NG,20181102
Calycadenia Pauciflora,Calpau,NA,NA,NA,1,7,0.0108,Alec 9/9/16,GM NG,20181102
Calycadenia Pauciflora,Calpau,NA,NA,NA,2,9,0.0114,NA,GM NG,20181102
Uropappus Lindeye,Urolin,NA,NA,NA,1,50,0.0875,swansite9nearroad,GM ,20181128
Uropappus Lindeye,Urolin,NA,NA,NA,2,36,0.0709,NA,GM ,20181128
Uropappus Lindeye,Urolin,NA,NA,NA,3,17,0.0298,NA,GM ,20181128
Goat grass,NA,NA,NA,NA,1,5,0.064,Aegilops triuncialis,GM NG,20181019
Goat grass,NA,NA,NA,NA,2,4,0.0853,Aegilops triuncialis,GM NG,20181019
Goat grass,NA,NA,NA,NA,3,3,0.035,Aegilops triuncialis,GM NG,20181019
Trifolium albopurpureum,Trialb,NA,NA,NA,1,6,0.0112,Across CLM road,GM NG,20181019
Trifolium albopurpureum,Trialb,NA,NA,NA,2,9,0.0212,Across CLM road,GM NG,20181019
Trifolium albopurpureum,Trialb,NA,NA,NA,3,9,0.0206,NA,GM NG,20181019
Clarkia purpurea,Clapur,NA,NA,NA,1,19,0.0069,NA,GM NG,20181019
Clarkia purpurea,Clapur,NA,NA,NA,2,36,0.0146,NA,GM NG,20181019
Clarkia purpurea,Clapur,NA,NA,NA,3,56,0.025,NA,GM NG,20181019
Taeniatherum caput-medusae ,Taecap,1,9,0.0792,NA,9,0.0482,NA,GL CS,20180424
Taeniatherum caput-medusae ,Taecap,1,8,0.1567,NA,8,0.1439,NA,GL CS,20180424
Taeniatherum caput-medusae ,Taecap,1,14,0.1057,NA,14,0.0804,NA,GL CS,20180424
Taeniatherum caput-medusae ,Taecap,1,21,0.1633,NA,21,0.1431,NA,GL CS,20180424
Taeniatherum caput-medusae ,Taecap,1,15,0.0997,NA,15,0.083,NA,GL CS,20180424
Taeniatherum caput-medusae ,Taecap,1,24,0.1843,NA,24,0.1588,NA,GL CS,20180424
Taeniatherum caput-medusae ,Taecap,1,17,0.0755,NA,17,0.057,NA,GL CS,20180424
