"C","N","cn","cn_samplemass","nsamples","species_code"
1617.64,101.64,15.9153876426604,3.803,1,"Gasven"
1604.18,163.42,9.81630155427732,3.185,1,"Filcal"
1860.21,161.72,11.5026589166461,3.432,1,"Centri"
1713.71,106.9,16.0309635173059,3.445,1,"Eupcre"
2085.16,179.06,11.6450351837373,3.986,1,"Navpub"
1594.15,198.51,8.0305778046446,3.709,1,"Astgam"
1479.61,179.43,8.24616842222594,3.393,1,"Lotwra"
2030.2,116.92,17.3640095791995,3.77,1,"Cenmel"
1485.19,236.12,6.28997967135355,3.302,1,"Lupmic"
1782.38,154.49,11.5371868729368,3.314,1,"Branig"
1252.89,65.42,19.1514827269948,3.029,1,"Elyely"
1672.61,118.3,14.1387151310228,3.055,1,"Erilan"
1216.54,41.75,29.1386826347305,2.64,1,"Mimdou"
1427.91,103.25,13.8296368038741,2.912,1,"Achmol"
1290.27,116.66,11.0600891479513,3.038,1,"Agohet"
1279.71,95.72,13.369306310071,2.93,1,"Allgal"
1523.57,69.3,21.9851370851371,3.015,1,"Anaarv"
1576.84,181.65,8.68064960088081,3.173,1,"Ancfil"
1353.72,76.1,17.7886990801577,3.004,1,"Athpus"
1279.74,53.395,23.9674126790898,3.0055,2,"Avefat"
1369.605,79.85,17.1522229179712,2.995,2,"Broele"
1300.83,60.57,21.4764735017335,3.226,1,"Brohor"
1263.885,83.545,15.1281943862589,2.999,2,"Bromad"
1438.52,97.98,14.6817717901613,3.009,1,"Calcil"
1279.71,78.79,16.2420357913441,2.827,1,"Calpau"
1481.02,108.49,13.6512120932805,2.526,1,"Casatt"
1374.925,49.71,27.6589217461275,2.866,2,"Censol"
1385.49,80.48,17.2153330019881,2.872,1,"Chagla"
1534.285,105.87,14.4921601964674,3.085,2,"Chlpom"
1523.57,188.5,8.08259946949602,2.946,1,"Clagra"
1470.39,154.37,9.52510202759604,2.73,1,"Clapur"
1258.64,61.155,20.5811462676805,3.0425,2,"Colspa"
1523.57,135.71,11.2266597892565,2.931,1,"Cryhis"
1470.39,124.03,11.855115697815,2.975,1,"Diccap"
1587.51,132.08,12.0193064809207,2.938,1,"Epibra"
1512.92,124.77,12.1256712350725,2.944,1,"Epimin"
1343.13,79.72,16.8480933266433,3.188,1,"Erinud"
1427.91,94.96,15.0369629317607,3.143,1,"Fripur"
1459.76,80.48,18.1381709741551,3.094,1,"Galape"
1417.3,83.93,16.886691290361,3.098,2,"Galmur"
1481.02,78.1,18.9631241997439,3.064,1,"Gilcap"
1449.14,91.93,15.7635157184815,3.23,1,"Giltri"
1491.65,99.06,15.0580456289118,3.044,2,"Hemcon"
1640.9,124.03,13.2298637426429,2.948,1,"Holvir"
1300.83,88.13,14.7603540224668,2.66,1,"Hypgla"
1651.59,126.97,13.0077183586674,2.897,1,"Lacser"
1598.18,152.95,10.4490356325597,3.116,1,"Lagmin"
1523.57,136.44,11.166593374377,3.24,1,"Lascal"
1502.28,123.3,12.1839416058394,3.286,1,"Lepnit"
1715.8,99.49,17.2459543672731,3.203,1,"Lindic"
1153.26,47.67,24.1925739458779,2.772,1,"Lolmul"
1449.14,115.18,12.5815245702379,3.243,1,"Lommar"
1226.96,92.69,13.2372424209731,2.978,1,"Lothum"
1427.91,160.04,8.92220694826294,2.776,1,"Medpol"
1237.5,77.18,16.0339466182949,2.898,1,"Melcal"
1248.05,56.34,22.1521121760738,2.845,1,"Miccal"
1438.52,66.73,21.5573205454818,2.856,1,"Micdou"
1630.21,132.81,12.274753407123,2.949,1,"Mimgut"
1269.15,98.74,12.8534535142799,3.119,1,"Naspul"
1544.87,116.66,13.2424995714041,3.261,1,"Navjep"
655.96,31.97,20.5179856115108,2.55,1,"Petpro"
1279.71,80.48,15.9009691848907,2.719,1,"Phlgra"
1311.4,80.48,16.294731610338,2.948,1,"Plaere"
1396.09,121.09,11.529358328516,3.09,1,"Poasec"
1470.39,65.65,22.3974105102818,3.205,1,"Ran-sp"
1534.22,102.5,14.968,3.244,1,"Riglep"
1438.52,90.41,15.9110717840947,3.296,1,"Siddip"
1353.72,82.78,16.3532254167673,2.895,1,"Silgal"
1417.3,82.78,17.1212853346219,3.074,1,"Sisbel"
1205.88,45.53,26.4853942455524,3.102,1,"Taecap"
1449.14,39.89,36.3284031085485,3.252,1,"Thycur"
1406.69,153.66,9.15456202004425,3.078,1,"Trialb"
1226.96,78.49,15.6320550388585,2.945,1,"Trifuc"
1290.27,101.75,12.6807862407862,3.248,1,"Trigra"
1300.83,101,12.879504950495,3.134,1,"Trihir"
1132.24,112.21,10.0903662775154,2.746,1,"Triwil"
1311.4,64.24,20.4140722291407,2.959,1,"Urolin"
1121.73,86.61,12.9515067544164,2.786,1,"Velrig"
1237.5,88.89,13.9217009787378,3.152,1,"Vicvil"
1747.95,148.67,11.7572475953454,3.347,1,"Viodou"
1385.49,84.31,16.4332819357134,3.126,1,"Vulmic"
1343.13,74.56,18.0140826180258,3.026,1,"Vulmyo"
1790.88,82.02,21.8346744696416,3.27,1,"Zigfre"
